model,pareto,rawlsian,gov,bible
linear,False,False,14.478249414731476,12.02749919596014
poly2,False,False,14.443908472778642,12.022314647824754
poly3,False,False,14.425855585926012,12.013458332393688
exp,False,False,14.467608789855309,12.030634640769437
log,False,False,14.43878290006626,12.01992788561112
power,True,True,14.40953798459633,11.997270401961764
hmult,False,False,14.414591634988488,12.010905886072704
