train set,train set size,test set,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
gov,1,flores,-34.77818022931016,956.8501158718341,-999.9999999999999,-435.3852164673519,252.18609589358303,0.850790493292991,0.8958380568849362
gov,1,bible,-212.79393903052514,834.6000166167186,-887.5461264889803,143.04292124745308,-150.87020713216455,4.3434892024341074e-12,2.2135004557145665e-14
gov,1,gov,154.2890492005314,979.6038488770699,-999.9999999999995,-999.9999999999915,679.1888375656333,0.5955146221496456,0.6101955821424904
gov,10,flores,-157.34470734537737,944.0500591941924,-999.9999999999962,-24.408505128966905,-56.30347620153514,2.057551510728747,2.1664917945881585
gov,10,bible,-208.20716506363405,941.6330424314141,-999.9999999802214,77.24891570604316,-114.13702692236548,0.2429211655079187,0.25578334155188526
gov,10,gov,121.61813200465285,506.2583849827911,-531.4904212348241,-604.845906164407,449.52942889525696,1.0658141036401503e-14,2.3188091620455567e-14
gov,25,flores,-153.852209236234,945.9720973012464,-999.999999999942,-26.168508862168252,-57.84203426116695,2.468760810861514,2.5994738347241184
gov,25,bible,-193.04438773089038,944.5183573845727,-999.9999999999998,32.438365623008785,-83.11097176328346,0.3228753726790502,0.339970961052424
gov,25,gov,34.46991286516847,815.5614566773925,-866.6208785331288,-528.0850575370691,387.11155218494304,7.841765444323638e-14,1.9887582186281218e-13
gov,50,flores,26.87231454463151,2.91959886749148,-24.368474282980117,4.561409398307595,-24.975295963098475,2.0269157837441174e-13,1.5723183187601108e-13
gov,50,bible,6.115276878394682,0.9234586386155745,-4.748118727217791,-0.5265460682789432,-6.210999823164723,2.5639502485114184e-16,8.107922592650824e-16
gov,50,gov,11.199789729356954,4.276592077675481,-25.886106248308202,25.482020547389357,34.61208931870156,0.0,0.0
bible,1,flores,-91.45472758875361,494.7118320157264,-523.4382400241544,-15.233522283779605,-17.817609867782036,1.457429814618896e-13,0.37789619912774197
bible,1,bible,223.58850658982774,626.5066410393831,-650.5816485909374,-999.9999999999999,707.1803065458214,0.32017169994737643,0.5143698589318041
bible,1,gov,-71.44944498111442,367.74278027624524,-390.2204162056614,-0.8667404480526285,-20.959179533745512,1.0266234865050947e-12,0.29379454504768726
bible,10,flores,-238.03782091801745,926.9257099587688,-987.0536960317888,167.9141128843937,-173.55931382562218,1.2664773049695758e-12,0.7933319171181908
bible,10,bible,372.51327088680006,-87.68623514155317,99.46809242351347,-999.9999999997239,757.5444861453778,0.19464091228701375,0.8305071585460403
bible,10,gov,-154.56507527056235,697.5074994345379,-741.2795832734818,54.37874823502697,-79.88878769904741,3.017992173371833e-13,0.565619615616218
bible,25,flores,-242.22267396223322,914.9626233785212,-974.2380396359167,188.76821483422236,-188.56226486841555,4.523274072807392e-12,3.258403004091838e-12
bible,25,bible,419.88292278365026,-306.6912784345408,331.70838787606806,-999.9999999999999,770.2113724129498,0.4207606939437735,0.44190947827906507
bible,25,gov,-219.13746927802603,877.6364273776996,-934.2306539949188,139.2319136894861,-150.52655661113377,2.916667624306477e-13,3.2451662522284256e-13
