train set size,test set,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,4.9197237971847665,-7.180518879904718e-09,-0.0011404631530104244,1.878397116592675,0.015067304576440847,8.82271208034103,9.017245047883003
1,gov,5.616370539183584,-1.952521763272875e-09,0.0022457113543977907,2.2502662309253423,-0.0005765206066325886,9.99950097294293,9.733416633345922
10,flores,4.541358379053601,0.00010703913119419515,-2.854516052752594e-09,0.0006633365378724377,0.00013662960828929172,5.953590909122728,5.768410840536128
10,bible,9.579809932762005,-0.03630915016389406,-0.009550174309889978,3.839527358864214,-1.111581732633654e-09,13.334286170113087,13.757657375351721
10,gov,15.549266466825898,-5.833863946113483e-10,0.0001231399632652647,0.007609238705935023,0.02865131318929447,17.123989842094186,16.957759076026388
25,flores,5.981327763057944,4.614432113321682e-05,-0.000418105413154368,-3.5333216616308e-06,-3.0790144993996513e-10,6.929588288132725,6.935393061666126
25,bible,14.708615955080457,-1.127484504360178e-09,0.0003600863544421937,0.002264564786018062,0.002305973397193585,15.09568096384178,15.644395545020037
25,gov,13.175767578641603,-2.2728004202831747e-05,-0.017835476267300036,5.350912308282969,-2.2448318303060714e-09,19.067162439039762,18.807223138578006
50,flores,9.006694242694696,-1.867528656507903e-11,0.004806307068477957,3.467411308734921,0.026163316681005647,4.596026576684674,3.576078201503413
50,bible,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,27.534237740054643,0.009407564855574828,-5.03733622502859e-09,14.407721814978604,5.042586522448584,4.473928367087923,4.911605235655897
