train set,language to,c0,c1,rmse,kfold rmse
gov,ka,4.977211122546664,3.8308156869635375,10.861844923531907,11.045927278307113
gov,gu,10.850205677490308,3.1391558808644437,11.690406365175088,11.91438692967046
gov,hi,9.334191975818003,2.8158460207150697,11.896133639417437,12.082584972879017
gov,si,8.8103470564248,3.320647399656818,17.381254562342626,17.613916258600927
gov,ta,7.570227291953401,2.6874927807904845,14.350699413955466,14.554018117234259
bible,ka,4.303133087236723,1.921098416126463,10.041135147656162,10.220412730281186
bible,gu,6.418722167681574,1.695293652132546,9.893796310124275,10.079832087213607
bible,hi,6.9410139634889605,1.6590341372302955,11.78755386564131,12.00959055405666
bible,si,7.547507752299821,1.9573576296657107,14.668626380380346,14.940962971840248
bible,ta,5.694850094356285,1.7565611282539202,11.58882484642413,11.801600184069414
