train set size,test set,c0,c1,rmse,kfold rmse
1,flores,2.5863928822109647,-3.5371034082048673,2.2978729008757255,2.312060619001892
1,bible,8.361398151316962,-8.045417908162774,8.347452959840206,8.411052810479273
1,gov,9.136457644308335,-11.12909108890986,9.553994575722314,9.642365267013545
10,flores,6.6363943737519975,-5.909960141826788,5.334811579202998,5.368152066157247
10,bible,14.361400043762691,-6.77986199918732,13.04895819713754,13.150723653726306
10,gov,17.81146551176743,-2.665735971371233,16.93847483755766,17.08009734753531
25,flores,7.9114006253646885,-7.72899683471812,6.406544209223655,6.454751145813641
25,bible,16.686415810011304,-6.225899000386368,14.87770443633507,14.995838644856098
25,gov,19.63645865880533,-5.4341698872135025,18.808583973227773,18.978501286814044
50,flores,12.573683004776111,-22.441757436826705,2.8914071581312375,3.7905789735988615
50,bible,2.1162806876771687,-8.114039327257272e-09,0.874506128463693,0.9732686919369534
50,gov,42.07368051170533,-2.984799469185813,5.308976452769222,6.38566243869802
