train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,4.9069334538536,0.0013972169829702477,-3.607368424220356e-09,-0.006476140851325848,1.970220069495755,-2.3440084517632066e-09,0.00472082727811502,8.808872823563153,9.035141862064727
1,gov,5.631575410306095,0.00027674511801567634,-0.00018220966288808052,0.00010053609780923332,2.2606836096198766,-4.100263639212852e-09,0.0004769734284509068,9.99337262485548,9.75459452360395
10,flores,3.4289621387637674,-6.060841986744939e-08,2.77597568234424e-05,1.8979165713717792e-07,1.3435182708003972,-5.987054857852391e-06,5.9779856632816685e-06,6.057275974471824,5.848833567560393
10,bible,12.347466423824018,-6.00952255169347e-07,3.889929311168879e-07,-2.2253886971595797e-07,1.8572234645286497e-06,2.7830565515320717e-08,-3.283610843003414e-08,13.313268500216783,13.825662052212307
10,gov,14.800369086950724,-0.002817269091777946,-8.307342359158358e-05,0.09240423072419827,4.199882283713193e-09,0.017174889471108113,-0.12205514287759113,17.256469264575358,16.934482469976853
25,flores,5.932269621065115,-2.8398024689444233e-09,1.160116382495687e-09,-2.2999837699382454e-08,3.804623038306085e-07,-1.2083353886015783e-09,3.778264619887919e-09,6.947191161406276,6.70689074832261
25,bible,11.24613522086064,-8.898317003257701e-10,-2.3571078521455883e-05,0.0004700356205375189,4.497112790145056,-0.00018034818406881533,0.0006111386260938022,15.153046509760811,15.49579183226446
25,gov,13.558801759306721,2.402040625300213e-09,0.00010268685160864267,3.241155495653535e-05,5.4759478506177315,2.029680652897347e-07,2.5737892946293768e-05,18.992528181753453,18.796462722994608
50,flores,10.925849354592085,0.0036685667082646334,-0.007879658190652823,-0.006138751976853254,0.001029319788624779,-7.706070779640255e-10,-4.8759962565251984e-05,4.7331607031869565,3.577140955848596
50,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,27.341967973955867,0.0017489939785676966,-3.240536780351478e-09,1.8032371264549017e-05,14.215960284826961,4.957774133307482,0.023356860047205257,4.689585557021924,4.717455159811469
