model,pareto,rawlsian,ka,gu,hi,si,ta
linear,False,False,5.133413636750636,5.284463246121149,4.055776709538705,5.5598976087921805,4.823241218071429
poly2,False,False,5.059638213506016,5.051451575769284,4.056395393015317,3.8733756806369306,3.95347565765898
poly3,True,True,4.987129883534254,4.231931947004086,3.829647066197333,3.069661502774374,3.827352585732541
exp,False,False,5.495960555191137,6.401125764807232,4.990736392978583,3.15822520075303,3.866893645560976
log,True,False,5.300312748790993,6.450839947981202,4.785366170621658,3.3989660010211638,3.786192945176616
power,True,False,6.5754134843053045,7.832979050030799,6.580580660123345,3.0131625866805907,4.024107352790013
mult,True,False,6.5754134843053045,7.832979050030799,6.580580660123345,3.0131625866805907,4.024107352790013
hybrid_mult,False,False,6.937748528816702,8.579269430870518,7.447926371248906,3.227293542768221,4.093454092485262
am,False,False,5.133413636750636,5.284463246121149,4.055776709538705,5.5598976087921805,4.823241218071429
gm,False,False,5.133413631391797,5.284463244850104,4.055776710610156,5.559897608943324,4.823241218014019
hm,False,False,5.1334136337698215,5.284463245584087,4.055776709538705,5.559897608856079,4.823241217136646
