train set size,test set,c0,c1,c2,rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,1.6722854270009007,-0.08792754489841284,-1.5525055294346057,8.561706908946976,8.649253081320184
1,gov,1.6177131838396774,-9.57088405607227e-09,-1.7601128734927551,9.665572849660004,9.641032075762814
10,flores,1.2770318327962333,-9.610704798726232e-09,-1.6639574913362523,5.184632299081774,5.166654555111876
10,bible,2.2865904689402208,-1.025110532346829,-1.2438236093437478,13.318629272605072,13.45807685513945
10,gov,2.8718934832325678,-0.8655432735389212,-1.3080471650891652,17.220485269461978,17.174805840831628
25,flores,1.138462386560163,-0.03653377699698342,-1.9546933642582782,6.236645245957742,6.203707076120307
25,bible,2.61159910896947,-1.1131801936362509,-1.2068352823838608,15.178835093282865,15.359688859468749
25,gov,3.2510394801894233,-0.8586154282827515,-1.2955848170978506,19.123415931867783,19.069172024932012
50,flores,1.091353439233165,-2.1249959551272606,-1.4507987314379986,0.7875383207334603,1.0037319357951728
50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,1.091350305761281,0.7925955205519835,-4.484646295064858,3.7399279241711074,4.533492532575766
