train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
cc_align,25,gov,1,flores,-490.90055885731834,2160.7915981953893,-2336.5771942446618,1.7270882136459493,1.842958690316133
cc_align,25,gov,1,bible,-705.2772671939817,2935.1737684927944,-3046.0312353692216,0.6257928904623584,0.6426820054718086
cc_align,25,gov,1,gov,-839.6281183534547,3447.8933856615918,-3440.9749452700185,2.4344116897071397,2.8811287281555735
cc_align,25,gov,10,flores,-2527.6689301428546,10673.265682633668,-11194.937816851807,1.8040732603118663,1.8370336598878945
cc_align,25,gov,10,bible,649.4668759561355,-2632.078987037927,2674.987896566698,0.7838152703377484,0.8508215805513987
cc_align,25,gov,10,gov,-1876.9379973689565,7683.3737204925455,-7706.078920203789,2.726714775772213,4.133412590947833
cc_align,25,gov,25,flores,-2834.992317689585,11961.76693878446,-12536.971459156634,1.630528079180843,1.6565510184652776
cc_align,25,gov,25,bible,370.5211991369706,-1482.2528918729745,1493.0228932176515,0.9610908170264519,1.077964311348241
cc_align,25,gov,25,gov,-2709.5667851607477,11096.352963871605,-11185.14182435404,2.9149249656187624,4.46190763153973
cc_align,25,gov,50,flores,-844.7842146496097,3778.4694410559005,-4124.233411290184,3.7038076607536775e-11,0.17559818542038289
cc_align,25,gov,50,bible,3428.402870319466,-14129.623676903468,14557.127721996667,2.495317773784449e-10,0.6390131370347455
cc_align,25,gov,50,gov,-30881.83094446486,127561.63810977532,-131408.97709697144,3.906569302008426e-09,5.768299819147239
cc_align,25,bible,1,flores,196.8064741314026,-780.1754251026201,778.3760343214102,0.5976948046636266,0.6031622388366598
cc_align,25,bible,1,bible,2828.9849708857323,-11677.851538842113,12119.325046442971,2.18591182476717,3.328034056052955
cc_align,25,bible,1,gov,200.2358238214493,-796.0834488281345,793.6019469087161,0.3504314447868788,0.3606198084351043
cc_align,25,bible,10,flores,-555.4178818465608,2337.487727623584,-2444.468210990987,0.7742311123465841,0.8064326480536277
cc_align,25,bible,10,bible,3122.709244252428,-12903.098778174355,13436.875484301045,2.6627933570839297,4.282934998487929
cc_align,25,bible,10,gov,-505.5164496786379,2114.625239236969,-2202.0732226932164,0.791965355366221,0.793356401157621
cc_align,25,bible,25,flores,-654.4342113506401,2744.206715739653,-2860.742462526483,0.878038955737852,0.9846635782491616
cc_align,25,bible,25,bible,3162.1487198297323,-13052.065754495941,13593.250008356701,2.6162339031947606,4.225442061608027
cc_align,25,bible,25,gov,-604.2744181590655,2524.367106382134,-2625.269751785232,0.849067818627767,0.8505535892937172
cc_align,100,gov,1,flores,-150.19867302488362,769.6007004307011,-912.4182526629646,1.4136283493218695,1.5157108235298893
cc_align,100,gov,1,bible,-666.5353571319968,2777.6292829763993,-2884.9329183396812,0.5921092621209655,0.6006384208913661
cc_align,100,gov,1,gov,-330.84192092730785,1361.430148013508,-1296.8736807394237,1.9079226211947713,2.4323216023180403
cc_align,100,gov,10,flores,-1814.7156490717825,7724.188155889471,-8141.951755412494,1.940229402652723,1.9916682615212558
cc_align,100,gov,10,bible,525.7394007994326,-2138.293115846392,2185.6792510228966,0.903414708206201,0.9250799090207358
cc_align,100,gov,10,gov,-1518.3044228477602,6198.8187316925305,-6168.533521018163,2.7087975957485653,4.066273665833703
cc_align,100,gov,25,flores,-1513.7861493289906,6504.074764163182,-6899.544388725265,1.6285987858785256,1.6310808883629766
cc_align,100,gov,25,bible,699.1728616893687,-2853.387298228082,2923.978839599381,0.9411875480494474,1.0177018366147186
cc_align,100,gov,25,gov,-2222.9739007209982,9076.821924130309,-9089.55426863739,2.9061710289223464,4.480487944476403
cc_align,100,gov,50,flores,894.0685068420396,-3385.098686633628,3253.0373853730707,9.367409962528637e-11,0.14830826625701313
cc_align,100,gov,50,bible,2098.763780073159,-8635.78426788731,8892.207729190292,1.0204965087135228e-10,0.390466463274687
cc_align,100,gov,50,gov,-31928.962851574062,131879.530314268,-135855.08103438848,3.6758515669621995e-09,5.963518846717045
cc_align,100,bible,1,flores,169.81773767956324,-665.532108051801,657.6684237228818,0.5697873288388188,0.5843044368867927
cc_align,100,bible,1,bible,2758.749199510782,-11386.023250683924,11819.348471335801,2.18877965232572,3.45072315981934
cc_align,100,bible,1,gov,57.90357544491321,-205.4701195270361,182.35432113934127,0.4014203852256484,0.40208140272165854
cc_align,100,bible,10,flores,-545.0233686387994,2291.1230802735763,-2390.8603617426734,0.8656011852698182,0.9481280190503845
cc_align,100,bible,10,bible,2885.9544247050376,-11935.789136281734,12451.672780128913,2.7130240382145843,4.366218950741377
cc_align,100,bible,10,gov,-408.11392740169083,1709.5360649041652,-1779.2808472965235,0.854875583112958,0.8571034397916004
cc_align,100,bible,25,flores,-818.9943161398127,3420.7109926459357,-3552.862687042238,1.062191822075873,1.1748044933621915
cc_align,100,bible,25,bible,3407.662628516248,-14055.778079101652,14619.746679435117,2.6966547985122413,4.358777730379373
cc_align,100,bible,25,gov,-561.7696277825289,2339.664815635678,-2423.623491283565,0.9856827986604171,1.0153759246433303
gov,25,bible,1,flores,-630.7226949360144,2653.5468447040244,-2779.346102379379,0.5937943353333098,0.6425694186832641
gov,25,bible,1,bible,1423.0816900901832,-5854.850057009101,6096.3274660676325,2.0504277084568177,3.2808295833966836
gov,25,bible,1,gov,-651.9673377587303,2739.948780068247,-2866.5860000900648,0.5836474642323776,0.6183462489014593
gov,25,bible,10,flores,-1660.981777502702,6918.564248138582,-7183.965511552656,0.8957347792723431,0.931083777113408
gov,25,bible,10,bible,2498.0365244501063,-10319.487483296249,10768.48770137944,2.939545607791209,4.7514582004850645
gov,25,bible,10,gov,-3046.6852550707918,12561.023579566148,-12913.489169364582,1.7220336659499889,1.7542751946310389
gov,25,bible,25,flores,-2082.681180086762,8659.092151812412,-8977.269190809127,1.1347606859594268,1.2295550664997095
gov,25,bible,25,bible,3459.8268525584995,-14251.226752658207,14799.422110480655,2.650246721295719,4.28461659373116
gov,25,bible,25,gov,-2532.0860383813433,10444.144307333714,-10736.079397109923,2.155678141277352,2.240161388902963
gov,1,bible,1,flores,-100.35149497643339,455.5111299835926,-505.4853620080306,0.7832617161386631,0.79348400892598
gov,1,bible,1,bible,2965.50848709188,-12237.985768095275,12687.459884608155,2.3458592147701767,3.5045208990620966
gov,1,bible,1,gov,-802.6105017155357,3329.6426863881015,-3438.63186001978,1.217685622983688,1.2216039583195775
gov,1,bible,10,flores,-1319.209205184717,5487.110910808467,-5687.687198208993,1.1103176548424756,1.1120467832150338
gov,1,bible,10,bible,3385.3863876138034,-13982.385857454587,14541.748427407383,3.0667463057746804,4.8865732315260955
gov,1,bible,10,gov,-1751.9192205679713,7195.5916791571035,-7355.088709951804,2.6544744436514804,2.6720677837014075
gov,1,bible,25,flores,-1484.5276185567322,6177.704696016728,-6406.874795263402,1.1855631085961693,1.2230954493994963
gov,1,bible,25,bible,2957.41336856886,-12209.767454481944,12725.948983698905,2.8384242849508525,4.544738015628597
gov,1,bible,25,gov,-633.2090723492997,2592.2733379335887,-2621.359633497772,2.9421166558781606,2.9864504881398872
gov,10,bible,1,flores,-560.0133180901323,2361.104387689573,-2477.560557944647,0.6069966184929557,0.6167834721294019
