model,multi factor,multi variable,overall linear,sliced linear
linear,47.61%,15.98%,15.89%,100.00%
poly2,47.63%,15.99%,15.90%,100.05%
poly3,47.64%,15.99%,15.90%,100.06%
exp,47.75%,16.02%,15.94%,100.29%
log,47.98%,16.10%,16.02%,100.77%
power,48.24%,16.19%,16.10%,101.31%
hmult,68.27%,22.91%,22.79%,143.39%
