train set size,test set,c0,c1,c2,c3,c4,c5,c6,rmse,kfold rmse
1,flores,-1.8186534135403698,3.5942323422744766,-0.505500834090376,1.4486970411981626,-9.44877387512957,-18.53414291851939,-2.823588960953601,1.9336493994713373,2.1131310681202393
1,bible,18.321767432490322,10.490727699069312,-5.279466433555582,1.348826688127313,-2.5930208288496877,-30.88315442177851,9.204761852351375,8.257481456470643,9.040751582632288
1,gov,19.844286706934053,10.942890128281904,-6.35241060985082,6.090286171569677,-7.192360231399449,-34.701971192251605,8.365708842616309,9.41963384887142,10.314690714268483
10,flores,-14.258743304505535,-0.8534041877360121,1.8521044391955328,-3.0588308096437844,-8.788407504244478,-9.00863783778729,-16.059714567401258,4.971619457946615,5.441163378719637
10,bible,22.72282041674287,10.42936194872854,-6.634519580689602,-1.4803065633581909,2.828209835552919,-27.77651773777453,8.722353872006515,12.975669540819176,14.208349898459474
10,gov,25.628269267226187,10.314422322242363,-7.422526939876802,-1.1436472654874268,10.56450374858293,-19.968695351260386,5.195780290664375,16.848189821758012,18.452376708555718
25,flores,-15.875878942717469,-1.3109256618256957,1.9829017506448543,-3.320966684195899,-9.24266412764637,-8.623241679465044,-18.591497501504126,6.039412223102712,6.610230255569206
25,bible,26.650835322556894,10.666721125805974,-7.927473329552952,-0.5625380769354359,2.1951768842031085,-29.19810180786215,10.793737671051762,14.807751359135375,16.21534904391236
25,gov,26.699742497667003,11.582385868094686,-7.578950588750292,-2.863360261746859,15.020715520779333,-19.75383181382583,3.2599533260631874,18.699665775398916,20.479461985744145
50,flores,-1.5951199766457238,-8.187933887456744,-2.019448098398556,-7.13081191315597,-13.52730787544481,0.3233485621518324,1.4615805052508943,4.7793206812280704e-08,1.557560554668627
50,bible,-1.0636516394535607,-2.377779166154339,-0.26557924700386365,-1.1175121618140382,-4.461406915975767,0.39539614886905733,0.9746108650906146,9.090805703559284e-06,0.574435809745364
50,gov,28.135263501439873,16.15542341859401,-9.161869345411954,-11.088962099955191,44.638073988157174,-8.437650076570955,-25.779926464815762,1.3438800005538486e-06,6.852616319989487
