model,pareto,rawlsian,gov-1k,gov-10k,gov-25k,gov-50k,bible-1k,bible-10k,bible-25k
linear,False,False,8.459290110519458,14.666792671142252,16.08860792906369,17.87501101988277,8.012782701774285,12.754968145590125,14.636934150830005
poly2,False,False,8.459282429374703,14.666760325599828,16.088591633773216,17.875015160431808,8.012721568559607,12.754957530454249,14.637026462465746
poly3,False,False,8.459304636480637,14.666811892796597,16.08858201290696,17.875011938646352,8.012714780627173,12.7549514222414,14.637078269172054
exp,False,False,8.44169016535425,14.666625638750675,16.08852910092294,17.875015592432966,7.954347362495599,12.679284685526302,14.543486094180247
log,False,False,8.459320226036487,14.66677663701453,16.088616040093747,17.875013823957225,8.012736347594522,12.75496492807269,14.637006074802784
power,True,False,8.298593416742483,14.269982900805198,15.6588621517817,17.705686432734808,7.8556620777006945,12.49489329066652,14.337094957055324
mult,False,False,8.459285960613073,14.666732202936752,16.088597402231688,17.875025635913467,8.012669989308284,12.755120601531024,14.63701744131656
hmult,False,False,8.45928622862132,14.666748063969589,16.088613086803925,17.87501432692269,7.988891843316965,12.75821122101926,14.639440146051228
am,False,False,8.389772797799107,14.187515865638924,15.585975677822992,17.542395421652813,7.885323145540873,12.47461002207286,14.302023114139596
gm,True,False,8.385163870150567,14.183514970771228,15.5817915872758,17.5419928101352,7.883100022935435,12.47320695769414,14.300555290700292
hm,True,True,8.38607829217813,14.181315256512764,15.579747826265107,17.54147830949012,7.883377849704528,12.475650180120942,14.30343923488851
