train set size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
1,flores,17.712063627753302,-70.7734194252364,79.91076771751626,2.3341969872773207,2.4017588860617516
1,bible,-36.35344297613263,205.04464242819944,-220.90091187584372,8.353402082044706,8.7314077096788
1,gov,-25.94745961387811,152.44661287390414,-153.9336216577388,9.546809669110862,9.929554100040512
10,flores,50.89491491385517,-199.50246814416596,215.94647078456902,5.32271265036559,5.480876538162803
10,bible,-44.908587685513,274.9605505255241,-300.77527601136774,13.018048996601037,13.601302373138418
10,gov,-65.88223742483794,378.3246677266136,-405.7882328696432,16.86088956574984,17.578774617584273
25,flores,57.44339598188018,-223.69619853524867,242.87899524122662,6.398976074409489,6.59282618619315
25,bible,-42.937046538177576,276.0938139593233,-301.6733627340123,14.848409896727215,15.502511654655134
25,gov,-82.35630323725023,462.25790979599157,-496.4873277058668,18.71030692896425,19.517987425730574
50,flores,109.54732189496119,-402.3519221680622,403.7175957365618,3.359946003432327e-06,5.185922713243348
50,bible,30.615235010087865,-122.3098387726075,125.3553042252365,5.415602820433596e-06,1.5913467285127865
50,gov,-178.84201145808,995.8704993163656,-1072.0095559207077,0.0008752157986570869,13.225466476626648
