model,pareto,rawlsian,25-1-ka,25-1-gu,25-1-hi,25-1-si,25-1-ta,25-10-ka,25-10-gu,25-10-hi,25-10-si,25-10-ta,25-25-ka,25-25-gu,25-25-hi,25-25-si,25-25-ta,25-50-hi,25-50-si,25-50-ta,100-1-ka,100-1-gu,100-1-hi,100-1-si,100-1-ta,100-10-ka,100-10-gu,100-10-hi,100-10-si,100-10-ta,100-25-ka,100-25-gu,100-25-hi,100-25-si,100-25-ta,100-50-hi,100-50-si,100-50-ta,1-1-ka,1-1-gu,1-1-hi,1-1-si,1-1-ta,1-10-ka,1-10-gu,1-10-hi,1-10-si,1-10-ta,1-25-ka,1-25-gu,1-25-hi,1-25-si,1-25-ta,1-50-hi,1-50-si,1-50-ta,10-1-ka,10-1-gu,10-1-hi,10-1-si,10-1-ta,10-10-ka,10-10-gu,10-10-hi,10-10-si,10-10-ta,10-25-ka,10-25-gu,10-25-hi,10-25-si,10-25-ta,10-50-hi,10-50-si,10-50-ta,50-1-hi,50-1-si,50-1-ta,50-10-hi,50-10-si,50-10-ta,50-25-hi,50-25-si,50-25-ta
linear,True,False,2.0836615803786303,3.604958362257865,1.852606017970904,2.0224186752854822,2.672345867833116,2.929109762048118,4.64069542951288,3.076987916998915,4.277058064227785,3.8238912587595375,2.9591903086158595,4.726151079850153,2.911409617489682,4.95756354812568,4.007334494961622,0.9065873937464436,5.108285275578236,3.755284498595433,2.246351542036184,3.5105037738120948,2.117459127446883,2.284545050544656,2.8160488628265345,2.6601285675402098,4.198668415497197,2.70228830558438,3.785888189806169,3.294493388821937,2.662836102757159,4.182424263659473,2.5042053549462326,4.143261548298542,3.3790110413163976,6.201607005740764,13.44086858281926,9.367745990377689,0.8150380796693911,3.958812895985568,2.3060957588011406,0.8091328276016508,2.508768171989241,3.549185650015159,5.421388923683707,3.161271924741525,2.354974151272566,2.913611492058386,3.862182812958662,5.540699907947967,2.888655403140006,2.547453021223029,2.648020288741814,8.731487338188014,21.631719914996477,17.056570061268143,2.112148516330016,3.9758625161280334,2.0133137581460963,0.8719056564143731,2.8458834176191354,3.431760494401224,5.550286443834763,3.471957731645808,2.988188762282176,3.4620577749061727,3.6795643016609465,5.650793356032698,3.160980034751545,3.485114018486544,2.9424567206266903,9.296539651258051,22.14185232956592,17.457068066852415,3.059547876397723,8.002192294488028,5.219895370437572,5.62482473500314,13.41520466078693,10.831659840489186,6.803162756829144,21.39611266775088,11.81976997352804
poly2,True,False,2.073791871056532,2.9748729148029147,1.755962397494286,1.1012126313931978,2.896773198509196,2.8392820652753867,4.048764967229729,2.647988702968608,2.45819650947289,3.031776835149169,2.841435688289169,4.199511502946409,2.3391477969728043,2.8753354203226795,2.9876896642576907,0.0723107138121536,3.573850859282099,1.2015755331849731,1.4251187428299266,1.2172155741822526,0.602088633622341,2.0343863804640767,4.063032224443461,1.9318080227715475,1.1559625670407745,1.4036824978400813,3.3469459425423342,3.306230984462664,1.7006442777071482,1.2206437469458586,1.1063236815723605,3.324087328575841,3.232926551459934,3.457411336865732,15.300710281326284,10.900329560516097,0.94898288115032,3.515892822223957,2.350871736077418,1.5966607805038884,2.3728763531461112,3.081758018582797,3.0274404015579823,2.299965425431581,5.230957257527875,2.5197069481398,3.20956099433875,3.0877735673065234,1.7994435581691215,6.838255100460224,1.932396243288004,7.956567584110972,21.552010954914824,17.344604899217128,2.0067363226248243,3.0481793965314963,2.557720947005168,2.3165081983118703,3.2539628199019424,2.911677234838037,1.6174387051033792,2.616949440474136,8.570068055470491,4.925545928154604,3.2126267659528027,1.3452365086790523,1.9954689326243356,12.136611964865889,4.703514248186774,9.09564941131076,23.18847756894535,20.17495048877153,3.256628314502556,6.194044745440204,5.584003845673991,5.326562566101323,14.501850818454844,10.719810265272264,7.598485113630022,16.406947932145,10.420463019084997
poly3,True,False,0.6715128917849561,1.4428792302468634,0.3899552928804795,0.6507688108595807,0.7157015154567186,1.5274271417709162,2.384494392453957,1.436675357227034,2.4141065239470447,2.436817583474937,1.4484081577741763,2.44503489227687,0.9509520956554982,2.883957024271435,2.439537594695485,0.1321239527192318,3.943031681254798,1.1897944970193195,1.109818326797321,1.8990802377881375,0.6727921891141242,2.1089925710741384,0.7132559821805764,2.081732518005948,1.3247278668301925,1.1255166375958725,4.090065166413023,2.748733146243401,1.756876980223358,1.573687758180396,0.6850750457997936,4.363312874233878,2.787077272990939,0.8467922922279452,16.150086392126116,11.537355614562244,0.8791315619571414,2.894911123118509,2.461132802639878,1.6559330807240835,2.489012795397823,3.10544385683895,0.1306197148610157,2.465829415995714,5.439022691017215,2.6551443885836106,3.2170194463260766,1.532071663815337,2.056285979930238,7.448452591699791,2.0212386023179434,10.210547899688924,21.634384601637542,16.899414732972936,1.9861583419848827,2.881554642853785,1.9954904042566708,2.275790966085745,3.081010720871415,2.930518281564214,1.6113766171838135,2.818681200605014,9.414267433601736,5.010572613476317,3.26792265428542,1.4553898438031905,2.500771473447346,13.253063133639266,4.9227788397680365,9.653345596716106,21.85225780272004,17.36679328910925,3.316612582837946,8.353829717745487,7.234535299932244,5.738299190964816,11.981112367540357,10.509533928931283,5.463390905662305,16.1701678994461,10.788055821270596
exp,True,False,2.896404014015969,4.62490946504902,3.027325014536811,1.2013713908318155,3.4220793232872304,4.060532699682427,5.7521038956286334,4.387957583904579,3.0192144695783707,3.664807653901052,4.435706714058458,5.96929034148483,4.394662369356976,3.556324755462839,3.7728661641345065,2.36433553938368,7.103461083968925,4.459369319635912,0.8503879467969375,2.198598041591845,1.2893501823021971,1.5101211135652988,0.9516876648887944,1.8000147572502214,2.0495917689596075,2.1366697754270563,2.552151514425947,1.6991048888751183,2.228409026129653,1.9198305076080184,2.4601941178101168,2.6746604459900056,1.9993944180653136,1595.2360965087082,3292.13088002626,1004.385662176521,1.559271032292929,4.542171478430835,3.2742966505399878,0.894255965794609,3.4163329842024037,4.041868999003696,5.863963812680078,4.263027173971111,1.9013607978357416,2.752911175929697,4.015101114112023,6.023002636200431,4.112388592337867,2.515903734644408,2.560445918467292,8.582551776924896,21.34274566019269,16.764726504789564,2.6003963357097994,4.418675637985377,2.70650045247122,1.004698105516071,3.709200702725338,3.6989954181818567,6.012092869571389,4.477152917193738,2.337944946331416,3.517004791229988,3.957190928104823,6.121559851609237,4.339906046489468,3.134318086002073,3.0727237112001258,10.17279497566096,22.28473733660862,17.34323356668698,0.6740375654832698,0.6290961011225461,0.6678767873777907,1.229720135034393,3.00645260185041,3.1134677208464234,1.7270301177715974,3.033044471208889,4.374547595596437
log,True,True,2.7831082523841983,4.606952465873824,2.7801315443833188,1.3074518429366315,2.990891648851804,4.196552128032048,6.205134149450754,4.210476343989537,2.572117598953509,3.0271170317206177,4.5289494589443935,6.527509004487105,4.244766087962601,3.0275811777914288,3.023973557108992,1.8491164481123203,0.9934859477295154,0.5399095498374062,2.8579062718402817,4.467471128932068,2.9868978147143173,1.6633475007194138,3.03986886485811,3.5839608258335764,5.5833671001063525,3.8492799370701314,2.560636868045088,2.8678257706182717,3.8753480247912857,5.757514662794608,3.898963425164385,2.5284142651248978,2.9482667352826395,5.079235176994862,5.485772758592267,4.896669601180812,1.2597805989547028,4.550376345811955,3.0984679397584527,0.8342474463925488,3.233161157683397,4.498504909528245,6.271922150151437,4.441617181941609,1.982566242094404,3.532078002373225,5.14062640355974,6.610300880727316,4.421124381244399,2.08753055126621,3.3405858735371767,3.752888057146604,16.10134522821635,9.695030208505743,2.765703692554007,4.608647325931696,2.797474940004023,0.938503761813462,3.5002218351902195,4.435714642836757,6.439036078063472,4.613437732407994,2.549182992623438,3.873670237672023,4.953761463310064,6.7558849316451495,4.583312085994318,2.898416780123282,3.4335262236092454,4.130274045546344,15.890721953487574,11.754417776487989,2.303835977001252,8.230221680733372,4.957609031625942,3.491670130144691,12.640842234889671,7.9201498618078015,4.4042795518095685,13.966328545340632,9.896905838831213
power,True,False,3.941235010862244,5.4974953303615335,4.014620511170378,1.6142703381507897,4.244287822363467,5.901853020552046,7.691403853838391,5.780059900332716,2.8579755924549777,3.770910055533669,6.582347975744845,8.212788598566963,6.066510297062039,3.725744490767809,3.7582024084757655,3.6703285840063744,2.4618133767273878,1.9967799346575148,4.791004701348557,6.227547743273276,4.935381487628691,2.772432564017636,4.705573519809755,6.64377295669636,8.344609344833623,6.710458333756638,3.107908031674025,3.8868312075187967,7.378812861980233,8.85778935809314,6.661950394285866,3.5372781978035555,3.938625707569889,323.68719395204937,2439.684611133493,1009.9994465829514,2.402849129491462,5.291554630714928,4.396877380379759,1.159443389210005,4.750806126067705,6.147825907996495,6.672608370597151,5.515040848410841,2.2593230303844085,4.267630476653744,7.269999403213294,7.236902082989369,5.684379913656229,4.268752496663514,4.051086159859629,16.649161757395895,17.376110741003643,14.516076617435129,3.981738293898621,5.057637564532069,3.736792083180885,1.2201777771408693,4.916663631985685,5.931054119959479,6.7629927742641085,5.554619197202474,2.4492572344725785,4.5611163852533565,6.793797963438937,7.233924952100669,5.761780582802076,4.198513904797116,4.1203468597394455,2.9808400089174887,12.185273785368132,15.454245204902572,0.0688194609407197,0.3043030825215341,0.3004507453599233,0.7917235495426443,2.522962023850784,2.432523217699252,1.269086435479672,2.506452755687473,2.7813724832302653
mult,True,False,3.941165477170697,5.546890439923185,4.024687702556213,1.4712364869671126,4.354898838890958,5.904826312770737,7.473102104355079,5.868305480600154,2.8998740992700807,3.7304440919500967,6.560560952321988,7.986930876602427,6.151649393841383,3.65784852166863,3.74074468622074,3.372902923021636,3.5250220747594514,2.1099326384679395,1.0099236953571076,1.3604248287544247,1.3207958472676629,1.799903505221793,1.098443227471425,2.3873805834881074,2.2359954923334087,2.7038376637592045,3.1126372984903,2.186958712923321,2.902012093156668,2.365893363628436,3.085632743077581,3.33473718231987,2.5928630141461744,75.71380631050793,191.7635325221172,100.85679185795033,2.28170335603848,5.156753526976644,4.193328218434092,1.070005450994696,4.566089848963049,4.069012256738646,6.803299155708453,5.619709309505292,2.267915282846962,3.986311402455964,4.195388347678548,7.226681234586088,5.673484932282499,4.096673184679126,3.779285784411713,33.26224844473406,18.230092363184102,38.46647151610512,3.46761432180895,5.174539396881413,3.666222974153705,1.243520474734286,4.759584736649692,4.873853264920991,7.006031334843872,5.741805230548647,2.474822920702304,4.378939485251867,5.266298936655542,7.358837068215518,5.848043522641416,4.080423690630754,3.939591002756724,28.6973948258472,26.179853512123582,27.996948718796588,0.3868436397928014,0.7082538451919205,0.7482369368902729,0.8006712311355467,3.106501528227368,2.9222574531260608,1.2138119998417616,1.862165637792065,3.2099272523121543
hybrid_mult,True,False,4.065069360179454,5.935987983991754,4.386931763358818,1.3828193134963334,4.376928028859339,6.420924914166156,8.171553611727832,6.491932130751098,3.05887094079746,3.7023371413525368,7.321010609511564,8.868424119009894,6.946657260264019,4.316534725048481,3.812067275155549,4.021162600664232,4.951469500221081,2.887221498005064,2.1796442580145152,4.181269368147138,2.6115615410650745,1.6886067904725344,1.9890034316373015,2.46473277448649,4.661734571068125,3.1876836980129526,3.2909449848922225,2.122104458315889,2.8767286495416324,4.8355780869389005,3.3939976299415884,3.621115610827042,2.567310433478768,125.20259372347216,306.9324060208272,18.42018548399399,2.103789180189191,5.386922316650472,4.294903039153169,1.0209796315765354,4.252050973060559,6.594011093886185,7.594531656140817,6.417316089545406,2.3575051052461293,3.98628651534052,8.022811504399437,8.485404342492133,6.827337009312339,4.530548851493313,3.81710427718718,52.34948730752013,29.610023698290888,20.50472155740971,3.971405439059458,5.511277784228177,4.111012184446169,1.6134168543268297,4.615541281989374,6.587384057170504,7.754053589450539,6.503567764672291,2.5970502036153835,4.406948619365163,7.688385885789511,8.505778659357944,6.910768089544679,4.634741728205179,4.0092459979626645,43.55004101483273,27.38632954385225,25.29001747758586,0.2515770509849103,0.7440005914096366,0.6877944980512699,0.8432041031937589,2.3559784915634183,2.7470983458209584,0.3631464347604591,2.6846610495068344,2.9626528960057423
am,True,False,5.837667051519896,6.495521319702015,5.876113659516216,7.938763758039614,6.422750079541292,8.973385716867496,8.082287719485588,7.931715427722426,10.780760211468507,8.231028831233344,10.296751125709562,8.84769468473919,8.620571059092066,11.95386349806268,9.006798702420207,8.865547632461176,11.32538949857201,9.823613487795662,3.377598823217648,4.163343424793887,2.8476080332640485,5.358316162661642,3.766453228177381,4.601432026715702,5.042731101983532,4.02579039417483,7.833942399773697,5.238175394027209,5.241877739533299,5.319536814721128,4.415747116906256,8.731216407696852,5.69286804111112,3.630856144500232,13.956799348921956,10.317519464755785,4.780979550919464,6.610101754222942,6.47349900550617,8.215360337789797,6.7550673546635664,10.486772474509188,9.428853628239665,9.80899247957236,12.042431978030573,9.323724483243453,12.441707179567672,10.755640765264136,10.725473978917568,13.68698408811519,10.52513530330216,14.697497977298234,23.5317519364672,18.43977869234597,7.087782946432063,7.533044480849373,7.360043441033239,9.905497165285638,8.15769675600127,11.054415857425695,9.998642630278942,10.390095296926996,13.852995004139007,10.897567849670551,12.627878500664362,11.091767913163128,11.534806507136194,15.400475884246664,12.069951357559368,13.249241995289411,21.975216849695247,17.96056479224224,7.911949074505652,19.04005263190293,10.669470717122913,9.944857687899226,22.695666449394963,13.288411596831944,11.022446193858764,25.7933315540774,14.85027131918751
gm,True,False,5.95689631572724,6.83667643974864,6.41327593663607,8.647808133557476,7.086292140504543,8.958061956867196,8.500855500005036,8.439430547484188,10.876222678123332,8.631898439116863,10.218003014856752,9.24058404135311,9.117403650037192,11.9060575983514,9.320094095137042,9.887036513157703,11.247361155630704,10.364271951031382,3.176210462797284,4.460418244636401,3.0403004517957277,4.787720157987999,3.734938637409889,4.067904538236988,5.512225604878249,4.016910677509504,6.543127161224626,4.578734720219692,4.426235684432808,5.656249247987376,4.134948707316691,7.195926782897313,4.863159362322929,1.6340481874919652,12.585712389280063,8.717503877398336,4.803029010257222,6.632947286216968,6.503526747206413,8.184289256794319,6.806571045476451,10.322628930282482,9.368471309073486,9.689135825203396,11.029786597041616,9.085480048015368,12.226382332549928,10.655729670825446,10.55462826128524,12.374191690778128,10.129899642124393,14.735469874654964,23.639966124270607,18.43236191223753,7.172568437111349,7.555402995785021,7.431395252591115,10.055940773062057,8.265322266109782,11.061529223228485,9.975748546987049,10.39619119866263,13.739683641672867,10.897600127388264,12.622840500160317,11.059793794762758,11.520101761992027,15.15022204726482,11.993757763879922,13.155777164379058,21.948012606537542,17.91797376276878,7.977213276314076,20.075144907877597,10.612961940601505,9.62811575935396,20.932831568944938,12.536984111015892,10.56894706976225,23.509791641852924,13.898552548306233
