model,pareto,rawlsian,25-gov-1-ka,25-gov-1-gu,25-gov-1-hi,25-gov-1-si,25-gov-1-ta,25-gov-10-ka,25-gov-10-gu,25-gov-10-hi,25-gov-10-si,25-gov-10-ta,25-gov-25-ka,25-gov-25-gu,25-gov-25-hi,25-gov-25-si,25-gov-25-ta,25-gov-50-hi,25-gov-50-si,25-gov-50-ta,25-bible-1-ka,25-bible-1-gu,25-bible-1-hi,25-bible-1-si,25-bible-1-ta,25-bible-10-ka,25-bible-10-gu,25-bible-10-hi,25-bible-10-si,25-bible-10-ta,25-bible-25-ka,25-bible-25-gu,25-bible-25-hi,25-bible-25-si,25-bible-25-ta,100-gov-1-ka,100-gov-1-gu,100-gov-1-hi,100-gov-1-si,100-gov-1-ta,100-gov-10-ka,100-gov-10-gu,100-gov-10-hi,100-gov-10-si,100-gov-10-ta,100-gov-25-ka,100-gov-25-gu,100-gov-25-hi,100-gov-25-si,100-gov-25-ta,100-gov-50-hi,100-gov-50-si,100-gov-50-ta,100-bible-1-ka,100-bible-1-gu,100-bible-1-hi,100-bible-1-si,100-bible-1-ta,100-bible-10-ka,100-bible-10-gu,100-bible-10-hi,100-bible-10-si,100-bible-10-ta,100-bible-25-ka,100-bible-25-gu,100-bible-25-hi,100-bible-25-si,100-bible-25-ta,1-gov-1-ka,1-gov-1-gu,1-gov-1-hi,1-gov-1-si,1-gov-1-ta,1-gov-10-ka,1-gov-10-gu,1-gov-10-hi,1-gov-10-si,1-gov-10-ta,1-gov-25-ka,1-gov-25-gu,1-gov-25-hi,1-gov-25-si,1-gov-25-ta,1-gov-50-hi,1-gov-50-si,1-gov-50-ta,1-bible-1-ka,1-bible-1-gu,1-bible-1-hi,1-bible-1-si,1-bible-1-ta,1-bible-10-ka,1-bible-10-gu,1-bible-10-hi,1-bible-10-si,1-bible-10-ta,1-bible-25-ka,1-bible-25-gu,1-bible-25-hi,1-bible-25-si,1-bible-25-ta,10-gov-1-ka,10-gov-1-gu,10-gov-1-hi,10-gov-1-si,10-gov-1-ta,10-gov-10-ka,10-gov-10-gu,10-gov-10-hi,10-gov-10-si,10-gov-10-ta,10-gov-25-ka,10-gov-25-gu,10-gov-25-hi,10-gov-25-si,10-gov-25-ta,10-gov-50-hi,10-gov-50-si,10-gov-50-ta,10-bible-1-ka,10-bible-1-gu,10-bible-1-hi,10-bible-1-si,10-bible-1-ta,10-bible-10-ka,10-bible-10-gu,10-bible-10-hi,10-bible-10-si,10-bible-10-ta,10-bible-25-ka,10-bible-25-gu,10-bible-25-hi,10-bible-25-si,10-bible-25-ta,50-bible-1-hi,50-bible-1-si,50-bible-1-ta,50-bible-10-hi,50-bible-10-si,50-bible-10-ta,50-bible-25-hi,50-bible-25-si,50-bible-25-ta
linear,True,False,7.259072413432623,8.429799617198514,7.379603758046087,10.745604910723722,8.91148848655256,11.347378239876416,11.501493931699724,10.639203458743008,17.518825226367372,13.426674687016352,12.567867653873884,12.452935968558537,11.328499190756109,19.424142549771105,14.63915057103658,11.656283832672637,20.505429141654865,15.171122632212017,7.530188859202314,7.201619450624798,10.908678395935135,15.65831410996842,11.856775945847415,12.03033287213518,11.21205855130582,16.234327789799355,24.713252191209577,19.457007485689505,14.016741562800195,12.863265696786245,19.09240844234188,27.13727459950569,22.33821432784657,8.22711300654561,9.53212495857596,8.893671492424652,10.595826341255036,11.069522457963624,11.31627701666951,11.904062736888736,11.489219953665726,15.610483333935528,15.088166657408973,12.168975497452072,13.020969152198251,12.202953651338486,17.5534967986616,16.183605307779818,11.692952513019682,18.65740452292774,16.33552956474307,1.891672306503554,3.2622882236550272,3.5163346485429465,3.4869240478133565,2.105324674483637,3.4086636668172017,4.690524667416583,5.136235332549066,5.15614470074028,3.11487659917872,3.901156663710937,5.346803478147204,5.931541271979696,5.690992505140994,3.3799806183345718,5.102362895912718,7.846415260241636,7.536469883870543,10.35927700488641,9.871609123207756,10.430467183475168,9.235794829328038,9.806017724432984,18.26897569278434,15.630813118384207,11.224383587509717,9.79617832208496,9.896159958912548,20.18381162292777,16.715100652975288,9.517717317412105,21.18724071556408,16.731560309544115,8.368531579910247,8.94482371509492,12.093229449526666,22.099735727454764,16.13476340968416,14.233288868298883,14.594033016467192,19.501787115081584,35.18080330691089,27.348208305619654,16.789272518534148,16.834988577883962,22.5658108436139,39.65603298066822,31.89987593926425,7.071038657010318,7.882872638854883,7.119683289251886,10.66308696115864,10.198526162794892,9.797099277101315,9.29767279200288,9.696729664762618,18.682176751408303,15.752004027249566,10.850179352598047,9.716397733978695,10.024709613420754,20.59722372597944,16.697809921266312,9.59425772585379,21.50849242623557,16.877944503591603,9.147318419641447,7.40806192710965,10.25815411383896,20.566060871545865,14.816537965172897,13.576640062164778,12.129359970235486,15.78726575159796,33.28712011132328,24.560720087008036,15.769216960335658,13.20174407543074,18.4342962128429,36.93788211091972,28.99481372450825,9.829576041245248,20.69541381927697,14.615006733222664,15.22622886166642,32.47213337237044,24.551249165689,18.1618403288476,35.79147305693132,28.20629338236653
poly2,True,False,6.539264277803037,9.063365021391991,10.307951339934496,13.174416556489613,15.95961079803942,9.531007279647008,12.257957746260356,14.525534775582608,21.730159225305176,23.912302675222307,10.390375376079987,13.22791691029769,15.344966054394233,24.12658653159318,25.77609719754578,15.924294356060702,25.44058890338779,27.54678363288483,7.634734307243009,10.878178068515426,3.947909073695232,2.3540789005455958,66.51602481764532,13.428361629022366,14.304487238571578,5.930036290681634,3.326634476644025,70.63455212723663,15.610922699172605,15.913741894384234,6.649236760143739,4.3727506006591375,72.05488973201678,8.173826479846126,9.42775312005653,8.817435125192253,10.712254531071386,11.042883083897992,11.213566407605764,11.714688075050743,11.372064181994649,15.797732181641145,15.046083903256347,12.050147814279468,12.818542880981504,12.072437841746224,17.756186676585905,16.13363958034389,11.543928370121746,18.86567381653466,16.276416309458412,1.7730621084610931,3.0937162527066606,3.372638391583533,3.089007173405421,2.012892851637205,3.211655107444327,4.451876379779511,4.931883494661957,4.5752337289046885,2.97607464457485,3.6851471294032505,4.996479120368839,5.693703200323847,5.042381989479318,3.222329345250925,5.0835097079060585,7.822683898657328,7.531281807392943,10.34337573836567,9.891429042519604,10.340432939531771,9.158339000454472,9.751313503077146,18.30517303588671,15.54996730784642,11.092530649726983,9.589880926549348,9.811644752603703,20.133092991837827,16.69695653478938,9.387070285124343,20.966344432298914,16.670929630739774,6.911043638798775,7.62749772993741,10.0168874118277,16.96148327519564,12.63747329722306,11.729534972596438,12.61683816897824,16.27988277690984,27.633179902211083,21.835173849626308,13.734932786731244,14.510108220310618,18.879181367258543,30.88948095522451,25.385169420398743,7.021256616414353,7.828730232374145,7.082368848154829,10.573960012140583,10.163380192541196,9.683997281131544,9.188491652565858,9.638914183473055,18.77589692285974,15.898606415590953,10.773274422224407,9.69172098613854,9.946231915437163,20.644210286315804,16.58316418698415,9.545821653926655,21.829592778700068,16.77310168543797,7.399474214051496,6.130487695145788,8.2897114134195,15.267841072777308,11.134665886955366,10.95831829890962,10.329488273426236,12.852260352690914,25.35218347109163,18.56060090310802,12.697725789530672,11.157107563058627,15.015177396847069,28.06909484507078,22.262325849964192,7.88827290080761,15.313255449067391,10.92647376769145,12.35692552029671,24.609908520891725,18.52593934651828,14.796287012417256,27.112410951975928,21.58939423279197
poly3,True,False,6.022437807181705,8.919369359780116,11.458233716827849,12.473921186194682,19.025338855711382,9.021799240393682,12.075391813440984,15.669356724437868,21.1016170377741,26.979474359785065,9.877935828328374,13.032192946859189,16.47616677129449,23.5186373820764,28.834613134774678,17.06191284408312,24.84678811022998,30.62264173930636,12.379830296494587,12.531312349377004,5.647775725062385,9.119204490568835,47.27491634852382,16.16289209583967,14.548486753875936,6.664081663455389,6.976808983704913,84.96437349985911,17.52076912549186,15.975251825949066,6.9887400760826415,5.52110294290693,92.25889696985992,8.142021105742929,9.365943020646537,8.809570914012005,10.774358336001802,11.02668965115916,11.15301696442443,11.599688261346964,11.310356885339903,15.89820210915007,15.022860001414909,11.978333746148197,12.695799995622272,12.006540229520487,17.86094746251539,16.114487777943065,11.479749824040608,18.98558660893894,16.245017293687404,1.6900852952837166,2.995244668517299,3.298908036145627,2.872533066679198,1.9611397228102705,3.118286348526897,4.31068261535387,4.823011340182602,4.236040641974273,2.9038687390233964,3.5562775271850886,4.9133317668820204,5.56346769128458,4.69593484465653,3.1401119592952167,5.05968539723047,7.804791220063138,7.546715771279806,10.336951260740738,9.823329366119246,10.271403695102997,9.052083160353336,9.690216945766938,17.97106967710645,15.66424583723393,10.942983528671826,9.783137282982269,9.748752671658515,20.145433558347285,16.817213059858126,9.280533662289614,21.08744241036361,16.61345112037903,6.249637603879755,6.942635947745546,9.06000315959398,14.78653953544078,10.95253719473749,10.536167138679268,11.71016852501286,14.067133467901716,23.966323629325323,19.056307325818768,12.423753896689387,13.412685389309262,17.16854646408896,27.01559004800703,22.890744288869968,7.008683394349915,7.852915183514042,7.040944547952308,10.60026206252358,10.138967211701384,9.608867165849306,9.119015309360504,9.560597621517738,18.950915420461055,15.76028206861043,10.820149934278108,9.761079283248408,9.927776233121136,20.761990193015084,16.625113699577536,9.539394259643345,21.412836891367277,16.92981267292943,6.571598190214874,5.611051927264429,7.471537830964795,13.041562039625676,9.458217980942596,9.79189348116372,9.560799947802526,11.659088331737324,23.85055419819073,16.36186146145676,11.4977216423375,10.28926310370182,13.929740395832004,24.233116346371528,19.290929402299344,7.090444895358163,13.053425318595238,9.255271436709547,11.1993550979737,20.817214735369976,16.32531317519702,13.677738684690231,23.33244028444232,18.73585254543521
exp,True,True,7.3415369507042145,8.47584231551494,7.442219368555073,10.73814276170812,9.007261890337457,11.477576080590474,11.523323645054868,10.680582705791393,17.250941350407594,13.486169271463323,12.747407100134138,12.493669523111572,11.37598921500223,19.09247477716249,14.69661636651026,11.71498452192446,20.194098311085263,15.24422639025734,4.453844712757887,2.6522485308202595,4.345982171184279,3.24469013088218,4.891677435206517,6.671084704527473,4.595660765452271,6.461496805119957,5.100937818436922,7.667220790520583,7.644781425474933,5.18283879982203,7.382113559340726,5.811212857173017,8.752634968330431,8.910660586434645,10.30929438184058,9.806005363271185,8.32736145505209,11.442412171633263,12.46106156983724,13.416688908491146,12.796390969658344,13.046715434343303,15.480669406391632,13.438295707609583,14.614231324962214,13.584906567033114,14.77739656041338,16.62634440295076,13.173937910475958,16.213072688544653,16.892669218637153,0.6919776947068942,1.8766225643381464,1.7112670020123633,0.1411151338208087,0.9750174604630466,1.6962635198061518,2.888648523914102,2.5878090894684327,0.4072391009355459,1.5311300204933165,1.788703031088985,3.292403358984991,2.866562462781073,0.4164562212339267,1.5769320323546638,5.040864439227098,7.832467675430124,7.535551211476519,10.350097059265606,9.85655073923521,9.929957842432836,9.042140865047552,9.70811694077452,18.26513442039393,15.624923604457052,10.408667584457952,9.47432916004242,9.715692639829337,20.1676996675784,16.71125421691004,9.222125824831409,21.13888947475612,16.68882637462545,0.5639864125729936,2.5198379195197265,1.5811133622325004,1.4416174526151937,1.437762095267162,0.9803817762527086,5.367368355687909,3.045477313722806,3.9127582032670207,4.14072144496376,0.9095239182829372,5.68516418631073,3.6766631999793016,3.974104146311404,4.657192647524793,6.852815815555808,7.824885580360273,7.058267297589726,10.378118322978354,10.168906334317622,9.3322158012181,9.143563704929754,9.646135111012237,18.681719963805836,15.746180853745692,10.298837996533472,9.483560676304927,9.923114745458546,20.59382565289764,16.696874266494397,9.422292579028577,21.50618455931142,16.859502776258942,0.8567629591605272,1.795459856152873,1.3935320610986834,0.8042051130219214,0.8581225796140829,1.3572081722738036,4.472820951708731,2.483507591529304,3.566931449552891,3.380360802628394,1.301466109040381,4.521795082805378,2.780589918249938,3.739472186380885,4.0083843788661655,1.3286222359555668,0.7449237111033825,0.9057235992744136,2.442843570687326,3.3902163035035286,3.4337179716102537,2.9292724996789548,3.4471230623869906,4.002030476450678
log,True,False,7.111636640477062,8.231784263085867,7.353001114129939,10.395712535526734,8.942240695065866,11.052333663524372,11.198360671450812,10.59325341274857,16.969513439313207,13.366126106800142,12.20471510836062,12.118026652868824,11.29048016466207,18.812028940693445,14.57355477802392,11.61626428171374,19.862650422670598,15.111770366417076,10.866623036187088,10.927346989508171,18.190617220739234,34.209643414001455,26.746112510072397,17.46970815336595,16.514598036919608,26.951019476516475,52.51518733600486,42.55757125756326,20.544487094348938,18.997446725643137,31.65640683722572,57.79057153344473,48.89473226541352,8.34036175629641,9.750044974620506,9.0741641309592,10.305234072037392,11.137295490552498,11.533786520166004,12.30098848039828,11.76597533275194,15.144613187992134,15.196315113667511,12.420639385795075,13.443837754759146,12.507785663085688,17.050726047158253,16.309057517025213,12.043910421282192,18.140796044318748,16.484053444672433,2.1523241908587813,3.6306768222065537,3.863281609281505,4.515528429329785,2.346135237092023,3.807730689761103,5.211976134380351,5.631587351641583,6.655231803847188,3.4739294739564355,4.377520452360352,5.940894950459152,6.509117715290122,7.351519757813246,3.788060793285804,5.148012849845514,7.906214147890215,7.549561371253871,10.399060665462317,9.813205600596053,10.664803613663526,9.521975220217676,9.979479932261931,18.30875935336019,15.579710036080884,11.550019925563667,10.17632839356522,10.138352475504089,20.270009554175644,16.758903294949583,9.831913014612,21.339744747771714,16.884869556454095,13.560627489062172,13.377159327177605,19.46624313431526,39.37609592605575,28.511973881867828,23.287274296654687,21.190186013975943,30.981289434361056,61.85753596651537,47.10256409235282,27.645473055850108,24.687551670156324,35.67857568800201,69.88966332821992,55.096899539606646,7.207265949932552,8.01928919182618,7.23094853464977,10.873290774106524,10.272500432914551,10.107394777646409,9.601986640936596,9.849204260307832,18.6653604463721,15.694468483823108,11.213452133723996,10.104660230894586,10.247240104215278,20.54677481087195,16.722468011306262,9.89096504691481,21.55053318882515,16.993015590444426,16.768634364370993,12.471677571384436,18.78914118020994,45.25260498555316,32.460474744112155,25.008613979259167,19.277993820988947,28.531728137335183,70.78715617023474,51.75710671441814,29.184821054825434,21.318422093459457,33.25948715135321,78.78745213276068,61.13599792053289,18.46081735208378,47.41700538734828,33.43282417158098,27.99000389102868,71.8257500453513,53.601254836155455,33.122658600969054,79.51771380468442,61.60791933545147
power,True,False,7.182821446776122,8.284899554213961,7.380852058354717,10.505885245507931,8.973950286211858,11.173655487552391,11.253112870211332,10.611809594580594,16.9472970747455,13.393306728221026,12.368808355680946,12.186414979990449,11.31034788286563,18.763777799631814,14.599402625453187,11.6412018226425,19.83467404198558,15.142953350217883,4.404530660703804,2.6850430294930216,4.245468727869068,2.9525662737338885,4.743365056243405,6.596144276301797,4.740068417266016,6.318450843091263,4.722558266621963,7.489253722995163,7.543602026319696,5.335887175646185,7.207866685923864,5.384179312440185,8.550798612696665,9.083179322395,10.5548911236396,10.185382086668938,7.0278816946718345,11.547555345301433,12.935566998196355,13.865206176805229,13.17361511450987,11.502571858194024,15.630372877496187,14.003708314057596,15.091864755334562,14.057431700764749,13.106489909210776,16.798805667544613,13.875408406167011,14.689392537726931,17.099971484464586,0.8088792693334986,2.128206270583702,2.8039332290792305,1.0321816324895203,2.1122365851099283,1.8992070494703788,3.2626314205729483,4.656025185173537,1.8380170892220908,3.4393455707069496,2.531840156997349,3.7183178868075033,5.836456660851412,2.294920745858418,4.038186005757312,5.118508309971372,7.899644354664148,7.549115544213126,10.39440181471812,9.806521489907269,10.426999220839631,9.431545797033166,9.932335407726663,18.306803132957665,15.577109194867427,11.164124178327524,10.026512785189626,10.051680997524068,20.26182350739004,16.75721658414412,9.69035405691204,21.315259893894147,16.866248554758318,0.6338259139100368,2.713496703152251,1.6560032608963065,1.6249923983268166,1.4586555745630458,1.1640825355618056,5.745580759825668,3.1819522424252877,4.105635722852592,4.191079133131378,1.2903784606378228,6.089253908224037,3.86329849660952,4.360117679407497,4.748221621542334,7.111660944125868,7.994386814791707,7.20381769144877,10.751931673331615,10.260697503174844,9.903384686404827,9.535939448909469,9.826754258604732,18.665156798597327,15.692101536653531,10.971577289884015,10.005101381378566,10.20227434525915,20.54525755723224,16.72208987057683,9.815040004738306,21.54950742657045,16.985598795851946,0.9159238680814096,2.0900793085413123,1.5321294136068997,0.8532543816649597,0.8659862045365821,1.4815908045569397,4.99033536403996,2.677425148093283,3.63236795682879,3.4061433259588205,1.424892355435904,5.11475213816404,2.969992771095035,3.854035359544761,4.041152650084734,1.5177026836681184,0.7770844032166022,0.923639455818265,2.6695099127938646,3.4365144307178306,3.4638838047721183,3.139376643834326,3.531087533334453,4.041142055652094
mult,True,False,7.182821446776122,8.284899554213961,7.380852058354717,10.505885245507931,8.973950286211858,11.173655487552391,11.253112870211332,10.611809594580594,16.9472970747455,13.393306728221026,12.368808355680946,12.186414979990449,11.31034788286563,18.763777799631814,14.599402625453187,11.6412018226425,19.83467404198558,15.142953350217883,4.404530660703804,2.6850430294930216,4.245468727869068,2.9525662737338885,4.743365056243405,6.596144276301797,4.740068417266016,6.318450843091263,4.722558266621963,7.489253722995163,7.543602026319696,5.335887175646185,7.207866685923864,5.384179312440185,8.550798612696665,9.083179322395,10.5548911236396,10.185382086668938,7.0278816946718345,11.547555345301433,12.935566998196355,13.865206176805229,13.17361511450987,11.502571858194024,15.630372877496187,14.003708314057596,15.091864755334562,14.057431700764749,13.106489909210776,16.798805667544613,13.875408406167011,14.689392537726931,17.099971484464586,0.8088792693334986,2.128206270583702,2.8039332290792305,1.0321816324895203,2.1122365851099283,1.8992070494703788,3.2626314205729483,4.656025185173537,1.8380170892220908,3.4393455707069496,2.531840156997349,3.7183178868075033,5.836456660851412,2.294920745858418,4.038186005757312,5.118508309971372,7.899644354664148,7.549115544213126,10.39440181471812,9.806521489907269,10.426999220839631,9.431545797033166,9.932335407726663,18.306803132957665,15.577109194867427,11.164124178327524,10.026512785189626,10.051680997524068,20.26182350739004,16.75721658414412,9.69035405691204,21.315259893894147,16.866248554758318,0.6338259139100368,2.713496703152251,1.6560032608963065,1.6249923983268166,1.4586555745630458,1.1640825355618056,5.745580759825668,3.1819522424252877,4.105635722852592,4.191079133131378,1.2903784606378228,6.089253908224037,3.86329849660952,4.360117679407497,4.748221621542334,7.111660944125868,7.994386814791707,7.20381769144877,10.751931673331615,10.260697503174844,9.903384686404827,9.535939448909469,9.826754258604732,18.665156798597327,15.692101536653531,10.971577289884015,10.005101381378566,10.20227434525915,20.54525755723224,16.72208987057683,9.815040004738306,21.54950742657045,16.985598795851946,0.9159238680814096,2.0900793085413123,1.5321294136068997,0.8532543816649597,0.8659862045365821,1.4815908045569397,4.99033536403996,2.677425148093283,3.63236795682879,3.4061433259588205,1.424892355435904,5.11475213816404,2.969992771095035,3.854035359544761,4.041152650084734,1.5177026836681184,0.7770844032166022,0.923639455818265,2.6695099127938646,3.4365144307178306,3.4638838047721183,3.139376643834326,3.531087533334453,4.041142055652094
hybrid_mult,True,False,7.483405087894605,8.559090679028294,7.829674482572557,10.694188835733655,9.48754815176338,11.74681509553334,11.546461067790272,11.020427691011156,16.90818342710437,13.764248807249912,13.120437861385687,12.571229413244875,11.8217443245155,18.679684981810503,14.990373754982254,12.290220792162636,19.78238439530506,15.649114602092112,6.6944450674200064,6.679965472065221,7.985857669923617,10.2246553670456,7.715141034150786,10.6422447828169,9.158515006608162,11.793261878509918,15.00884000754578,11.60180255292262,12.563291648750472,10.598321893793164,13.607834260375544,16.65552913244632,13.3142767660853,8.648998918258327,10.33836911549574,9.57529293556711,9.292485127956176,11.292198701707765,12.26812334888526,13.579940307692109,12.63357912670384,13.187862116693813,15.486422095304588,13.308394893794272,14.8301430039012,13.488556378592332,14.87710166151498,16.662002027499284,13.215614332263884,15.88443075490865,16.924412140888563,7.309978836292036,7.342916963406616,8.83858319957422,11.224367034900972,8.599915044196202,11.546391818757328,10.468281512971892,12.71176337533902,16.35779331647763,12.837403595287016,13.69295137721686,11.937951523263964,14.795134381497824,18.14146098237183,14.500391133145497,5.517569745731504,8.243738755503427,7.54673462583065,10.480125693255053,9.799461269078218,13.343064266782722,11.893854512656691,11.732473405992264,18.389583254316506,15.56861768555553,15.437579898758806,13.453717469892553,12.723445268787245,20.61582495830737,16.817755822388108,13.342595219233012,22.070027460667557,17.49555879832059,5.819610925283249,5.695976219474627,7.57649497424877,9.54664459115861,6.968230220384084,10.448831773191069,8.048123737756503,11.517655767521475,14.317602195498752,10.51821645859994,12.71715187922544,9.782083978322431,13.031766546831946,16.34352272279967,12.455017503046273,8.336774948622363,8.790750828267619,8.027014943014402,11.686139659379668,10.433262041259304,13.017209144877905,11.611898741100852,10.999211037823308,18.663796758225203,15.683445105802708,14.669620685712363,12.763918164555104,12.043355932427968,20.53631163008494,16.71648437634139,12.414519780152451,21.58377432278387,17.335416440155548,7.119166349277653,6.497807665132543,7.985286363122081,10.228352612414543,7.547302838577994,10.834656109618544,8.444561198593581,11.74878726424779,14.579438303763965,10.875947554940128,12.835121696954747,9.84406044063636,13.653471083020095,16.386512222526186,12.89525741525426,8.164718228812017,10.790223042026629,7.790628454186504,11.759004619118496,14.932471609647486,11.12034801427426,13.640444374455983,16.748460062633217,12.819524374362825
am,True,False,7.259072413432623,8.429799617198514,7.379603758046087,10.745604910723722,8.91148848655256,11.347378239876416,11.501493931699724,10.639203458743008,17.518825226367372,13.426674687016352,12.567867653873884,12.452935968558537,11.328499190756109,19.424142549771105,14.63915057103658,11.656283832672637,20.505429141654865,15.171122632212017,7.530188859202314,7.201619450624798,10.908678395935135,15.65831410996842,11.856775945847415,12.03033287213518,11.21205855130582,16.234327789799355,24.713252191209577,19.457007485689505,14.016741562800195,12.863265696786245,19.09240844234188,27.13727459950569,22.33821432784657,8.22711300654561,9.53212495857596,8.893671492424652,10.595826341255036,11.069522457963624,11.31627701666951,11.904062736888736,11.489219953665726,15.610483333935528,15.088166657408973,12.168975497452072,13.020969152198251,12.202953651338486,17.5534967986616,16.183605307779818,11.692952513019682,18.65740452292774,16.33552956474307,1.891672306503554,3.2622882236550272,3.5163346485429465,3.4869240478133565,2.105324674483637,3.4086636668172017,4.690524667416583,5.136235332549066,5.15614470074028,3.11487659917872,3.901156663710937,5.346803478147204,5.931541271979696,5.690992505140994,3.3799806183345718,5.102362895912718,7.846415260241636,7.536469883870543,10.35927700488641,9.871609123207756,10.430467183475168,9.235794829328038,9.806017724432984,18.26897569278434,15.630813118384207,11.224383587509717,9.79617832208496,9.896159958912548,20.18381162292777,16.715100652975288,9.517717317412105,21.18724071556408,16.731560309544115,8.368531579910247,8.94482371509492,12.093229449526666,22.099735727454764,16.13476340968416,14.233288868298883,14.594033016467192,19.501787115081584,35.18080330691089,27.348208305619654,16.789272518534148,16.834988577883962,22.5658108436139,39.65603298066822,31.89987593926425,7.071038657010318,7.882872638854883,7.119683289251886,10.66308696115864,10.198526162794892,9.797099277101315,9.29767279200288,9.696729664762618,18.682176751408303,15.752004027249566,10.850179352598047,9.716397733978695,10.024709613420754,20.59722372597944,16.697809921266312,9.59425772585379,21.50849242623557,16.877944503591603,9.147318419641447,7.40806192710965,10.25815411383896,20.566060871545865,14.816537965172897,13.576640062164778,12.129359970235486,15.78726575159796,33.28712011132328,24.560720087008036,15.769216960335658,13.20174407543074,18.4342962128429,36.93788211091972,28.99481372450825,9.829576041245248,20.69541381927697,14.615006733222664,15.22622886166642,32.47213337237044,24.551249165689,18.1618403288476,35.79147305693132,28.20629338236653
gm,True,False,7.25907243878413,8.42979951361195,7.379603758253265,10.74560530883394,8.911488433130593,11.347378194228405,11.50149398386999,10.63920341156591,17.518825278484574,13.426674585351106,12.567867602312386,12.452935334706725,11.328499163362752,19.424142655189385,14.639150604209778,11.656283765295216,20.505429286325057,15.171122552480862,7.530188822415631,7.20161948956975,10.908678456175172,15.658314086842466,11.856776061820012,12.03033311281412,11.21205862225174,16.234327886321193,24.713252058587614,19.45700750674149,14.01674140116361,12.863265645012794,19.09240795818357,27.137274660234947,22.33821465739558,8.227113006542,9.532124958575968,8.893671492424653,10.59582634125504,11.069522457963558,11.316277016669511,11.904062736888768,11.489219953665724,15.610483333938095,15.088166657409236,12.168975497452088,13.020969152198054,12.202953651338484,17.553496798661605,16.18360530778165,11.692952513019678,18.65740452292774,16.33552956474307,1.89167230650356,3.2622882236550312,3.5163346485429465,3.486924047813352,2.1053246744836414,3.4086636668172057,4.690524667416583,5.136235332549066,5.156144700740272,3.114876599181793,3.901156663710937,5.3468034781472005,5.931541271979704,5.690992505140978,3.3799806183345718,5.102362895912718,7.846415260241645,7.536469883870557,10.359277004886408,9.871609123228414,10.430467183475168,9.235794829328038,9.806017724433117,18.268975692783744,15.630813118384072,11.224383587509712,9.796178322084966,9.896159958912545,20.183811622928165,16.715100652975334,9.517717317412105,21.187240715564062,16.731560309544147,8.368531579910242,8.944823715094921,12.093229449491684,22.09973572745478,16.1347634096832,14.233288868298876,14.594033016467192,19.501787115081456,35.18080330691089,27.348208305619668,16.78927251853416,16.83498857788396,22.5658108436139,39.65603298066821,31.8998759392023,7.071038657010318,7.882872638858278,7.119683289252632,10.66308696115864,10.19852616279489,9.797099277101315,9.297672792000649,9.696729664762705,18.682176751407702,15.752004027249573,10.850179352598088,9.716397733978695,10.024709613425104,20.597223725979457,16.697809921266522,9.594257725853788,21.50849242623554,16.87794450359162,9.147318419641453,7.408061927109656,10.258154113838875,20.566060871545854,14.816537965172897,13.57664006216477,12.129359970217502,15.787265751597952,33.2871201113167,24.56072008700804,15.769216960335651,13.201744075430748,18.43429621284289,36.93788211091975,28.99481372450825,9.829576041245218,20.69541381927697,14.615006733222664,15.226228861666424,32.472133372368475,24.55124916568899,18.161840328847607,35.79147305693133,28.20629338236654
