model,mean,min,25%,50%,75%,max
linear,1.3381793098773624,0.1906037186742491,0.4273552906135313,1.0598958661259952,2.071410255981654,4.585249567661617
poly2,1.3985892096262453,0.1441718620911261,0.5437076056783565,0.7872094543986079,2.215392156391184,3.9575283282097815
poly3,1.4707020838895086,0.1328545196971771,0.6158684209363964,0.8231412289903508,2.3068568585342257,3.7984268971347466
exp,1.8684334915315952,0.4592920704994306,0.7732462250223224,1.4377478939285793,2.31625709585747,4.820398670864087
log,1.7783907439013276,0.1229077297693594,0.2847776505555361,0.7802144427516712,3.3734200982949027,6.852616319989487
power,3.599768771396126,0.2534448363734926,0.797433571471916,1.8544395047159568,2.452778380089341,32.53355204455558
mult,1.847077104824976,0.1780787386136352,0.4225578106717555,0.708704858537473,2.4981078919007373,7.232264532800079
hmult,4.463122763655086,0.1281942246609679,0.3997931466890014,0.744289627692352,9.823160121388607,15.96945002734791
am,2.4428865864569698,0.3632189276724165,0.8156476727328232,1.6169998290746517,3.541822032706738,10.716704684823704
gm,2.438249914082448,0.3698599851223968,0.817263378912017,1.7143133560679296,3.548987320815459,10.579592133860167
hm,2.422061751121984,0.3608717150032648,0.8002846852745918,1.866268867041008,3.66177465581877,10.415600102921225
