model,pareto,rawlsian,gov-1k-flores,gov-1k-bible,gov-1k-gov,gov-10k-flores,gov-10k-bible,gov-10k-gov,gov-25k-flores,gov-25k-bible,gov-25k-gov,gov-50k-flores,gov-50k-bible,gov-50k-gov,bible-1k-flores,bible-1k-bible,bible-1k-gov,bible-10k-flores,bible-10k-bible,bible-10k-gov,bible-25k-flores,bible-25k-bible,bible-25k-gov
linear,True,False,1.0598958661259952,0.3758165910480714,1.663890148569,2.068530653939378,0.6353563366775052,1.2700815730294537,2.3855808765430444,0.7111891407211215,1.2679448517820242,2.8221043705912767,0.6868505464935409,4.585249567661617,0.2562615337644932,2.071410255981654,0.1906037186742491,0.4273552906135313,2.0867225827041467,0.339003385298406,0.4563454270409388,2.345754411219324,0.3958183789458377
poly2,True,False,0.7872094543986079,0.471641147924447,1.5881696633828988,2.5914381977944343,0.7017533684038817,1.2391923418076785,3.04468804314728,0.7221003065279266,1.1497296975472862,3.2085767230999243,0.7593223391663805,3.9575283282097815,0.1973890575539757,2.1424108415538576,0.1441718620911261,0.5437076056783565,2.215392156391184,0.306251799510951,0.5882348873987624,2.529274243032568,0.482191337529844
poly3,True,True,0.6585615608421773,0.535898665269127,1.6871608511739935,2.8827104106546693,0.7935283063428205,1.2208886384713082,3.386518681839733,0.8226979647699402,1.1083753178182865,3.527217792078776,0.8231412289903508,3.7984268971347466,0.1672606506968121,2.2058577660367367,0.1328545196971771,0.6158684209363964,2.3068568585342257,0.3482724870464243,0.6626347761281991,2.6522657924848403,0.5477461747329444
exp,True,False,4.21213099262001,0.7732462250223224,1.7769225310609378,3.877643740091041,1.8906790451543367,1.3785008845609834,3.7655202556917926,2.31625709585747,1.3253108730004757,2.535792000605401,0.6163201251341891,4.820398670864087,0.4592920704994306,1.4377478939285793,0.6422764998369251,0.7366162023192955,1.6719979797559308,1.1304523045342467,0.7649360701721034,1.9330195805734691,1.172042280880479
log,True,False,0.7802144427516712,0.2817816868672805,3.578122325554204,1.437424923597603,0.4890473422002719,3.2424828146953297,1.6463019222659998,0.5209397642205176,3.3734200982949027,1.557560554668627,0.574435809745364,6.852616319989487,0.1595391647143283,3.590221849781848,0.1229077297693594,0.2768274373175974,3.8191551920189375,0.2345769692093397,0.2905134837504032,4.233338139959274,0.2847776505555361
power,True,False,32.53355204455558,0.6727464526363924,1.8544395047159568,1.3663093483655149,0.3067630539615434,1.7881553937385586,1.488891803558419,1.809177310092916,2.414055049273319,2.1598736513648995,0.6547466105408536,10.156553512425145,3.3347457245062087,2.203358152385286,0.797433571471916,0.2953942524478431,3.2239505535228106,2.2852121347026766,0.2534448363734926,3.5435628585899885,2.452778380089341
mult,True,False,0.708704858537473,0.3927292225033439,4.864649415754236,2.011302980896529,0.5217217626302596,2.48337935645352,2.4981078919007373,0.5908176447254883,2.450091009564576,1.8824161430543416,0.5433902470593096,7.232264532800079,0.4225578106717555,3.963879867059116,0.1780787386136352,0.3053573146304098,3.508431023386575,0.3060154702562735,0.4262458850394578,3.2192167912323995,0.279261234554972
hmult,True,False,0.7608164426662769,0.4965097845869305,9.823160121388607,1.0418607142345442,0.4936278481162103,13.423732024346153,1.0911996679726288,0.533935276509008,14.544975458160362,0.744289627692352,0.5503874672669625,15.96945002734791,0.1281942246609679,7.978582009600475,0.1416217193106668,0.2914784979462562,11.392252754070654,0.3016101173410986,0.3068106490624035,13.311290457787331,0.3997931466890014
am,True,False,2.1868789299484983,0.8156476727328232,3.849766257699298,2.745063082436814,1.1368808500083278,3.541822032706738,3.2220437457712783,1.3416540396851984,4.279611455951307,1.6169998290746517,0.7342975360184503,10.716704684823704,0.5636043860826047,3.3344872153458858,0.3632189276724165,0.838262134179716,3.778653283375539,0.654580861285647,0.8656799937731101,3.921319315757128,0.7934420812672298
gm,True,False,2.2315564880221483,0.817263378912017,3.786782038340786,2.70085474603096,1.141978648198699,3.548987320815459,3.166171533037791,1.349847064682391,4.310371640948359,1.7143133560679296,0.7502158601951948,10.579592133860167,0.569716969672976,3.3259775930137563,0.3698599851223968,0.8390670976237544,3.776685710168509,0.661594554120116,0.864302434907249,3.9025358721162577,0.7955737698744889
hm,True,False,2.191407059382191,0.8002846852745918,3.810848979364132,2.4780306077107253,1.094040960471705,3.66177465581877,2.915396211347825,1.3056058771095689,4.462461343344563,1.866268867041008,0.7768847929213235,10.415600102921225,0.5615386332424722,3.345152058121569,0.3608717150032648,0.8161694827915031,3.820734584243071,0.642432791941354,0.8409145040160972,3.924808258327122,0.772070603167585
