,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,[0.5],2.5121479338940403e-15,[-0.5],1.7623917062334171,[1.0],4.96530328151311
kfold,[-0.5],1.4503892858778862e-15,[-1.0],1.8039595163835236,[-1.0],5.1254144497322836
