train set,train set size,test set,c0,c1,c2,c3,rmse,kfold rmse
gov,1,flores,0.02096667662686776,-6.379393457353439,-46.52502423927926,-4.446960178138885,0.7155417527999326,0.7572582092644561
gov,1,bible,3.1049425703173055e-06,-17.041103589232115,-108.94548889726296,-11.101787678688865,0.17888543819998318,0.18581353721241858
gov,1,gov,5.883917751139949,1.9293879827396703,-5.813025500820114,-0.36206340636960804,2.2837010334370067,2.40590092144928
gov,10,flores,0.15260984697967875,-5.668364933200464,-26.736647244944262,-3.5743731316255016,0.13416407864998733,0.14198591482621734
gov,10,bible,0.00019554229605261395,-12.948622628660095,-78.93692108437672,-8.020259601096235,0.3130495168499707,0.3313004732312563
gov,10,gov,22.534805360794543,2.2050208850325754,-1.3182391502992399,1.8107686866423807,2.3971327706196237,2.4019929227292174
gov,25,flores,0.23935250844622905,-5.213923709908685,-23.30690352234637,-3.3601608644034475,0.11180339887498983,0.11832159620405058
gov,25,bible,0.0014685208221545678,-10.093802557691278,-60.38986084454956,-6.503585676673333,0.42485291572496003,0.4496220597563768
gov,25,gov,24.9252649818545,2.206516544191567,-1.3742757029905293,1.8008132447528133,2.9941259709158095,2.9956051983947294
gov,50,flores,1.788537612483344,-3.1127163364365686,-4.215231794689797,0.9624797902849662,1.0255800994045674e-15,1.0255800994045674e-15
gov,50,bible,0.13698717045345507,-4.608865094955069,12.427009861614891,2.07851666266951,1.538370149106851e-15,4.053961296325412e-16
gov,50,gov,30.835145506170466,2.1375310297094505,-1.0441810365925064,11.1072295686408,3.8685076703187797,3.8748054805241874
bible,1,flores,0.009189665260093221,-5.158055639604226,-38.10479689754385,-4.152202311008506,0.20412414523193156,0.236290777996245
bible,1,bible,9.809154798000597,3.174953980238801,-3.2607807380509968,1.2515868207817795,1.7360970058546104,2.1199008579163707
bible,1,gov,0.00017863020944942706,-10.925387885610423,-73.21859086714606,-6.931834112538222,0.12247448713915898,0.14129313464798512
bible,10,flores,0.03562132330054552,-4.6232309697618215,-23.764395030761868,-3.678578454954674,0.12247448713915898,0.24494897427831785
bible,10,bible,18.13140019646795,4.144827238060198,-1.463488732053876,1.2244559509680142,2.535171935976029,2.6081204707730348
bible,10,gov,0.0017530755624721233,-8.628700014791077,-54.590933563538236,-5.7140529672761184,0.18371173070873834,0.2888366362521527
bible,25,flores,0.05736619528414062,-4.17032534856726,-15.93181891846186,-3.392884551818554,0.15652475842498534,0.16565023467345408
bible,25,bible,20.420198263535852,3.2745791127768005,-1.5248332830303652,1.246544683042252,2.597073845116317,2.6017695409264943
bible,25,gov,0.002725687100257878,-8.035721705093334,-48.5244953420083,-5.5899015239524426,0.15652475842498528,0.16565023477904273
