model,multi factor,multi variable,overall linear,sliced linear
linear,81.61%,66.21%,66.21%,100.00%
poly2,74.80%,60.68%,60.68%,91.65%
poly3,61.89%,50.22%,50.22%,75.84%
exp,92.88%,75.36%,75.36%,113.81%
log,86.41%,70.11%,70.11%,105.88%
power,125.98%,102.21%,102.21%,154.37%
hmult,140.19%,113.74%,113.74%,171.78%
