model,pareto,rawlsian,1k,10k,25k,50k
linear,False,False,3.079609106287025,4.070255523072315,4.29402951856693,3.502607643568934
poly2,True,False,3.06613918270124,4.009315457503807,4.246815517967503,2.3761866335732886
poly3,True,True,2.3427538891028226,3.1819756660270024,3.363773437204628,2.4467691240321
exp,False,False,3.6754733359059246,4.881115239648992,5.292053357354076,3.161860497801628
log,False,False,3.4629845231839966,4.683891691515756,5.106013937091159,2.5725982304857755
power,False,False,4.658390488541697,6.425731326851171,7.099319795133644,4.889220675828654
hmult,False,False,4.832993165668979,7.01173007591882,7.894346703569562,5.936522453131505
