train set size,test set,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,2.6469597872523996,-3.6061103326015563e-09,0.000970156037413067,2.2447312046017482,1.8827248226067204,8.812658604152176,9.125778455914997
1,gov,5.386983160908638,-2.8250788286350133e-09,0.00802758563107431,2.5439700343992913,0.012745436791605192,9.871202280004036,9.856955082216958
10,flores,1.8290371780010113,-5.460938245979008e-10,0.0019908170760192345,1.5107668074370728,1.2243234741078548,6.084804989142428,5.836261409628266
10,bible,4.896204382097387,5.187629295231127e-05,-2.7083949996366348e-09,4.233258756012441,3.6365908368607354,13.424694819368902,13.55076916361036
10,gov,6.127374911910972,-5.387860785348855e-10,0.04019550768964635,5.295052116004962,4.545890196223227,17.245743740846542,17.01838562430785
25,flores,2.2015892074664705,0.031567194918358896,-2.4679680719164315e-09,1.9048804052321973,1.63784139232213,7.182078662972659,7.007722611666547
25,bible,5.72438298348391,-1.4585437053900749e-09,0.034222495128438765,4.953521529666509,4.259749278108146,15.25845055733726,15.645568019921935
25,gov,7.118081742023757,-3.341070509853718e-09,-0.19291996386239285,6.124801614516617,5.230738900469875,19.06319502735184,18.907601099203216
50,flores,4.6671987478412795,-0.024893513331052573,-1.3748082870947028e-09,4.008919742610884,3.4164787409151285,4.678664236086309,3.7787555476866976
50,bible,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,16.39549014280169,-2.548161206810859e-09,-0.07598276355757463,13.834946237682175,11.530432693451315,6.616781575853297,6.011018938059944
