train set,train set size,test set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,1,flores,3.0442648538186834,2.1508862545116587,1.1917761372819875,-0.14121612319219787,2.213895510933913,2.2384280198389424
gov,1,bible,-0.025897288815153015,0.5278223931218664,0.9635386269433188,1.3688114841471242,0.7812383332462209,0.7873753869660898
gov,1,gov,1.9017234367718134,12.535015087946764,18.91344474276369,23.619262668511958,2.6096615361639017,2.6219000743734613
gov,10,flores,15.022315795798486,7.045763030231681,-14.441583416517302,-14.278411654280704,3.2696075197695116,3.32402767738175
gov,10,bible,-2.9275851876166867,19.11664485942071,-12.882114330461302,-9.281669298240963,1.2445882853377659,1.2562006209201833
gov,10,gov,16.004872168173637,17.66838052607005,18.08889725955135,17.509706031228937,2.6901672810440624,2.70976751770322
gov,25,flores,16.871763715200647,9.944164351651578,-18.76532463197345,-12.420117864264844,3.7400534755535246,3.8016627940941867
gov,25,bible,2.5297109595480065,1.077744698917498,-0.9262154500297864,-1.896235572001876,1.4160979250508539,1.4269407836347352
gov,25,gov,17.211007800060813,19.98755395258881,20.382482568736854,20.79675665244938,3.2914029430219163,3.320542124400649
gov,50,flores,33.63353303008091,-5.251366748350249,-28.706267007775153,-38.65026323261806,0.408248290463863,0.430331482911409
gov,50,bible,6.793964370006062,-0.5802855980091023,-6.494592557252781,-11.841387455778504,0.04082482904638634,0.043033148291235106
gov,50,gov,13.442387106455879,24.48809218875895,28.009527692175887,32.08947954393192,3.5517601270356094,3.7438839013338363
bible,1,flores,0.029551974552704103,0.7884430381159633,1.3657944508763888,1.8782231493617836,0.5686240703077327,0.5916079783098847
bible,1,bible,8.849777039494137,8.001059710822611,7.190035438755078,6.417473963242899,2.6112736356038986,2.6360569599053583
bible,1,gov,0.30466726792621446,0.36463198700515653,0.4186025608380454,0.4669287868935683,0.4025957443060387,0.42284311073528946
bible,10,flores,0.6647533049010329,1.3853520139653477,1.9517591992265713,2.4370471064736443,0.9011566641452158,0.9517527690176079
bible,10,bible,18.534494329417445,12.581082120900577,5.901145114821093,-2.002573348580467,3.312916640464513,3.3214649824482656
bible,10,gov,0.5573829306783887,0.7539052722428738,0.9249199249173627,1.0754756157669245,0.7334280241896042,0.7711223182022459
bible,25,flores,1.718177374720006,1.2098385926508592,0.6912428158816253,0.03274099987367832,0.8438009243891595,0.8507408536093385
bible,25,bible,20.421545739624275,14.74866004549515,8.681506243730528,1.869981413563178,3.5145412218382073,3.5212270588532473
bible,25,gov,0.9259656470491086,0.6818874545744208,0.44090816121212745,0.18290868288519171,0.7907802054511311,0.7988992427083628
