train set,train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3","c4,1","c4,2","c4,3","c5,1","c5,2","c5,3",rmse,kfold rmse
gov,1,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.107641334314694,5.107641334314694
gov,1,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,5.316682772927665,1.8530259555027915e-07,-3.76158118560055e-08,2.0134145935512095e-07,5.479269790700548e-05,-1.5137235720565498e-07,-6.795413591270505e-08,2.1502109328191326,-6.323092133777181e-08,-3.400639982271121e-08,4.345144241424564,3.4707615026535343,2.6838138621716863,2.4668731182504946e-07,6.581112625112399e-08,-2.8958387021566115e-08,5.282970248353723,5.181753281395507
gov,10,flores,2.8502709386775025,-4.7624378674040005e-09,0.0021652451172692344,0.0038657615735566584,0.0016122543855543162,-0.00019633572672545196,0.003520752308484922,0.9731199993086782,0.0016462085927081665,-0.002325086030524327,2.4070371803255433,2.0081261729354307,1.6491071445884031,0.0003787028349721122,-0.004300378730617739,0.0041298825919291885,4.778463558039909,4.16133079488861
gov,10,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,10.667926112659767,0.012764566038296388,0.01039361976726834,0.000986174672063662,0.015411590830988092,-0.009829240862692856,-0.001634213533948668,4.331881810286318,-8.988251811713906e-10,-0.002830468359335929,8.586142652053585,6.710759805518195,5.004178425759301,0.018399667631489206,-0.03757603897433886,-0.001516794508843547,5.4185186091969895,5.143791501870876
gov,25,flores,3.7077617358075985,-2.468070188934328e-05,-0.00013046039434029677,-0.00011823725865528469,0.0009533299149154145,0.00037506599933974025,-8.789185010124294e-05,1.2513122001216859,-5.154972640459521e-09,0.0002421020942362557,3.107461724726322,2.567191198338031,2.080947614752075,0.001264330520900121,1.0402162333735409e-05,1.1085111018449511e-05,5.158136477976437,4.546208470924111
gov,25,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,12.229600131084958,7.79117379757863e-05,-2.3735657926970033e-07,1.1022328142817061e-07,6.173652938707291e-07,-9.605757550491926e-08,-3.5185378858585545e-08,5.057993833713927,-2.294681548016355e-07,6.60774258889311e-07,9.643586188824845,7.31559856292435,5.222104137069125,-4.0475732136681424e-08,-3.3408466561289723e-07,7.002376874139912e-08,6.057044845947906,5.609502905338929
gov,50,flores,3.7556436740491956,-3.937773618738558e-09,0.00023994543139453328,-6.005601650857214e-05,0.00039835495113215715,0.00024217450177093863,0.0001458724059951888,1.1947368243866954,-4.712871163036939e-05,-0.0001291048559534515,3.107749782932533,2.5246444454863806,1.9998504426394939,-6.181364846356915e-07,5.6998400970605526e-05,-0.0003112855830988653,4.84728052284125,3.9176754276194874
gov,50,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,14.250363916384497,0.010062707831936593,-6.411351071109752e-06,-0.0004661820354255997,-1.0125014341117969e-09,0.0002550143977074394,0.0002921329986909254,6.093404525842377,0.0007594984066006447,0.0007136305042086507,11.045077327571962,7.840514069829351,4.577438921683021,0.0019418708391111563,7.297459709877778e-05,0.0007699205498945511,6.328230738104469,5.433875241326191
bible,1,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,4.507363932151644,7.735396350472775e-05,-7.324300010343952e-08,-2.860661998346451e-07,2.266223527864632e-06,7.760650128208101e-08,2.0331809713036888e-07,1.8182833177698896,1.7766587207006932e-06,2.226658085907025e-07,3.7310819545764384,3.032428414243906,2.4036425833478976,-5.331547285265733e-08,-2.955603974782046e-07,4.409776700313712e-08,4.7463108649126715,4.199516404736775
bible,1,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,7.943562039751646,7.605747396552228e-08,0.007066939685851961,0.01544218476256572,-0.001272985920034701,-0.013958437676787545,9.394048677628643e-08,3.3494024706674863,0.22752608593878007,0.0019279294886003183,6.593164996262623,5.348536721845335,4.228377127687693,0.014532319070560058,-0.022902807380162614,0.0846648882091889,5.154999609483425,4.857577091472601
bible,10,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,9.478702215761873,-0.0008809869847408691,-2.36738084369778e-05,-5.2481084535330675e-05,-0.007331549264678795,0.001763842342540882,-0.006151244652924579,3.8431814875478425,-1.856725203242542e-09,-0.0007801587495982747,7.753300898269138,6.200430522802173,4.802858191625357,0.001092567152439782,0.0004532382150504541,0.005525317985545315,5.367903923508229,4.864789895415329
bible,25,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6792855623746665,1.6792855623746665
