train set size,test set,c0,c1,c2,rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.419552193042602,-9.52659853985244e-09,-7.067928093131728e-09,8.766746214169137,8.926936895313114
1,gov,7.522082423412025,-0.005170194643688697,-8.378130348031626e-09,9.911519101372999,9.731575972041547
10,flores,3.618458141049316,-8.909344951527308e-09,-0.00011085971288090001,6.399085035717168,5.717454121704816
10,bible,7.745830946009702,-5.251666406729846,-3.704272305551792e-09,13.398725140751152,13.643751210284723
10,gov,10.05969760926784,-6.237850248163229,-6.977932141892192e-09,17.273624503717066,17.091871162682697
25,flores,3.4013767397816443,-2.818856299810237,-5.160289812204938e-09,7.049136771553291,7.111516414112506
25,bible,13.407671769472564,-7.3890866195935756e-09,0.006213996382597382,15.359133184432226,15.557951022382168
25,gov,17.544907511191024,-0.00014526380401396909,-3.827573666604212e-09,18.98744906367338,18.827677852943054
50,flores,7.757206647109335,-4.699423900888081,-8.263962675196266e-09,3.6333346423019957,3.0114252242511563
50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,39.83328776303091,-1.08902330734327e-06,-4.3987788992879224e-09,5.893423952771219,5.585986368777306
