model,log likelihood,R2 coefficient,normality pearson p-value,normality shapiro p-value,homocedasticity levene p-value,homocedasticity bartlett p-value
linear,-290.43549354329605,0.8898520499075893,0.7930298689014166,0.8929064869880676,0.8219423952780942,0.9945613944220691
poly2,-285.6692498487717,0.8999633407284818,0.42632307598228214,0.4230329394340515,0.5987596021950573,0.3842660223100931
poly3,-281.10557456170557,0.908773880766627,0.3368297859269622,0.44458216428756714,0.927044022302802,0.9097013102536178
exp,-287.086671369051,0.8970574063438496,0.0003494752528707273,8.118931305034494e-07,6.884850044158962e-06,1.0572028629013538e-06
log,-292.37702378283075,0.8854458890530285,0.7229842889049329,0.7934408187866211,0.5683731617110623,0.4004564190087805
power,-330.26750053466753,0.7537095642025675,0.003930603389747324,2.5056640424736543e-06,5.893628694868556e-08,4.131283538578791e-09
hmult,-291.700870064105,0.8870000218933728,0.8701846688384207,0.8114643096923828,0.39051600891887983,0.43946911315312776
mult,-311.49617040701906,0.8314398461211125,6.748018582894208e-05,3.7370691075011564e-07,1.4515800668709577e-08,1.4454651109714111e-12
am,-397.06544076482106,0.050472197676210806,0.00039159705747253323,7.700162996115978e-08,1.465022327680139e-10,2.452190762682124e-20
gm,-398.3712831985935,0.02508970068160865,0.0013759189503281318,6.750644843123155e-08,7.650765205018933e-13,2.903144882004106e-20
hm,-399.44175972391747,0.003776874126450336,0.0014856977792016028,6.719589773496182e-09,2.5439980634576597e-14,5.810525370842418e-29
linear+linear+poly2,-290.435493170495,0.8898520507371503,0.7929179544995167,0.8928701877593994,0.8216256345930227,0.994964320193007
linear+linear+poly3,-290.43549317472525,0.8898520507277372,0.7929539902371585,0.8928701877593994,0.8214323966375485,0.9951539379133343
linear+linear+exp,-296.968452582911,0.8743119009853313,0.20143647132849998,0.346728652715683,0.3817431375503093,0.344266240001992
linear+linear+log,-290.43549316739626,0.8898520507440457,0.7929400415814036,0.8928939700126648,0.8216164027089863,0.9949340731663407
linear+linear+power,-296.968452582911,0.8743119009853313,0.20143647132849998,0.346728652715683,0.3817431375503093,0.344266240001992
linear+linear+hmult,-290.43549315576155,0.8898520507699353,0.7929408471456072,0.8928701877593994,0.8215390616465605,0.9950426376167851
linear+poly2+linear,-287.1446303403277,0.8969368014708397,0.16283986182087987,0.24044466018676758,0.4949844654086737,0.2701281706276676
linear+poly2+poly2,-287.1446311611836,0.8969367997617477,0.1627949134470283,0.24062037467956543,0.49454436437446214,0.2697343409999045
linear+poly2+poly3,-287.14463034986005,0.8969368014509923,0.16282868227816483,0.2404683530330658,0.4948704654046776,0.27004843917467647
linear+poly2+exp,-293.1866205386473,0.8835568948309818,0.09405785781373623,0.0678311213850975,0.6706992760572607,0.6587660077420949
linear+poly2+log,-287.1446303581552,0.8969368014337211,0.1628532070429906,0.24046143889427185,0.4949884428125527,0.27014281971620885
linear+poly2+power,-293.1866205386473,0.8835568948309818,0.09405785781373623,0.0678311213850975,0.6706992760572607,0.6587660077420949
linear+poly2+hmult,-287.1446304602184,0.8969368012212168,0.16287428986380906,0.24052856862545013,0.49484875277152995,0.27004873190380335
linear+poly3+linear,-285.1687328183606,0.9009697601657312,0.060079257506772246,0.08102555572986603,0.2346978600083697,0.15302468004392691
linear+poly3+poly2,-285.1687328376357,0.9009697601271691,0.06008830280796548,0.08104627579450607,0.2347214510605556,0.15304837779235198
linear+poly3+poly3,-285.16873326424525,0.9009697592736894,0.06012961293692497,0.08110859245061874,0.23475358031561291,0.1531337176835753
linear+poly3+exp,-290.63943288092736,0.8893973057003407,0.02462630828555417,0.004718579351902008,0.39440275167734207,0.4295297489104476
linear+poly3+log,-285.1687330195076,0.9009697597633144,0.06003623668167097,0.08096233755350113,0.23457262224995618,0.1529464296981832
linear+poly3+power,-290.63943288092736,0.8893973057003407,0.02462630828555417,0.004718579351902008,0.39440275167734207,0.4295297489104476
linear+poly3+hmult,-286.6541149675249,0.8979530525459876,0.1246052242027085,0.1848641335964203,0.43594208521847233,0.21918968637577593
linear+exp+linear,-394.0812990124796,0.10602383041574504,0.0009193657142124796,5.652213985740673e-07,1.1372051378873641e-11,1.738015210325833e-14
linear+exp+poly2,-394.081299122848,0.10602382842247682,0.0009192048759143872,5.647322041113512e-07,1.1343265558483535e-11,1.7311051559660027e-14
linear+exp+poly3,-394.08129945260055,0.10602382246710373,0.0009184813204421777,5.644666316584335e-07,1.1303479148553957e-11,1.7296667722597735e-14
linear+exp+exp,-394.1189283612366,0.10534398131302303,0.0007697515284318626,5.074341515864944e-07,7.995956023530678e-12,1.41605008098707e-14
linear+exp+log,-394.0812990490385,0.10602382975548641,0.0009190666001567793,5.64988340556738e-07,1.1351678770059853e-11,1.7355750727609327e-14
linear+exp+power,-394.0865855245976,0.10592835024952851,0.0010693508272807903,5.490435341926059e-07,1.2024925913561217e-11,1.1448721442017954e-14
linear+exp+hmult,-394.08129904583024,0.10602382981342695,0.000919226871294395,5.650742309626366e-07,1.1362306422490886e-11,1.7362086389799386e-14
linear+log+linear,-293.34973238784914,0.8831725599262357,0.2965540088564,0.19987158477306366,0.7309178440805029,0.39474891626781583
linear+log+poly2,-293.34973240306937,0.8831725598903136,0.2965722896504958,0.1999165564775467,0.7308957319708306,0.3947408791040288
linear+log+poly3,-293.3497393467816,0.8831725435021078,0.2969937095045155,0.20009058713912964,0.7310127456451502,0.3954528881752869
linear+log+exp,-298.8553154147826,0.8694283818288667,0.24891244719058442,0.09947805106639862,0.7634091323842389,0.848498556217384
linear+log+log,-293.34973238452824,0.8831725599340734,0.2965355961986337,0.19986359775066376,0.7308855522897488,0.3947126915829794
linear+log+power,-298.8553154147826,0.8694283818288667,0.24891244719058442,0.09947805106639862,0.7634091323842389,0.848498556217384
linear+log+hmult,-293.34973238614634,0.8831725599302545,0.2965127039434945,0.1998671442270279,0.7308494063238893,0.39467624150652136
linear+power+linear,-326.00013832497416,0.7740526211338236,0.06275849236137285,0.008421914651989937,5.0755574969500726e-05,0.00011217218449507331
linear+power+poly2,-325.99989777037086,0.7740537191651372,0.0638273341224331,0.00850760843604803,5.190277263319169e-05,0.00011600294379587711
linear+power+poly3,-325.999898328893,0.7740537166157229,0.06390057376692669,0.00852605514228344,5.205907637012912e-05,0.00011642540157830258
linear+power+exp,-329.6939185571526,0.7565469871586203,0.009328457431031069,0.00012632341531571,8.345720670760652e-07,1.3453814058951383e-06
linear+power+log,-325.9998977704349,0.7740537191648444,0.06382574003606496,0.008507327176630497,5.1895768997428666e-05,0.0001159910497881953
linear+power+power,-326.1223665873378,0.7734940094060423,0.0400990610571042,0.005668131168931723,3.948898714157352e-05,5.1150066084781605e-05
linear+power+hmult,-329.69481586767824,0.7565425739276921,0.009345573253086327,0.0001267662737518549,8.429758998836141e-07,1.3580919481689661e-06
linear+hmult+linear,-326.000130191703,0.7740526582588971,0.06276200513277896,0.008419695310294628,5.075252668923652e-05,0.00011217791447222492
linear+hmult+poly2,-325.9998977882313,0.7740537190836119,0.06382912441084675,0.008509114384651184,5.192576793306901e-05,0.00011602419724953872
linear+hmult+poly3,-325.99989778625485,0.7740537190926333,0.06382982514664683,0.008506814017891884,5.188924112208512e-05,0.00011599192080842339
