,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,[1.0],0.003965783536996158,"[-0.5, 0.0]",1.7558104894009228,[0.0],4.049704633779164
kfold,[-0.5],0.005829915816295637,[0.5],2.106258109264005,"[-0.5, 0.5]",5.953289941845847
