train set,c0,c1,c2,c3,rmse,kfold rmse
gov,12.565351381499603,-1.2404484111082098e-09,0.001251322182310202,-0.2748564149455198,14.713598429723863,14.8502714177211
bible,7.18069174246785,-1.2652973394777232e-09,0.003651681844614371,0.011183376718314023,12.247066044259537,12.235872871680524
