language to,c0,"c1,1","c1,2","c1,3",c2,rmse,kfold rmse
ka,25.658330411394658,41.10926891550476,-34.31426683949232,-29.340984321171693,-58.899457688854596,4.0026236343076524,4.070785720607017
gu,31.754035035337193,29.484029959851103,-22.417009776153446,-19.438132689626002,-62.46102311802719,4.567988211716358,4.67764995461745
hi,33.299942901756296,34.93969123738895,-63.62573899412833,38.177076538326546,-69.50366143196092,3.1008249672207766,3.21582049190111
si,41.30889422335453,30.25718135640855,-52.48188002644386,31.484612977786885,-81.8623288302949,4.760710846536062,4.944904267266693
ta,31.619761112905437,30.86612803700738,-55.34707422478852,33.67031458554915,-64.1654632771233,4.13249066387575,4.314328168621156
