model,none,train,test,train+test
linear,13.711527979426796,13.252874305345808,12.052487621691498,4.183036068744289
poly2,13.683117910852848,13.233111560301698,12.016805898590269,4.112421119865743
poly3,13.662509071830268,13.219656959159849,11.993039980757208,4.091050208914481
exp,13.70223527118336,13.249121715312373,12.044730074777183,4.1585097421793025
log,13.679833306621674,13.22935539283869,12.007662886226603,4.102962854756867
power,13.648550904145557,13.203404193279047,11.975927934130207,4.06172328579978
hmult,13.65183339036185,13.212748760530596,11.983249489739192,4.07718524854819
