language to,c0,c1,c2,c3,rmse,kfold rmse
ka,24.367769860873896,17.123608927198934,-58.72872057342481,9.67968610494761,3.857669265706743,3.9541168169938934
gu,31.547064531508802,12.292349028992477,-60.95212956468755,2.9222024897351098,4.618272719848828,4.734184348180046
hi,33.69049176337422,7.437960662280474,-67.56729312772599,3.309587476424664,3.1874672819450742,3.2702497131658994
si,40.18682865187685,6.439871463399643,-81.05758089265986,9.059763473758114,4.377026670183934,4.48947866556251
ta,30.851825706585828,6.468810832985208,-63.133706557869424,7.575840823170914,3.852425245036454,3.956147549992212
