,mean,std,min,25%,50%,75%,max
linear,12.551791936834498,,10.851534389811098,11.197114313119798,11.8035741366472,12.883460838737172,16.023276005857216
poly2,12.558426216353505,,10.87371229684496,11.197163625263512,11.806775434475265,12.886652835891692,16.027826889292097
poly3,12.55160813814997,,10.878009272588246,11.195087994245682,11.789043738449497,12.877452988511584,16.018446696954843
exp,12.551780549222357,,10.85147272432821,11.197257586166268,11.803502555779833,12.883470159682489,16.023199720154988
log,12.549963320738819,,10.854243209205466,11.187611896650369,11.802621876856636,12.882821706232,16.022517914749624
power,12.550169513762206,,10.854459047250996,11.187854189447837,11.802850199934694,12.882951669233584,16.022732462943917
mult,12.550169513762206,,10.854459047250996,11.187854189447837,11.802850199934694,12.882951669233584,16.022732462943917
hybrid_mult,12.551115462528589,,10.8552753963293,11.189405988198278,11.803700701971898,12.883851322949113,16.02334390319435
am,12.551791936834498,,10.851534389811098,11.197114313119798,11.8035741366472,12.883460838737172,16.023276005857216
gm,12.551791937533713,,10.851534389995772,11.197114313035163,11.803574137170548,12.883460840348707,16.02327600711837
hm,12.551791936834498,,10.851534389811098,11.197114313119798,11.8035741366472,12.883460838737172,16.023276005857216
