train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,rmse,loo rmse
cc_align,25,gov,1,flores,7.332602306485777,0.20871713367781908,2.3030896414599367,2.836812991900178
cc_align,25,gov,1,bible,2.4702149425193687,1.5118064462971716,0.6628151930360054,0.818782628386907
cc_align,25,gov,1,gov,27.509892173637407,6.203256561839693,2.4749975438392346,2.649852072471901
cc_align,25,gov,10,flores,12.93997883002684,-0.8464916431855161,3.444789281768569,4.280357245852043
cc_align,25,gov,10,bible,3.8703607741302366,1.4152438064432398,0.8670962705639147,0.9104173304300247
cc_align,25,gov,10,gov,38.241657925192925,3.847379172243536,3.7717762668896486,3.8451150026064216
cc_align,25,gov,25,flores,14.048944157450789,-1.5370080242354007,3.5512648887662697,4.400548698540521
cc_align,25,gov,25,bible,5.025198179719746,2.255467065310963,0.9316907736475921,0.9867255550891108
cc_align,25,gov,25,gov,42.43316726010837,4.586839041780859,4.228766094287297,4.302116544832742
cc_align,25,gov,50,flores,4.604274770889282,-13.089930707768904,1.7960908110349052,6.155396757085741
cc_align,25,gov,50,bible,3.009464299810062,-0.34587006072974175,0.5843440197197468,2.002609923182497
cc_align,25,gov,50,gov,45.97089205938657,3.814490510277945,5.377918541089833,18.43070636758151
cc_align,25,bible,1,flores,2.517017012924767,0.9879673833774851,0.647454126437354,0.7263243316070713
cc_align,25,bible,1,bible,17.790912776079413,-0.5188682814585468,2.7100071985521605,2.7151462173365393
cc_align,25,bible,1,gov,0.9608794599182807,-0.04730601322703007,0.49385028988479895,0.5711397037765084
cc_align,25,bible,10,flores,4.156563014156704,1.5920370023772645,0.8807230244201567,1.045680385021289
cc_align,25,bible,10,bible,25.93999937397239,-2.2491819633009484,3.498437264918897,3.5026124459478276
cc_align,25,bible,10,gov,2.95938777145666,1.5228985706769245,0.8099635433176274,1.001090832263591
cc_align,25,bible,25,flores,4.950327368779062,2.261669470665831,0.8932227387251876,1.030645905268568
cc_align,25,bible,25,bible,29.624680077623772,-2.6304778906663344,3.478222951243703,3.490185545276525
cc_align,25,bible,25,gov,3.579641141116341,1.8617913770041703,0.846811403097617,1.0409555767781498
cc_align,100,gov,1,flores,7.767745941247719,-0.7887298515536885,2.140676476739962,2.6017087748680665
cc_align,100,gov,1,bible,2.556505597921594,1.301750641892463,0.6579313693263225,0.8165198448683635
cc_align,100,gov,1,gov,27.548699736818648,4.2912198110330175,2.1631659790465902,2.245947392259241
cc_align,100,gov,10,flores,14.604244755110283,-0.4785619630366414,3.2852015334167444,4.066965960726394
cc_align,100,gov,10,bible,5.028333622859309,2.1625195828633044,0.8028570078098268,0.8566572921948304
cc_align,100,gov,10,gov,39.21708893615504,4.325549089498485,3.815612181820681,3.867760177784843
cc_align,100,gov,25,flores,15.81165675915966,-1.0500329536818356,3.239517319515101,3.9045479498341162
cc_align,100,gov,25,bible,5.7482762705570485,2.52522139705005,0.7972253034853336,0.8195723858962117
cc_align,100,gov,25,gov,42.88800911004963,4.604786359179635,4.374176006550123,4.4127223099661546
cc_align,100,gov,50,flores,5.944988883038736,-13.438281101430828,2.117968411797803,7.25850598059594
cc_align,100,gov,50,bible,3.823250206600993,-0.4881860518261076,0.3981353572766922,1.364452772657997
cc_align,100,gov,50,gov,46.30926676513002,4.058583276248356,5.576986219728176,19.11293275391059
cc_align,100,bible,1,flores,2.662798606050467,0.9224044664258649,0.6461108384704974,0.7205855309070441
cc_align,100,bible,1,bible,17.534125039112983,-1.6516668667768857,2.685442637746161,2.6872255242909424
cc_align,100,bible,1,gov,1.3742781221107765,0.18655884762697805,0.5584441056196333,0.6511159716317378
cc_align,100,bible,10,flores,5.1976910354464705,2.2222044054696206,0.8529328937692887,0.9868258846545424
cc_align,100,bible,10,bible,26.56801060378448,-2.0218318038190235,3.610818924604652,3.614872826459297
cc_align,100,bible,10,gov,3.840714268861391,2.032382254099533,0.7822241368374729,0.942535877535242
cc_align,100,bible,25,flores,6.199581494044411,3.0467717292835754,0.9578449178745171,1.1180244255880623
cc_align,100,bible,25,bible,29.423128224938882,-3.333712032387547,3.477057314103066,3.489251133072151
cc_align,100,bible,25,gov,4.795551642044374,2.87260546919733,0.7956216527208538,0.9474420704494684
gov,25,bible,1,flores,2.712892019995117,0.8620555661301854,0.8825211778286292,1.037283345946926
gov,25,bible,1,bible,16.553267724760246,-2.4508001238052834,2.2354605765465347,2.266618301686614
gov,25,bible,1,gov,2.813202725046539,0.8382465415728881,0.8616656688795958,1.0239461065435493
gov,25,bible,10,flores,4.767729499138084,1.7022789094537707,1.2843343634046458,1.594870866046297
gov,25,bible,10,bible,24.91621606201324,-3.729026316923178,3.5356371233341783,3.5356584852602713
gov,25,bible,10,gov,11.001139062022077,6.894029563978954,1.1914939008258854,1.5981667855636745
gov,25,bible,25,flores,5.935965552146625,2.7763670070454447,1.4439514389776797,1.7800207992328245
gov,25,bible,25,bible,28.566115998753702,-4.007271917911808,3.240787265861553,3.2481779532679056
gov,25,bible,25,gov,12.658605398729557,8.269496197573208,1.3440346162056602,1.7080407846399497
gov,1,bible,1,flores,2.73075498866335,1.3431662791434802,0.8760118297610382,1.0154186790800854
gov,1,bible,1,bible,16.47915339657244,-0.43634914823490867,2.8015852909101038,2.8185933476696596
gov,1,bible,1,gov,5.632678590748914,3.473749879977182,0.9813578511999855,1.1994670040627187
gov,1,bible,10,flores,5.167511582709408,2.50011196359279,1.1745114982518023,1.4893774167235119
gov,1,bible,10,bible,25.05072801385508,-2.526425477030566,3.783023143088375,3.784450860628828
gov,1,bible,10,gov,14.551032835529837,9.929086538637332,1.6796263802981584,1.9692408283924892
gov,1,bible,25,flores,5.83977984575316,2.926087868076632,1.271812751235784,1.5782746525765967
gov,1,bible,25,bible,29.70265451964558,-2.052493327745225,3.647652275642356,3.647724142831573
