train set size,test set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
1,flores,8.752438338505046,2.7836796525563114,-2.5882095700671797,-7.422908668269343,2.1105094171787147,2.1370417110698994
1,bible,14.606626995546355,5.493191654003035,-2.708938682877735,-10.090883775338643,8.297831041906077,8.421478983454602
1,gov,16.288983949161153,6.114124921672667,-3.043244317599536,-11.284864803379111,9.510665066124583,9.652682258627925
10,flores,12.572679966640203,4.601976105306266,-2.5717109653496326,-9.027945704644917,5.256828892022277,5.332935469289037
10,bible,18.537391020437205,7.690705875948458,-2.0711721815778947,-10.856934468417803,13.017270579249173,13.218428322857978
10,gov,19.57311382035124,8.603173327594966,-1.2702085115887372,-10.156072315020472,16.914072050615115,17.177146295543537
25,flores,14.163119976352466,5.285660265938878,-2.704028191382021,-9.894756891597572,6.341753175059055,6.433632475743849
25,bible,20.037526550396603,8.53579233927727,-1.815777707664336,-11.132544689919118,14.849918630529237,15.081380791513817
25,gov,21.90899067074663,9.598899758916177,-1.4807404713200247,-11.452138385615514,18.78661092374285,19.077926231559417
50,flores,23.19564594144727,8.67111721445816,-4.400950537775787,-16.16581508488901,2.7352635461088983,4.150947811295507
50,bible,4.087758940078834,1.4583406963500205,-0.9081355316423833,-3.037964104981255,0.7756717518813406,1.0793783474115577
50,gov,37.73529861124652,18.102326747786627,0.4325235600229937,-15.470147118704704,5.225578117937563,7.3358045282424795
