train set size,test set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
1,flores,2.7106804578605095,0.22450234001089653,0.0007608732110370742,-2.898577232593402e-09,2.3731311356980123,2.3840825358919995
1,bible,8.865454291487723,1.6083885641863556e-07,0.0346784561303497,-0.0008175245077605411,8.402694447826882,8.47861686469825
1,gov,6.366245116210197,7.748701079275735,2.6260625494232364e-07,0.00015826469338645963,9.571359440736556,9.68423819905312
10,flores,7.025791722291111,-5.5577856045607665e-09,0.005474240402395645,-0.0763973408349429,5.395044833608993,5.442169836458073
10,bible,14.792724287856405,0.002475914942722198,-0.0022140667601082903,-7.493647801163798e-09,13.077942292987432,13.21767650459051
10,gov,17.37594156487954,1.3474742831273088,2.557431817791801e-09,0.00033142754956489654,16.94369758096334,17.1552315835434
25,flores,8.339383661788045,3.8037988101333944e-10,0.13224428751485356,0.11946341436387974,6.475036484503804,6.537496119366078
25,bible,17.0541575267542,0.07646007886629279,-0.005607452808892004,2.5337034089898454e-08,14.900842176278845,15.062985682510904
25,gov,19.290042263875428,1.512016352239809,0.017463343359698787,0.00014118522614298316,18.821324071719115,19.048875787270575
50,flores,21.14413008175443,-10.442458213997687,-11.705355005825147,-6.316162025344083e-09,2.1974078144303366,3.141504431898909
50,bible,2.1118512555338187,-0.008646963700380147,-2.7028596147657705e-08,-7.711701071974317e-09,0.8744483290594698,0.9296156630815734
50,gov,41.22999980471871,2.377908580432602,-1.559088570740239e-05,-5.265666606905709e-09,5.319930877436143,10.60788999904647
