train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2",rmse,loo rmse
cc_align,25,gov,1,flores,34.63939796230011,-126.03350406334052,137.4287028350245,2.2334156806511514,2.9351147943438267
cc_align,25,gov,1,bible,11.011533074876013,-48.248976500694255,56.056930744198525,0.6159279706588109,0.8396173147617646
cc_align,25,gov,1,gov,-78.81197518419356,447.86810026453367,-471.6039533129876,1.6383518113429227,1.7482402252189522
cc_align,25,gov,10,flores,84.50356165993426,-321.78006342327654,347.53795294874396,3.1445056757287326,4.374138865252032
cc_align,25,gov,10,bible,26.588980492832217,-112.43123831697447,125.55190957200115,0.6886108083771794,0.8036980032845967
cc_align,25,gov,10,gov,-150.03907620686047,836.6802673078728,-899.6699139618454,1.0461569761616796,1.0461761951736446
cc_align,25,gov,25,flores,94.30473029178229,-357.2754617017413,384.435340019651,3.1953927287228185,4.476020154039531
cc_align,25,gov,25,bible,28.5200594202295,-121.10516120066247,136.99761445876135,0.726975115788044,0.869854572583811
cc_align,25,gov,25,gov,-172.50224132598964,953.9411427021697,-1025.2786142166906,0.919783485686877,0.9215902727828063
cc_align,25,gov,50,flores,108.72645138046651,-393.98308281391405,396.4870778764471,4.6964402380930486e-14,9.094751773356846
cc_align,25,gov,50,bible,27.665877755467566,-109.94629247628873,118.6092868241814,6.690878594870215e-15,2.6387659257740017
cc_align,25,gov,50,gov,-182.43799972492812,1014.8153260816389,-1093.27751881062,1.1091448446116767e-13,24.15410373848742
cc_align,25,bible,1,flores,13.594646459213402,-56.640574210588,63.9134749554302,0.5878984183264306,0.718823199112812
cc_align,25,bible,1,bible,-83.11169385294757,464.1319121063613,-505.45321408170616,1.7554382717969113,1.7767072041260958
cc_align,25,bible,1,gov,10.315621271709677,-42.45070452352716,46.00504358044718,0.4571153487548512,0.5754953682801871
cc_align,25,bible,10,flores,21.020774276880246,-86.76272168494458,98.09073654617858,0.7757764290658519,1.0433958952057107
cc_align,25,bible,10,bible,-117.37624679574928,668.4606571496769,-731.59498595503,1.792392581503368,1.9812547069168245
cc_align,25,bible,10,gov,7.048881486806207,-27.979694047738146,34.06520126266143,0.7948384877743285,1.0374211845424701
cc_align,25,bible,25,flores,25.047440860961057,-105.61866240651625,120.1868911072313,0.7303904036868735,0.988368823113985
cc_align,25,bible,25,bible,-112.93971071543666,667.353578603593,-731.3110807029339,1.7475587845103726,1.9994349958084217
cc_align,25,bible,25,gov,9.852800741317964,-40.023978056532194,47.96545960549759,0.8188012969091732,1.0761182780495375
cc_align,100,gov,1,flores,44.610093223284906,-163.50885057326218,175.73835785288324,2.0204503187727023,2.6699445304449623
cc_align,100,gov,1,bible,10.903766189845925,-46.080508724539705,53.19551852205796,0.616074538096238,0.8397264165033739
cc_align,100,gov,1,gov,-70.10532175224768,419.93942133461496,-445.868231491411,1.242743719241303,1.2697207159769008
cc_align,100,gov,10,flores,77.56081788934672,-284.70563767810825,308.1490346518877,3.0380311978846595,4.167187486155411
cc_align,100,gov,10,bible,13.85589425193278,-53.53053552859337,63.36392219999951,0.7516456629149589,0.8437745342386527
cc_align,100,gov,10,gov,-150.85293519019092,841.9358954338663,-904.2276437297811,1.1529877114327836,1.1591677406778622
cc_align,100,gov,25,flores,96.92332181959053,-364.15890481960207,393.0870750016967,2.8224732725610946,3.9011077960611615
cc_align,100,gov,25,bible,18.6520841335905,-74.36640963839439,86.87232896736984,0.6998996894661378,0.7570150343390678
cc_align,100,gov,25,gov,-178.3862375165044,982.7905009785422,-1056.5759870347117,1.0147936362173735,1.0611940356695226
cc_align,100,gov,50,flores,124.02066523962931,-455.2809025008136,462.24020563677936,1.5002943431975675e-14,10.558137486834381
cc_align,100,gov,50,bible,21.217566921155406,-76.08725442853883,81.483148674794,1.0709767577753803e-08,1.8237330705573727
cc_align,100,gov,50,gov,-190.7967830367066,1052.8589525835068,-1134.019092336443,1.8346134549116834e-14,25.05941937257034
cc_align,100,bible,1,flores,16.294116499198825,-67.90682106260478,75.9946254095765,0.5614776016987356,0.6972443826174183
cc_align,100,bible,1,bible,-85.56468839916639,481.07973798789084,-526.5929899977848,1.5917960656425767,1.634250672643292
cc_align,100,bible,1,gov,12.815656146249665,-53.410750341035325,58.47459113770104,0.504115403193018,0.6515910542427482
cc_align,100,bible,10,flores,22.644079988211065,-93.2681480705798,106.67499821814837,0.7190554735225412,0.9589702372265345
cc_align,100,bible,10,bible,-124.40375821555237,702.0480081281376,-767.5360677882292,1.7679449100087858,1.9731202694470735
cc_align,100,bible,10,gov,7.657213123899359,-29.841960497375332,37.31501033713363,0.7624674964279052,0.9724937199920558
cc_align,100,bible,25,flores,23.664069574674002,-98.38315078714835,114.21696299048425,0.8179346479366005,1.0960215095854382
cc_align,100,bible,25,bible,-110.79345821539502,660.9190263750718,-726.0135443399525,1.769247079753793,2.0183424748030663
cc_align,100,bible,25,gov,9.388285594405227,-38.51585404574557,48.76068352440271,0.7615243060022537,0.9717486520262754
gov,25,bible,1,flores,25.61859050246918,-109.90764378693197,121.47627164992441,0.7243025920057391,1.0051179094993759
gov,25,bible,1,bible,-73.87483174590017,428.07298748722354,-470.93519031111344,1.1025177979203544,1.102799862788029
gov,25,bible,1,gov,23.826326528240397,-101.11608398255463,111.86815603751343,0.7255429269620934,1.0060306190643125
gov,25,bible,10,flores,28.44966570194489,-118.58154975352102,132.92195827692044,1.1558540060481952,1.6231503786004777
gov,25,bible,10,bible,-123.91434779969372,702.6854643906508,-772.3394589353519,1.532464379892509,1.679567411334299
gov,25,bible,10,gov,-13.257274446825091,68.75030773982206,-58.088927862360386,1.1800361735324656,1.6195207398704323
gov,25,bible,25,flores,32.48078047423382,-138.21552298238805,156.83721571639077,1.2796509336484327,1.800083647093593
gov,25,bible,25,bible,-99.17866319475922,608.051911723836,-670.2023112485947,1.6770850041747993,1.8779429862938588
gov,25,bible,25,gov,-4.671819938284711,28.703480466635483,-11.270264825084404,1.3427182867128165,1.7631203992398172
gov,1,bible,1,flores,18.260913706573348,-79.15013172707366,89.22247808461842,0.7901678674349955,1.0138841170265924
gov,1,bible,1,bible,-83.19754194261456,458.0264624325815,-498.6205396368984,1.9246025377260159,1.9280259027967277
gov,1,bible,1,gov,2.194322105364278,-5.495138975640406,14.336327508933438,0.9763571135353024,1.2389005864686198
gov,1,bible,10,flores,13.15728655734891,-51.76206898397508,62.25412373566439,1.1403692666068825,1.5476261798982438
gov,1,bible,10,bible,-126.70213195188626,708.6930996112826,-775.9669278751076,2.03651657941897,2.1199825930208167
gov,1,bible,10,gov,-28.10967264165872,134.29391376742868,-121.98081142642178,1.6326235355950192,1.9248697445872094
gov,1,bible,25,flores,22.449093089918847,-93.73997994470312,108.88249865547462,1.179599923051827,1.6191976637586614
gov,1,bible,25,bible,-121.27468596270815,702.2595303285844,-767.8385815395924,1.8393692459066324,1.9741909246574543
gov,1,bible,25,gov,-16.800658193417355,83.66405362200447,-65.59086032408612,1.8784847120055692,2.09474020928335
gov,10,bible,1,flores,21.900259870425145,-92.91398911984199,102.62994734924479,0.7769959510519615,1.0654000588752277
gov,10,bible,1,bible,-66.80964992015753,393.99093947082685,-433.93338772974914,1.0864451752587991,1.0886861156221634
gov,10,bible,1,gov,20.62021227332407,-87.068935549311,97.70235329514244,0.8199031314192496,1.118496928757284
gov,10,bible,10,flores,26.054079899295555,-108.3995404278188,122.2715178936642,1.070266729552193,1.4957804416357163
gov,10,bible,10,bible,-116.67852185625615,667.2359251866822,-733.1486532783284,1.5406614611908092,1.6288870845774215
gov,10,bible,10,gov,-24.813889377072925,122.0403048915174,-114.50501314605103,1.289237144157409,1.66150850660079
gov,10,bible,25,flores,28.089046387445013,-118.15771602567519,135.14794935605818,1.1626065056622699,1.628118151947675
gov,10,bible,25,bible,-108.22000065227755,646.8947406883385,-710.7009599023437,1.8074437265961547,2.066990810349083
gov,10,bible,25,gov,-23.357046756423422,114.96829288360729,-104.40408056517542,1.234361779507301,1.4689105517834817
gov,50,bible,1,flores,28.094083088923593,-113.93970788692106,118.12338570471202,1.3786448939146278e-14,2.6719645595078214
gov,50,bible,1,bible,-57.074208982460995,362.3225169569938,-406.52628914146015,4.586533637279209e-15,8.813444208610443
gov,50,bible,1,gov,23.66025814463829,-94.96568754066236,98.7779326599948,2.892267711637556e-15,2.2324448735944378
gov,50,bible,10,flores,25.369927522972578,-97.01018815066455,99.56031581846597,7.540803908382796e-15,2.265355085005838
gov,50,bible,10,bible,-93.9938867104211,573.7503420414449,-634.4633278467016,1.1045835716421965e-14,13.846873602195313
gov,50,bible,10,gov,-11.834496923345927,73.75599472612053,-74.548761317838,1.6249578072752672e-09,1.6854286529603109
gov,50,bible,25,flores,25.261060946185555,-97.10577396003852,101.61098325487954,1.1380011655256894e-14,2.292355764260227
gov,50,bible,25,bible,-81.03430059709099,533.5666291201808,-590.8887037259723,2.908021475843885e-14,12.876211437625164
gov,50,bible,25,gov,2.451653108328805,10.222503050009989,-3.9119157923547814,2.5121479338940403e-15,0.1396629770981395
bible,25,gov,1,flores,39.836406027033,-154.36120931921602,167.746855940187,1.81522594420323,2.537570999553953
bible,25,gov,1,bible,38.613803641932066,-166.24202547714026,185.77815302125535,1.4525166814405992,1.949596701299426
bible,25,gov,1,gov,-49.713343626264916,314.2071547347624,-328.58414436486777,0.8219356101154466,1.0018217432840906
bible,25,gov,10,flores,82.4838311948707,-315.5089803195506,338.1093786126649,3.144459347820344,4.417078620450349
bible,25,gov,10,bible,-6.337150354962945,63.77114112628102,-61.71690725716019,2.2735257338363084,2.533885140243254
bible,25,gov,10,gov,-150.61361868678677,839.1320601963923,-903.2896964593087,0.963568465980588,0.9755371620038605
bible,25,gov,25,flores,95.18867170182197,-364.20479634431376,390.7936912432733,3.1260949166858407,4.382107181321401
bible,25,gov,25,bible,-35.65878877579829,199.3672352318007,-205.61167759005374,2.486615938924412,2.6235046790149257
bible,25,gov,25,gov,-187.32900487365458,1021.8707825435292,-1100.1264102573898,0.7982561679864575,0.9108472382190137
bible,25,gov,50,flores,110.75786792011114,-406.536843902049,407.3333791365149,1.5921284628164227e-14,9.35889060000491
bible,25,gov,50,bible,3.5742745907243636,44.84622899750871,-57.44339505615005,9.39959687352353e-15,1.158556438734357
bible,25,gov,50,gov,-189.19196622742064,1040.01843406724,-1117.0207887671247,1.8235725515031389e-13,24.71445867117052
bible,1,gov,1,flores,24.38867893373155,-93.67309967116205,106.66094718228021,2.0382093635224625,2.5462012828505296
