model,pareto,rawlsian,ka,gu,hi,si,ta
linear,False,False,9.748501869850145,9.7510686106089,10.126222637255184,14.385185760021123,11.350541527543944
poly2,False,False,9.632322845870052,9.402095157030685,9.16071536827191,13.681077952173888,10.404990450937756
poly3,True,True,9.35202145391476,9.351613774667648,9.154859937422822,13.031631190113208,10.16635722861427
exp,False,False,9.703237366541437,9.550868350605278,9.432431298154118,13.68168797424902,10.527890896503392
log,False,False,10.01917856472199,10.079294678158268,10.651330306431456,14.80057778088691,11.85481355362366
power,False,False,9.64486949758376,9.755277771704916,9.676136949654984,14.001798561807076,10.762443960465884
mult,False,False,9.64486949758376,9.755277771704916,9.676136949654984,14.001798561807076,10.762443960465884
hybrid_mult,False,False,11.125456256002836,10.792808249741697,11.73251437022175,15.95404869678453,12.807431657197478
am,False,False,9.748501869850145,9.7510686106089,10.126222637255184,14.385185760021123,11.350541527543944
gm,False,False,9.748501869723368,9.751068610679486,10.126222633402389,14.385185761676064,11.350541528879042
hm,False,False,9.74850187012737,9.751068610343292,10.126222624187887,14.385185760887866,11.350541524450572
