model,pareto,rawlsian,ka,gu,hi,si,ta
linear,False,False,4.283727744076717,5.207587798821618,4.296268339739814,5.496850400151996,4.934996310859762
poly2,False,False,4.28652451353727,4.912792268731145,4.190983979051143,3.89863225056747,4.333086313412296
poly3,True,True,4.057949201813736,4.124414740350651,3.890692417109171,3.507390288231484,4.310532591204428
exp,False,False,4.787032028872114,5.961587949834605,5.025731618038819,3.80254125499344,4.3606582464021
log,True,False,4.810204479344199,6.311478273478676,5.075391146289398,3.694680689657457,4.273115692591032
power,True,False,6.032823547753606,7.286817602292074,6.253172279099101,3.4502070068193804,4.444078051913216
mult,True,False,6.021871450084935,7.293506486312498,6.257119103814126,3.3475858162748064,4.216934790697591
hybrid_mult,False,False,6.365094128047901,7.958570327783795,6.832856946417893,3.5975081357322867,4.2324976466534245
am,False,False,9.204832401456402,8.512917877299056,8.875626092732338,11.61101117526639,9.143856554321127
gm,False,False,9.23957855660069,8.827759912647645,9.306587055198465,11.658657844024068,9.455970588212152
hm,False,False,9.303725014072858,8.982576684813347,9.537046969748516,11.930802638677728,9.73358385974296
