model,pareto,rawlsian,ka,gu,hi,si,ta
linear,False,False,4.401743628666295,5.517708391376967,4.677253051152976,6.296637113010427,5.6179914531212285
poly2,False,False,4.396539690817032,5.407418168004821,4.678011025760038,4.263491723818048,4.655305597516509
poly3,True,True,4.171034684484631,4.54297449421623,4.315005405807272,3.816827565374162,4.645039142358368
exp,False,False,4.953487663164256,6.110486241763815,5.137665628555664,4.004971625376549,4.675824742761367
log,False,False,4.822752073288956,6.374797292948594,5.192724902526072,4.4110716349536165,4.745767978464792
power,True,False,6.032821015952795,7.28682061522192,6.25333519537253,3.3742630979176385,4.50354753366802
mult,True,False,6.032821015952795,7.28682061522192,6.25333519537253,3.3742630979176385,4.50354753366802
hybrid_mult,False,False,6.4566160863763375,8.043535471022034,6.971944691519859,3.603949086236784,4.548817098973552
am,False,False,4.401743628666295,5.517708391376967,4.677253051152976,6.296637113010427,5.6179914531212285
gm,False,False,4.401743629060985,5.517708389916553,4.6772530510783445,6.296637113323315,5.617991453179376
hm,False,False,4.401743628962438,5.517708390477392,4.677253051152976,6.2966371129936025,5.6179914531212285
