language to,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
ka,27.338571878735223,0.8848685325023568,-0.022079990984131038,-74.26977407698757,24.1923139874751,3.9845009885510887,4.078001558331974
gu,24.321238521656966,0.6491149002659585,-0.01490718002083893,-0.40011581830882825,-95.17399526851662,4.265161836936658,4.364551939787791
hi,33.912852262107116,0.31835650798857945,-0.003017398204237693,-66.99154032313224,-4.113696186884116,3.1753563593992657,3.2865843514616513
si,55.76329281552437,0.27753838395301883,-0.0024469585184592837,-199.7938354631184,172.12481397343302,2.9230674192435284,3.007033658964205
ta,40.29294629104413,0.25313678130064077,-0.0018292711274337373,-137.44770392884772,109.78809998798592,3.375230182610754,3.4959899125141547
