,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,[-0.5],0.0,[0.5],0.34491228493929554,[0.5],1.5376256633995329
kfold,[0.0],0.0,[0.0],0.4081387462873563,[0.0],1.634147152784171
