model,log likelihood,R2 coefficient,normality pearson p-value,normality shapiro p-value,homocedasticity levene p-value,homocedasticity bartlett p-value
linear,-175.7035295801983,0.0016676489215157186,0.016473669519719996,1.2006388772078935e-07,4.483713365597045e-10,8.39647275233331e-22
poly2,-175.69822672442626,0.0019029106400190177,0.016531650190334615,1.3565001211190975e-07,4.91096977287301e-10,4.300172079870468e-21
poly3,-175.66752244087033,0.003264019766919035,0.016366031629607373,1.2011196304229088e-07,3.9628146913781045e-10,1.3665718675287027e-21
exp,-175.60175698909987,0.0061731346916549246,0.016429158718879247,2.5511221224405745e-07,5.638075164235728e-10,1.1668967424880246e-17
log,-175.74722218979772,-0.000272889991820513,0.01593534410844484,6.546167696797056e-08,3.9541081592415e-10,6.528078034641392e-25
power,-175.7309674976727,0.00044947695194919035,0.016335246489086862,8.903307957552897e-08,3.216654426948366e-10,7.991852615626804e-24
mult,-175.58096791714377,0.007090965639157898,0.016277804115823698,1.7240529359696666e-07,3.542322022511703e-10,9.437541430429765e-19
hmult,-175.636977603118,0.0046162190012523086,0.016278908473973158,1.4450885998940066e-07,5.076537542914461e-10,1.683358922340476e-19
am,-175.74161399319757,-2.3599860361933622e-05,0.016337347402101042,8.789677252707406e-08,3.141530419079107e-10,6.307791007847038e-24
gm,-175.7414734694067,-1.7354230656074776e-05,0.016337347402340056,8.789677252707406e-08,3.1415304190365293e-10,6.307791017444239e-24
hm,-175.74145082905872,-1.634797601135496e-05,0.016337347402348754,8.789677252707406e-08,3.1415304166543815e-10,6.307791000569983e-24
