train set,train set size,test set,c0,c1,c2,c3,c4,rmse,kfold rmse
gov,1,flores,103.26000871247159,42.91556745501042,-20.984575171180687,-10.323711011782871,-18.363829223342968,3.216199406086401e-14,2.233640704112971e-14
gov,1,bible,999.9999998757198,62.862380122618305,-34.28882607402965,-10.622336467314197,-31.555971918028614,0.06929528829840872,0.07269636503365819
gov,1,gov,0.04964744530817213,21.445416225547845,6.127030923457565,-5.136408751032475,-9.908225921218026,2.3404807467387347e-14,3.1426157357188496e-13
gov,10,flores,999.9999999999377,13.735994815752065,-13.399260636771304,-3.0706405538511494,-6.313103888931783,1.3105948755014412,1.3822371963273328
gov,10,bible,999.9999999999999,36.886258653045275,-22.622118989123496,-7.110105141648417,-18.954726816392355,0.30062325444471977,0.3177879268887881
gov,10,gov,3.439972921262765,5.110718165943274,1.8922472331419304,-1.6595979193137707,-1.066530335771187,1.8596683060397938e-14,1.6587787186393758e-14
gov,25,flores,999.9999999999999,12.723045073061446,-12.91745946127098,-2.7550325399553746,-5.750132055435957,1.4987756025743255,1.5816600007736583
gov,25,bible,999.9999999998614,32.74516429930993,-21.28128073541646,-5.909186285743341,-16.960256733131946,0.23615558809609422,0.24990967952425155
gov,25,gov,5.195736425987309,4.7191085456701805,0.9745468564789723,-1.5996584027500211,-0.585042314331747,1.711213510985814e-14,1.984437864702065e-14
gov,50,flores,14.870643636711511,0.4166558962271624,4.683734347598029,-1.7812800242134308,-2.6197046590324256,9.729507111180988e-15,2.457115272284041e-14
gov,50,bible,7.747191610464781,0.1028752163214593,5.145100345999596,-1.707976848100711,-4.573913782205004,1.1053272488096193e-14,5.684226236672611e-15
gov,50,gov,28.807158917614707,0.189835502318226,-1.8128223581389964,-0.35934011088667056,1.897834791085091,4.1023203976182695e-15,5.801557143511545e-15
bible,1,flores,1.6911445007790136,40.5143898756753,-12.702363195764523,-8.526324097918613,-19.49196841549017,7.498458691607045e-15,0.1336727505398657
bible,1,bible,0.01782876911859611,18.75524682112465,9.868489869860012,-5.780439122940978,-8.585586186778231,3.779370510707013e-14,2.3098447984383546
bible,1,gov,999.9999999999976,44.56581241594539,-29.998119675420398,-10.164848274377547,-19.74469303876711,0.0019034542386266089,0.13917369211520947
bible,10,flores,999.9999999999999,17.41670522141389,-20.69056699025994,-2.6647006192831753,-6.888314695137253,0.11764593477550814,0.6147558915806992
bible,10,bible,0.35311061531977544,8.670603693923718,6.8002521222642995,-3.1861912358162288,-3.4745372883835235,1.805720098717826e-14,2.4797096969531376
bible,10,gov,999.9999999999999,33.51564440186678,-24.952267819155683,-6.783832691471901,-15.337546133475062,0.05350273865670878,0.3332332683497025
bible,25,flores,999.9999999999931,12.387955681963424,-18.283889454182113,-1.3205479415119683,-5.127644268123051,0.13520740109074827,0.14312932344257706
bible,25,bible,0.40829179456568426,7.550951888564026,7.409230033798242,-2.848051128287596,-3.2159032747510228,1.984437864702065e-14,2.5121479338940402e-14
bible,25,gov,999.9999999998923,31.004676487004712,-25.087606692840573,-5.603112848191118,-13.758206555634652,0.13149430325320902,0.13919379003594948
