train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,c4,c5,c6,rmse,kfold rmse
cc_align,25,gov,1,flores,7.159995199532876,6.814620164547752,8.21044108144284,8.348422772452402,3.913922183554571,-0.1633750632484503,8.151093047333921,2.3035624584923995,0.6038516546590834
cc_align,25,gov,1,bible,0.8749999979045265,23.210514743049707,16.178395247592647,39.985704848759035,-11.349272745037235,-117.92878669252667,-25.084773040520112,0.27838821872913455,0.13342400069026522
cc_align,25,gov,1,gov,14.839532996360758,-0.35692922732517274,-13.110275335268737,3.097213157571228,2.9835124990719812,-9.929746441643815,4.845831434948627,7.492672185919337e-09,2.316755544176014
cc_align,25,gov,10,flores,13.64010039933472,11.72844498828722,15.791254708736087,15.696817780372108,7.6545957381628105,-4.14383618517162,16.694595261891966,3.449985508676815,3.4026536920836263
cc_align,25,gov,10,bible,1.1780182768705667,0.641906036541773,-4.471205068638872,3.939180293907297,-7.477230458996728,-9.008151316429643,2.9950588070267314,3.213763812598759e-10,0.2123034718924813
cc_align,25,gov,10,gov,26.272947957557527,1.081029772938763,-12.036146667193748,1.3617668574058588,4.390732143612752,-5.6490624709524875,3.646591665541405,1.016430344726489e-08,1.9372384701391332
cc_align,25,gov,25,flores,15.320149891077078,11.928455994994971,15.556252643981443,14.654314063941897,6.757911465472156,-0.9553547219836851,16.852313997706858,3.5678565025050166,3.611900518725349
cc_align,25,gov,25,bible,0.9229570449827162,1.1719033112504924,-4.142078725480259,2.700946066605448,-5.2325485195969765,-5.640141869171363,1.8614723648405491,8.138039836223161e-10,0.30982795817402137
cc_align,25,gov,25,gov,32.693387463572336,1.901837621100497,-17.213284669418506,2.6356833820916026,6.706035963451531,-9.678657829758183,5.858803389449083,4.292490699147478e-09,3.6466531328352905
cc_align,25,gov,50,flores,15.60014171476226,10.43157992676476,15.190252985687849,11.569152953256163,5.7491375571517125,1.7454224515925105,20.249820375307742,3.2690467550571585,3.5368287740750755
cc_align,25,gov,50,bible,1.9357374622406742,-1.7804731313210584,0.12096328874819119,1.6396510125899728,-4.40558747665729,0.7282701269201489,1.0499265916940397,1.6239958154492032e-09,0.5972157607750261
cc_align,25,gov,50,gov,21.017293751358395,0.4840248713244758,-1.5183764306431684,-0.17132364787232734,2.2632605346192607,-0.9046126936644018,-3.1402128048348055,8.064886049633585e-08,5.002153807476244
cc_align,25,bible,1,flores,1.4499999971836897,30.75625121845816,23.63584916957053,42.64537260075451,-6.248477417490803,-77.49881371383461,-39.044743296465185,0.46690470147196145,0.09780376837621078
cc_align,25,bible,1,bible,13.85404074691564,2.5667921487059533,-26.581944497850518,5.276755894196125,2.7198453317488993,-20.20570029933724,12.83137035388466,7.203941340134665e-09,1.7701070004610828
cc_align,25,bible,1,gov,0.9999999972651371,5.2143600305876765,6.437402282341725,6.397017006889798,3.377457946891418,0.7506428588778566,7.5568526761160495,0.49396356282035586,0.07035979042996697
cc_align,25,bible,10,flores,2.424999998062466,31.77152623930784,22.815603655499967,43.60641866415788,-2.8604044274275457,-75.85066499219724,-41.06975501887809,0.4620606029307578,0.13877942022619613
cc_align,25,bible,10,bible,21.163560244862612,1.43309693037765,-18.200578447911614,2.178350267755258,3.9864545396511297,-9.154536402211066,8.066895691625758,1.509604420137344e-08,1.7383856536756086
cc_align,25,bible,10,gov,0.2170752592917676,3.008671999909607,-1.209894639732088,1.1279182400892045,-4.092827706556083,-9.824122830962256,0.20519132995828554,1.4486778818009522e-09,0.013825930854483777
cc_align,25,bible,25,flores,1.723966104465384,-1.9418841118426613,5.191884726542931,3.220640499179435,-8.480460228593223,-4.727505893304667,-1.7230364348325726,4.533135416324271e-11,0.1469375227109935
cc_align,25,bible,25,bible,23.67749453771912,-3.4855167929006714,-14.23036577410357,2.732425044321614,5.675964891529476,-8.418130520542451,6.6011609678111505,1.34454870902458e-11,2.112881552215934
cc_align,25,bible,25,gov,-0.015230231896216046,3.314959408016656,-1.1036517993925012,0.49463861969704487,-3.67871862094527,-5.353604819109098,-0.39973779509955926,2.9980406535280417e-10,0.10708487732939774
cc_align,100,gov,1,flores,8.42005860848385,5.95878149204408,7.424778386700264,7.30169263243467,3.436306079573777,0.23165690564716718,7.866710021852754,2.1479292363961364,0.6825423914569405
cc_align,100,gov,1,bible,1.1499999979757907,33.9180607163353,23.095235823607265,41.72300500867823,-0.010456872345514179,-72.72465875584541,-42.26644696573805,0.28635642273272327,0.1763501079021268
cc_align,100,gov,1,gov,16.96404537472885,1.1886306651180858,-12.251437422605516,2.081164961431056,2.469666263543315,-7.3216722200856355,4.218108019420302,4.763516088538247e-09,2.11862426364593
cc_align,100,gov,10,flores,14.999681119538158,12.317707637644686,15.69181723450258,15.343391009779367,6.699005236599044,-1.470791383270967,16.007030692891572,3.2869438847787995,2.2610956504940494
cc_align,100,gov,10,bible,0.08873440804940694,0.4207184680713468,-6.38398173951497,2.2306960543736483,-1.6370394663997538,-6.038557437303104,2.5398818632798505,1.2766453470591616e-10,0.6231889774091359
cc_align,100,gov,10,gov,26.858837240131407,0.670637372882063,-13.03464661241145,1.796767670596381,4.596507617286334,-6.416706017139603,4.24333267208364,1.2112161820316006e-08,2.274301951679007
cc_align,100,gov,25,flores,16.680149516935984,11.46975512675991,14.777557492730729,14.679359124401174,5.990046303752358,-0.12448263539700272,15.84138279755099,3.248014781732884,2.4280598235139115
cc_align,100,gov,25,bible,0.5349982794100825,0.508917229520616,-7.254255036428946,2.599944240761838,-2.04941293557118,-5.835441188509214,2.9900897883822912,4.373489725377729e-10,0.7447003423389581
cc_align,100,gov,25,gov,32.81959598831512,1.8123804187532662,-18.147099263608187,2.7824791704268987,6.6911512053821625,-9.43901025546699,6.407556598346434,3.225110003279144e-08,3.4093360357701523
cc_align,100,gov,50,flores,17.233483278213587,9.715122281788322,14.239074029752686,11.216084341510898,5.5183201070072965,1.1792256780003647,19.16171402918842,3.5140985915839575,3.7526523274107273
cc_align,100,gov,50,bible,3.6579253281963284,-4.178688391369897,0.8963553316192214,3.650567276146912,-11.359973627415414,4.528933539867065,4.135286252475254,5.683881389385949e-09,0.412308371619684
cc_align,100,gov,50,gov,21.119712942258246,0.5587652030089945,-1.5022353262030954,-0.22212993254006977,2.325856922949371,-0.7919044383001975,-3.186011929017229,2.0943149498635242e-08,5.779235909090755
cc_align,100,bible,1,flores,1.649999998607416,31.106220906310764,21.883152433194525,45.21999935568713,-3.811226603702271,-77.1219722631498,-40.131052931429046,0.4582575697106767,0.03300887083484886
cc_align,100,bible,1,bible,14.66177293476816,2.4819263267429603,-22.73938776787523,3.622837037310687,3.1627596806885245,-15.791204741098255,10.92544209282106,1.477609347839955e-08,1.7925830709405663
