train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,rmse,kfold rmse
cc_align,25,gov,1,flores,-61.13466258750416,-103.24444292399029,17.313112850440575,1.537689998421912,1.6129786246188227
cc_align,25,gov,1,bible,-17.408962000363,-28.739026003169098,5.797137681282277,0.603686509845947,1.0934804096515909
cc_align,25,gov,1,gov,10.433863727538519,-31.75594530917771,28.54944914485484,2.054353260997433,2.1051650126795978
cc_align,25,gov,10,flores,-104.04499013522734,-176.12616621979555,26.509483143999454,1.5372916372159457,2.243813006168687
cc_align,25,gov,10,bible,-5.148561676453434,-9.63261225973332,-2.170158070681914,0.7985842960646145,1.2139817391497811
cc_align,25,gov,10,gov,31.71129737256589,-27.32210014109655,42.32634636284807,1.959265218236402,3.8245555894195693
cc_align,25,gov,25,flores,-108.4018302737989,-184.59873521048252,26.821935938568178,1.3744550888517462,2.1648342115531434
cc_align,25,gov,25,bible,-5.700964253638006,-11.485754165754974,-1.3123145926489834,0.964491464985811,1.6539891288533248
cc_align,25,gov,25,gov,35.57001695828611,-30.434220496963324,48.83976044989956,1.981007596474028,4.005311165248128
cc_align,25,gov,50,flores,-65.54575565194864,-115.0614168846606,2.8818896780462784,3.718219398998307e-13,1.605005829251246
cc_align,25,gov,50,bible,14.240708926679774,20.341036323927153,-9.640412155591793,1.6417291979815439e-15,0.3395600629839054
cc_align,25,gov,50,gov,-51.899546297567355,-177.8835742735861,87.01727580696283,2.4269654768146623e-14,2.3578186241523
cc_align,25,bible,1,flores,-9.320689122724108,-15.98334662591317,1.531997660376966,0.5957358091008812,0.8063984160305485
cc_align,25,bible,1,bible,33.55914720220441,14.957417625895634,11.449596784856512,2.2833765740953185,4.510179283276718
cc_align,25,bible,1,gov,-10.549139583914787,-16.752929386405427,1.6113632048178856,0.3464464487305759,0.3583554178524491
cc_align,25,bible,10,flores,-19.2824591987817,-33.185787665743945,5.127742004180978,0.7565332561691259,1.3376468587470165
cc_align,25,bible,10,bible,58.46550717257096,34.75001824582059,13.85681595064647,2.7505723814830865,6.362056360439239
cc_align,25,bible,10,gov,-19.743085953275678,-33.444818964146755,7.3519116407773435,0.7310198262834039,1.0126107378232543
cc_align,25,bible,25,flores,-16.37175753214429,-28.917955705498464,4.021390329927484,0.8811551516891398,1.745048828490182
cc_align,25,bible,25,bible,66.14189513344519,40.63192435339652,12.320869218099075,2.7253607443151187,6.448621992508791
cc_align,25,bible,25,gov,-19.9153498830767,-34.14531519553808,7.344037924897641,0.7989495002819094,1.219921286063855
cc_align,100,gov,1,flores,-55.29589079269631,-94.69591295848129,13.121505533551279,1.277373462311446,1.3120341735395984
cc_align,100,gov,1,bible,-17.575429860400128,-29.348664695875588,5.83989500754315,0.5636772480352913,0.9863933785758657
cc_align,100,gov,1,gov,21.578962691079802,-15.326601189588677,22.352608977771716,1.6026720523982285,1.9103715412347224
cc_align,100,gov,10,flores,-92.65321885186206,-161.12391995685198,24.27061827389233,1.6813274066975208,2.170528133770298
cc_align,100,gov,10,bible,-2.4304855533777356,-7.983979074071657,0.34115631956950976,0.9157306797967685,1.258510609202718
cc_align,100,gov,10,gov,39.31908109584508,-16.50108297769807,40.17811719649792,2.0059718548337053,3.79008829229626
cc_align,100,gov,25,flores,-85.10107745815841,-149.77519196695053,18.176709177710435,1.47715310823323,2.190892101607943
cc_align,100,gov,25,bible,3.1209805593930486,0.4298261843672474,-2.1826358745321057,0.9572365454353291,1.4594062900330718
cc_align,100,gov,25,gov,46.649847553094425,-14.317469442821626,46.08289175043701,2.058523542684453,4.262736453782092
cc_align,100,gov,50,flores,-59.392109699252664,-106.18733688314406,-2.0017080014104893,5.665566613498507e-13,1.4619983626625799
cc_align,100,gov,50,bible,9.277691738987205,10.130320737652328,-5.885673856009622,3.938815109820029e-15,0.19326578889965024
cc_align,100,gov,50,gov,-54.28839216706015,-182.94873464241104,89.9601127349675,1.160311428702309e-14,2.432434862671587
cc_align,100,bible,1,flores,-9.301760769759019,-15.995094112375925,1.0897280758379273,0.5692125463806996,0.8261511942273223
cc_align,100,bible,1,bible,34.29942126654036,15.022341768142711,11.4831274940986,2.2781552277219834,4.921731146683455
cc_align,100,bible,1,gov,-12.413772977133627,-19.904090153863674,2.139302462670298,0.38905934868752146,0.47459660838516526
cc_align,100,bible,10,flores,-14.764765655767219,-27.065151776803855,3.9705949862123746,0.8622646918134738,1.6354673295386195
cc_align,100,bible,10,bible,59.5184837090958,34.68022961833356,15.558160439472482,2.7576799912788306,6.4079693442318835
cc_align,100,bible,10,gov,-15.323624055586793,-27.391190234562043,6.2216188528736645,0.81413544393587,1.2042478628451787
cc_align,100,bible,25,flores,-16.641295273089483,-30.826317146421367,5.348346510392089,1.0622324916387436,2.073196316539599
cc_align,100,bible,25,bible,65.61862310344759,39.797819725177504,11.559643217132482,2.8344382830390082,6.7588431189596925
cc_align,100,bible,25,gov,-13.35773876470772,-24.95261450105502,6.0505859976980165,0.9597737829014127,1.6130316661620425
gov,25,bible,1,flores,-22.114037705983232,-35.51386408504466,4.360530698695125,0.5916270344783645,1.165725886900577
gov,25,bible,1,bible,15.035717198834767,-13.66020890095469,16.368222320353127,1.951674559789585,4.462829449782754
gov,25,bible,1,gov,-22.201208100131254,-36.044756363260035,4.818703788348034,0.5756297527769014,1.1080364895803791
gov,25,bible,10,flores,-38.07612327129948,-63.117242201827246,11.391615975698286,0.8802624128138834,1.7871531951689905
gov,25,bible,10,bible,46.62356296633638,15.433983199071388,18.98086553885648,2.904673337123298,6.981822032500512
gov,25,bible,10,gov,-27.90440498548636,-57.52205413579978,22.067059560300592,1.6474953290543235,3.167800852296435
gov,25,bible,25,flores,-40.89317310564728,-68.12156785500483,12.777405898661794,1.1526282954637574,2.4525687752313416
gov,25,bible,25,bible,59.626413591980324,32.49214929945953,10.58119143518767,2.802699584728524,6.71373152505216
gov,25,bible,25,gov,-22.771193354646744,-49.610745376769124,19.151096148430632,2.0995452852416068,3.908365596982948
gov,1,bible,1,flores,-17.30343383407439,-28.02152920478772,3.7053466665611356,0.7650329420898917,1.1385710926420383
gov,1,bible,1,bible,27.268232796799293,7.552561579282363,12.658734062733245,2.4378250421856995,4.6053971043406
gov,1,bible,1,gov,-18.242264863901624,-34.189512434068725,9.869531194369,1.1531361817079808,1.7655883320003056
gov,1,bible,10,flores,-32.14430055279913,-55.15205411054644,12.421869681343773,1.0283490452557005,1.696281857100485
