train set size,c0,"c1,1","c1,2",rmse,kfold rmse
1,23.190980488626224,-41.41971792266505,-9.251868621546568e-09,3.0922577471239197,3.134544744341182
10,36.03890440417583,-65.0603346550826,-7.616649698144222e-09,4.243702723877136,4.128224103714299
25,40.597952918295185,-73.09610603419166,-4.582424206815485e-09,4.4679833196137055,4.318399051789447
50,50.37655117062748,-88.23492291799441,-4.033592512540786e-09,3.4327351480260564,3.521031671010323
