train set 1 size,train set 2,train set 2 size,language to,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
25,gov,1,ka,17.555699116941497,-251.81225199801938,977.6244718527864,-999.9999999999999,5.663659461616597,6.022437807181705
25,gov,1,gu,18.944112838268644,-216.46219303835503,917.6997375748257,-999.9999999965969,7.439498255488108,8.919369359780116
25,gov,1,hi,-14.561210402054341,289.16063989568784,-966.3884926989041,999.9999999999999,6.673477067086689,11.458233716827847
25,gov,1,si,-29.150954138394905,374.58198872528425,-999.9999999999999,822.2363853326134,9.096273516285896,12.473921186194682
25,gov,1,ta,-16.793271520736695,290.3908207207113,-970.9867199538386,999.9999999999999,7.441586746891121,19.025338855711382
25,gov,10,ka,11.512790888405599,-139.07648961392317,811.5776269075618,-999.9999999999999,8.503188253703216,9.021799240393682
25,gov,10,gu,19.878489542702948,-160.1887253374077,830.9405158611783,-999.9999999999552,9.911643018578012,12.075391813440985
25,gov,10,hi,-5.512262117560236,260.98382949685856,-909.8540476743239,999.9999999999999,9.600549113353589,15.669356724437867
25,gov,10,si,-19.935114629620927,372.87036436901434,-999.9999999999999,826.03118989321,15.239246610530207,21.1016170377741
25,gov,10,ta,-7.423648835035157,250.94979030375842,-897.74556563584,999.9999999999999,11.194370771432416,26.979474359785062
25,gov,25,ka,8.479941102579396,-102.8139321705256,761.1551744068365,-999.9999999999669,9.293654104824345,9.877935828328374
25,gov,25,gu,19.36653797257314,-144.58569295886525,810.5752272624711,-999.9999999999644,10.736009222469825,13.032192946859189
25,gov,25,hi,-5.066627400123661,265.29803897157,-912.2505236538201,999.9999999999994,10.312418610777664,16.47616677129449
25,gov,25,si,-17.493049688710123,372.90613101687524,-999.9999999999999,826.6503283822274,16.950574710175623,23.5186373820764
25,gov,25,ta,-4.878847756117754,240.39700846692207,-876.2792254689784,999.9999999999998,12.207592548473256,28.834613134774674
25,gov,50,hi,-6.08319903865457,281.01890443135284,-934.6289840549487,999.9999999999999,10.708714042776942,17.06191284408312
25,gov,50,si,-18.252661091325372,382.52996465235964,-999.9999999999999,807.8698528910844,17.960193423009418,24.84678811022998
25,gov,50,ta,-4.884924155791477,248.66151427766422,-885.335703565801,999.9999999999998,12.807197092103683,30.622641739306356
25,bible,1,ka,1.0752902492486183,29.128269715295982,-209.89924935783515,347.04681368094265,4.280313911804094,12.379830296494589
25,bible,1,gu,-12.625954869250346,206.97689321710328,-819.6066885565048,999.9999999999999,2.0439988164476333,12.531312349377004
25,bible,1,hi,32.582227424290046,-316.4213761617883,817.9177830132788,-486.431882791833,3.9136148871604046,5.647775725062385
25,bible,1,si,20.54921964319351,-261.4344826456192,687.3468136588534,-391.43976294032717,2.2078789524085636,9.119204490568835
25,bible,1,ta,24.241641722160775,-329.50479466929806,999.9999999999999,-771.7645849148888,3.7462865937528034,47.27491634852382
25,bible,10,ka,-3.171610000827251,103.93139908035546,-517.3261654226079,726.3456039734798,6.367611825683292,16.16289209583967
25,bible,10,gu,5.109283056597083,109.02712945085398,-671.9941586567305,999.9999999982189,2.774583397015706,14.548486753875935
25,bible,10,hi,43.14776458630355,-405.4112891278389,999.9999999999999,-511.4815490817388,5.813883274666441,6.664081663455389
25,bible,10,si,35.007642520691576,-396.4506561019916,997.7489693738426,-536.0227244947064,3.2527107503122004,6.976808983704913
25,bible,10,ta,30.152462755749113,-354.7676961321057,999.9999999981721,-671.7651939491788,6.203415633195149,84.96437349985911
25,bible,25,ka,-4.694107307594665,123.53230306018979,-605.6930606400576,850.3879768859555,7.3185968598969415,17.52076912549186
25,bible,25,gu,10.530932293413247,73.32276640951379,-611.657227432672,999.9999999999999,3.2117321350075727,15.975251825949066
25,bible,25,hi,46.462105777815715,-425.0168371217217,999.9999987524162,-427.70403352253317,6.566170707155769,6.9887400760826415
25,bible,25,si,35.82316767636149,-404.63757546426996,999.9999999999999,-500.90365197945493,3.843062743709908,5.52110294290693
25,bible,25,ta,31.557022144530453,-361.76824927020715,999.9999999984982,-634.4401543667062,7.189977348689878,92.25889696985993
100,gov,1,ka,-255.62923967178367,999.9948886262132,-415.74221020655983,-999.9928859387986,2.7834372877173523,8.142021105742929
100,gov,1,gu,-244.23579123079563,999.9993774293565,-453.89235471447057,-999.9921125793749,1.9004756103584413,9.365943020646535
100,gov,1,hi,-209.45350948912147,999.9997969991289,-679.7458758123299,-999.9995512217016,3.973936923750116,8.809570914012005
100,gov,1,si,283.10258545234706,-999.9980655454561,348.87129629812324,999.9590422087055,1.3076012678724884,10.774358336001802
100,gov,1,ta,-206.03349497069743,999.9999867465658,-706.9693984795299,-999.9998944151597,6.320207073761927,11.02668965115916
100,gov,10,ka,-239.17289678175248,999.9999776087863,-465.1335989152528,-999.9998360406237,5.066818126252999,11.15301696442443
100,gov,10,gu,-227.21520951365682,999.9946365929762,-502.87049706584924,-999.9921706549999,3.6483276491515473,11.599688261346964
100,gov,10,hi,-193.5754286222758,999.9999585631043,-735.761418211664,-999.9998272508282,5.954152029441932,11.310356885339903
100,gov,10,si,301.8346340662316,-999.9951887558643,286.1388033072406,999.9929783630605,4.5295235897515,15.89820210915007
100,gov,10,ta,-191.7391371529954,999.9956660762788,-757.5945949361397,-999.9986803133651,9.323891948690031,15.022860001414907
100,gov,25,ka,-233.90991920488494,999.9995327564643,-480.6359080478295,-999.9919569400826,5.693335177214044,11.978333746148195
100,gov,25,gu,-223.7034164424492,999.9986705496497,-512.1349596058149,-999.989856588672,4.515411162281535,12.695799995622272
100,gov,25,hi,-189.25641220883767,999.9408013226105,-751.9434920447638,-999.3909678216047,6.498181327077145,12.006540229520489
100,gov,25,si,307.2357861186355,-999.9952652775158,266.7787824242113,999.9935667867671,5.762230670417384,17.86094746251539
100,gov,25,ta,-186.86657836930877,999.9075433825305,-775.3995358495199,-999.5556355039483,10.138687408185115,16.114487777943065
100,gov,50,hi,-184.6330476861215,999.9999997524478,-770.8800354382713,-999.9999997474234,6.05913920376853,11.479749824040608
100,gov,50,si,310.6745696463242,-999.9954323558205,256.8854929252909,999.9936788999846,6.458975514248152,18.98558660893894
100,gov,50,ta,-183.12129258291475,999.99999999678,-790.580926336543,-999.9999999979157,10.236886173279709,16.245017293687404
100,bible,1,ka,86.69330592729293,-354.4456799320838,191.96074010858027,393.51020049751787,3.159247117055306e-09,1.6900852952837166
100,bible,1,gu,99.71224727399694,-402.3044809914673,213.75156130889698,450.0360753803626,9.450171389065483e-09,2.995244668517299
100,bible,1,hi,161.01390484436567,-711.5874796248395,388.72623952527437,999.9832700848892,0.15894485532477692,3.298908036145627
100,bible,1,si,55.59506998383726,-274.25297932754825,208.774373741799,362.0048754751171,3.2500715460679004e-09,2.872533066679198
100,bible,1,ta,137.37526986927355,-626.0182202618581,355.16680310280356,914.8029319298523,5.673996667266465e-09,1.9611397228102703
100,bible,10,ka,164.53316086854116,-655.5419192848184,331.4452707468994,719.7712695066966,4.7237752854663756e-09,3.1182863485268975
100,bible,10,gu,147.89028376414527,-622.7733664701603,451.8638634383798,506.7673340977375,0.14163541737995664,4.31068261535387
100,bible,10,hi,211.17944271652848,-999.9999999999853,808.0346393844195,999.9999999609566,0.7634817284321234,4.823011340182602
100,bible,10,si,77.77045256691027,-362.86389263709026,195.91609948263786,626.0399365362771,7.696807373257956e-09,4.236040641974273
100,bible,10,ta,206.7655142949437,-999.7121327249725,837.1823653998606,998.7007580801348,0.11821298811878406,2.9038687390233964
100,bible,25,ka,190.68385111619858,-778.7143735975706,457.8885173105744,765.6548639664695,8.181234159254803e-09,3.5562775271850886
100,bible,25,gu,142.3112444056948,-504.4473893637488,-3.5938516163770444,999.9994214500156,0.0025245682324152563,4.9133317668820204
100,bible,25,hi,205.69898932153967,-999.9999884695253,849.4847609083336,999.9999768783609,1.330331897345161,5.56346769128458
100,bible,25,si,102.25274092179464,-526.0629058417517,527.9741146587987,440.2091576996885,1.567124699515603e-08,4.69593484465653
100,bible,25,ta,203.3928073208739,-999.9998002405454,868.782548607399,999.9997755361918,0.28298676597133315,3.1401119592952167
1,gov,1,ka,21.74565894773419,-203.43577463720547,180.49471952009034,323.4743942186322,4.32211415446683e-09,5.05968539723047
1,gov,1,gu,26.476842066627587,-187.6257596505188,104.82248521609465,419.9209995455933,9.105034645801203e-09,7.804791220063138
1,gov,1,hi,37.768015064970335,-311.97240285026356,336.0694733930082,362.3634349910656,7.795944247988407e-11,7.546715771279806
1,gov,1,si,30.808066649538706,-193.24079262133463,138.4401658985845,284.2142210089715,3.0977633119829605e-08,10.336951260740738
1,gov,1,ta,20.335349707041086,-160.0338229580685,150.63496154509664,219.80115716988797,1.656195570518637e-09,9.823329366119246
1,gov,10,ka,40.7115963376185,-367.9625493012681,262.24272972523534,755.9956474432332,4.470430822614074e-10,10.271403695102997
1,gov,10,gu,36.004321399083665,-262.1032622493871,287.858954119167,350.2355864048561,6.547300104296857e-09,9.052083160353336
1,gov,10,hi,45.88590708142411,-359.14430102510335,335.381381149198,561.6958441985305,1.0751055623408233e-08,9.690216945766938
1,gov,10,si,59.16688476503967,-362.9649439434348,299.025145738716,457.42990247639204,2.6231383885446922e-08,17.97106967710645
1,gov,10,ta,34.32899212853373,-264.73214011310876,276.0998211089551,316.12787099471075,2.02754031870482e-08,15.66424583723393
1,gov,25,ka,51.57635111610581,-497.27097101287035,617.4320198511879,506.9934830502934,0.06355634163715335,10.942983528671826
1,gov,25,gu,36.20191990982324,-260.4270610466452,267.34413394652415,404.74834222339007,2.0309241971040557e-08,9.783137282982269
1,gov,25,hi,45.544966454581186,-355.3276438327619,333.82539429252523,570.9663431338984,3.6043995857508684e-08,9.748752671658515
1,gov,25,si,62.27284646013804,-372.51294371938855,260.2377011725453,561.3351511749642,4.8695817785973915e-08,20.145433558347285
1,gov,25,ta,35.8709367689413,-273.4823620001715,277.8977674739162,352.7913102640453,4.011169830350319e-08,16.817213059858126
1,gov,50,hi,43.288653643416275,-336.4549191589549,325.4955780919246,545.2043426872324,3.006897575634823e-08,9.280533662289614
1,gov,50,si,62.80160247630116,-370.7145892416098,227.00588067782078,626.0830259963494,9.156933520050879e-09,21.08744241036361
1,gov,50,ta,35.93085232014356,-269.80598405925815,278.56091676238896,352.8080305962979,1.9489493062666444e-08,16.61345112037903
1,bible,1,ka,13.490036065172184,-87.34676750806771,93.01865737054511,129.89504640293345,3.01414284896784e-09,6.249637603879755
1,bible,1,gu,25.35502876984847,-131.39911683674114,139.0530204899502,138.36449541552838,4.159429350136223e-09,6.942635947745546
1,bible,1,hi,21.065616118422778,-126.14212554293894,133.18771125743618,178.11646983526063,1.684039913070392e-09,9.060003159593979
1,bible,1,si,20.47178185430469,-130.76823521155492,122.8104973795783,158.49292026035286,1.619924219005123e-08,14.78653953544078
1,bible,1,ta,15.681250840423353,-94.95966052216397,81.9274170157745,131.35044367369179,1.9928626196652865e-09,10.95253719473749
1,bible,10,ka,22.650954520142196,-147.7062174206232,165.52939221960958,214.27562640022637,2.5276788543672685e-09,10.536167138679268
1,bible,10,gu,44.291480912327785,-207.59295196985263,174.0375887121908,272.570897653141,6.579351728393622e-09,11.710168525012861
1,bible,10,hi,34.35581512032839,-193.95421409115065,169.76319159844016,327.9031397985086,2.3095149339671783e-08,14.067133467901717
1,bible,10,si,35.12330381504049,-201.2150435569021,159.58817527490078,281.6282395567585,1.2212866935965355e-08,23.966323629325323
1,bible,10,ta,31.01836079712807,-168.9036500856779,134.1711972347912,226.51350096051289,1.1885101299344669e-08,19.056307325818768
1,bible,25,ka,25.984774099480386,-173.54934508141443,201.01837065645083,247.519374399629,3.2373500177091666e-09,12.423753896689389
1,bible,25,gu,45.00362452649218,-197.27607298682383,94.37275615018541,408.70145070593713,2.3900224296610623e-08,13.412685389309262
1,bible,25,hi,43.25065818690136,-253.72278117309057,274.4986405645161,308.9000762896559,1.8929451699998577e-09,17.16854646408896
1,bible,25,si,34.57581939410858,-186.2813112790061,73.39589296491341,404.3956725860513,5.297168782705597e-08,27.01559004800703
1,bible,25,ta,35.5802216963006,-194.87852738696512,153.99756305641952,266.2807099314036,1.5134353075817444e-08,22.890744288869968
10,gov,1,ka,22.186847761277598,-244.96096873099472,310.3038924765831,280.9143363778554,1.7152507719362372e-10,7.008683394349915
10,gov,1,gu,21.092256078192182,-175.7298225226887,192.92467048270288,262.4617089160309,2.092899534962171e-09,7.852915183514042
10,gov,1,hi,21.33865157883819,-193.2966459978025,179.55220658077937,354.0317331181113,4.144933483228814e-09,7.040944547952308
10,gov,1,si,17.956775330426446,-153.98898792407473,166.31760966694102,220.51592387936117,1.4018757119395882e-08,10.60026206252358
10,gov,1,ta,13.864719457058222,-132.93438159102973,130.80276796909763,219.29800730053697,2.5060928666464946e-09,10.138967211701384
10,gov,10,ka,30.288506092303646,-310.6796868715146,365.6505290301418,448.3065167842214,1.9003233200106568e-09,9.608867165849306
10,gov,10,gu,26.398370580013985,-174.57579579671568,147.53269683316773,381.9769080144812,1.169400693244098e-08,9.119015309360503
10,gov,10,hi,35.86396576743189,-291.486257512816,334.50511228122417,399.7830157725538,3.6784894182522816e-08,9.560597621517738
10,gov,10,si,41.14390143136378,-304.3263250833131,353.89069860293773,332.10028785520797,7.196624535256959e-09,18.950915420461058
10,gov,10,ta,24.146023165275025,-178.24280609445637,101.52279526539297,426.96704089762375,3.657014737189533e-08,15.76028206861043
10,gov,25,ka,33.79368655690234,-345.7579226813855,414.73840806938745,487.50007268616184,9.735528974624669e-09,10.820149934278108
10,gov,25,gu,31.891256613183973,-243.967259892909,359.252014250112,213.60389721690095,2.365561436655971e-09,9.761079283248407
10,gov,25,hi,36.391446300253136,-294.2394465063841,336.5809351161121,421.76643784529557,1.026738606835458e-08,9.927776233121135
10,gov,25,si,44.87187996159895,-315.6705758982619,328.07187557834817,420.0481610810641,1.2477564288822033e-08,20.761990193015084
10,gov,25,ta,29.644560278907306,-241.6276608114308,278.3221082487777,302.7124046598707,8.269612612011299e-08,16.625113699577536
10,gov,50,hi,35.222715768587285,-279.48588874491617,332.6291064749312,394.03884791336804,8.318080490576725e-09,9.539394259643343
10,gov,50,si,45.80256078546203,-324.77884936501704,337.98377324377236,442.62777241264007,2.4863273668686567e-08,21.412836891367274
10,gov,50,ta,30.622090967533147,-246.1265998583013,296.15426540087407,292.956433972007,2.033559603512114e-09,16.92981267292943
10,bible,1,ka,9.635117747754657,-72.48421756708014,102.46032083211911,120.30986289770514,2.5659784698766503e-09,6.571598190214874
10,bible,1,gu,13.898604373457067,-78.15265511342398,97.60291212413158,122.71878414452185,1.850840368649734e-11,5.611051927264429
