model,multi factor,multi variable,overall linear,sliced linear
linear,279.25%,96.58%,96.58%,100.00%
poly2,281.14%,97.23%,97.23%,100.68%
poly3,282.52%,97.71%,97.71%,101.17%
exp,279.82%,96.77%,96.77%,100.20%
log,275.81%,95.39%,95.39%,98.77%
power,276.43%,95.60%,95.60%,98.99%
hmult,277.43%,95.95%,95.95%,99.35%
scaling,276.77%,95.72%,95.72%,99.11%
