language to,c0,c1,c2,rmse,loo rmse
ka,37.81344259468756,-8.474909557573778,-65.39293109281437,4.270989315662566,4.275190008626025
gu,45.148084057777055,-16.845913750705158,-65.10461190014651,5.18650399086749,5.191012943551821
hi,47.59389061492666,-17.878686710882572,-73.83129758623429,4.27934552968916,4.281110248268111
si,60.37702210418314,-24.69597192442104,-89.94707311029492,5.477306140204207,5.480654808403522
ta,49.234314384754185,-23.058498725814328,-71.30154223102878,4.916506483060727,4.919935057778203
