model,pareto,rawlsian,1k,10k,25k,50k
linear,True,False,8.005455003490484,13.562087806009222,15.191714359724113,17.87501101988277
poly2,False,False,8.005474106685181,13.562105923185502,15.191720335910674,17.875015160431808
poly3,True,False,8.005449228659888,13.562074079163157,15.191712545072033,17.875011938646352
exp,True,False,8.005451967645952,13.56207911341014,15.191704099157954,17.875015592432966
log,False,False,8.005458995164826,13.562108612668984,15.19172990079842,17.875013823957225
power,True,False,8.008520263989766,13.536551199407391,15.164292421285534,17.705686432734808
mult,False,False,8.005455327156595,13.562079095182767,15.191754101743332,17.875025635913467
hmult,True,False,8.005448857146474,13.557017650336205,15.191720709893104,17.87501432692269
am,False,False,8.12767226819096,13.563256814309662,15.18805968263149,17.542395421652813
gm,True,False,8.126872881821459,13.56337821825949,15.187993935152043,17.5419928101352
hm,True,True,8.127135773112604,13.56308881470863,15.187729309148889,17.54147830949012
