train set 1 size,train set 2 size,language to,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
25,1,ka,24.477445807273646,-16.62246731668108,16.578277475169394,-21.05836828623811,-35.18377810920781,1.9337323721707527,2.073791871056532
25,1,gu,25.097953143743382,-61.28226672537209,79.65562567624397,55.03066816449161,-151.19494263494627,2.770254366094943,2.9748729148029147
25,1,hi,29.307555152037843,-29.026947905020883,33.956808207439714,-15.085991027120953,-53.39582749892975,1.6184451449623718,1.755962397494286
25,1,si,45.93799860924302,6.520223307462133,-15.933908136970677,-143.10662904797783,113.35636469561796,1.091527130080252,1.1012126313931978
25,1,ta,31.92675798893596,-12.586213210886571,11.309498417853822,-68.87855609372063,32.79976754189906,2.4360887337933286,2.896773198509196
25,10,ka,39.131203767521654,-28.152852673150765,27.396983981966038,-32.85166634532577,-57.18605484146588,2.722447499259588,2.8392820652753867
25,10,gu,43.13190796425007,-81.5779156025317,95.10165128955602,37.32603458295842,-159.2663208146923,3.793558129563531,4.048764967229729
25,10,hi,48.05705282069714,-82.99886753068263,111.52712374122184,-26.15675436214043,-67.74297458298693,2.5214632418170027,2.6479887029686076
25,10,si,66.84183316346754,-25.226056048172865,15.489299642458112,-189.30689124857776,156.96033425616676,2.3870069618126104,2.45819650947289
25,10,ta,51.741225475892065,-25.911414918723306,19.020476624832114,-135.5266180538092,106.58441406236174,2.6827675704503555,3.031776835149169
25,25,ka,43.341185797034264,-31.262823346718623,33.46453220459639,-37.551800020250894,-63.50998608340219,2.724481849406982,2.841435688289169
25,25,gu,48.487890328022516,-80.75978871439567,92.941647528847,21.988987884641357,-147.22828440925488,3.951097275572824,4.199511502946409
25,25,hi,53.55538680355998,-90.1017852286138,121.59202187623147,-36.70798499805255,-62.7330195330136,2.2843700879484996,2.3391477969728043
25,25,si,73.59581979382709,-31.73742866747823,23.091321659719416,-208.42068477829676,174.7290381961684,2.8044822309112383,2.8753354203226795
25,25,ta,57.15423729884823,-35.402797000631466,31.978979447781096,-143.1094809647556,109.58837750660818,2.689781074192946,2.9876896642576907
25,50,hi,62.31298410008597,-43.14988352183939,37.28749278688861,-98.93861812016375,18.231851074966112,0.029071979581703468,0.07231071381215365
25,50,si,83.4054036290776,-73.44011872902303,75.08064352547404,-182.48276638369603,127.28349212970924,0.32668660423893703,3.573850859282099
25,50,ta,64.71377856993969,-39.28548386211724,36.67501590390376,-151.486177582481,110.09582065761182,0.30166132216876357,1.2015755331849733
100,1,ka,-215.32671744366073,961.7263339134175,-999.9999999996877,67.78680439230874,-165.49153201209856,1.0637336404432833,1.4251187428299266
100,1,gu,-204.01186324019884,875.1066666789832,-907.6220804764909,155.44498527475525,-293.83365220280376,0.7195257607961549,1.2172155741822526
100,1,hi,-172.71357092112254,867.2873259890382,-999.9999999999999,84.69916617962843,-201.819480346547,0.5530013229896817,0.602088633622341
100,1,si,205.60951472185607,-870.2769421074178,999.9999999999998,10.45317804024325,-89.55643838477104,1.3807591584071177,2.0343863804640767
100,1,ta,-134.21921922068407,814.467484361188,-999.999999994323,-53.18626955516558,9.8580919112755,2.2046278940295356,4.063032224443461
100,10,ka,-195.91251053724346,952.3693366683624,-999.9999999996056,29.84369659338476,-151.03916858395849,1.6105097516408913,1.9318080227715475
100,10,gu,-207.97436938311944,955.346947342687,-999.9999999999999,143.4623744922744,-317.5907602471875,1.1167769818848383,1.1559625670407745
100,10,hi,-161.5828684576042,871.2049753178047,-999.9999999999999,61.20243302353702,-203.39978566242638,1.4003886133509313,1.4036824978400813
100,10,si,90.10487575326982,-158.50259200875857,172.16534968034813,-156.94047856577583,111.38588693741637,2.505213165263228,3.3469459425423342
100,10,ta,-119.4647952247628,811.4329874460384,-999.9999999999999,-104.06054218521305,62.00340923736796,2.4612174810256384,3.3062309844626636
100,25,ka,-193.55405726887076,956.4207911637302,-999.9999999996594,27.619192820299777,-162.30723215231563,1.494422774599809,1.7006442777071482
100,25,gu,-198.70237590037777,950.1421491192855,-999.9999999999999,114.10559294759176,-285.18352980821595,1.196199574903649,1.2206437469458586
100,25,hi,-159.11311090242714,876.1962973835249,-999.9999999999999,52.05234012252209,-202.2107144050886,1.105923580232829,1.1063236815723603
100,25,si,95.34620187863997,-158.32387511490873,173.37639077818108,-176.27473458849727,128.3105761797248,2.5119736876037035,3.324087328575841
100,25,ta,-117.58349310448378,815.2075186922913,-999.9999999999945,-107.01185754260578,57.97827941324526,2.5522927526997554,3.232926551459934
100,50,hi,45.995002166913146,1.1170081860840892,-3.4642569156133325,-56.299540886309714,-43.710006098969416,1.5989322086983268e-08,3.457411336865732
100,50,si,36.79035072597858,58.542370000259254,50.4986530419638,-115.78289356727625,-31.564173554195175,2.242216797034814e-08,15.300710281326285
100,50,ta,32.29211632470141,18.119622819384922,66.46997740387297,-62.20862687424836,-45.32464670057273,8.490561399615163e-09,10.900329560516097
1,1,ka,28.748881818719457,41.192294950441806,-126.29397147845862,-4.470392431246887,-102.23198460325297,0.44322775062243497,0.9489828811503199
1,1,gu,75.53905028732508,251.35571618582375,-779.229248488079,371.1944714864925,-999.9999999999997,2.460504432464951,3.515892822223957
1,1,hi,43.244834063561626,12.259220190131414,-133.93133470325657,91.74749837291012,-305.22361281135835,1.0488192129304121,2.350871736077418
1,1,si,47.66659338682492,-53.36996803835229,58.35647732758672,-96.90718067413981,57.6215516258836,0.6987020095487761,1.5966607805038884
1,1,ta,58.00315396432734,-117.85770169260849,55.89720068425598,114.94907857084982,-308.76156300635563,0.8813346255273135,2.3728763531461112
