train set,train set size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
gov,1,flores,17.173068561530613,-24.67623327559489,-21.891095320579268,1.5388307249337074,1.5464508411461486
gov,1,bible,6.64817628601308,-11.489361668409787,-10.01519761655723,0.2863564212655271,0.2869971200879474
gov,1,gov,32.41030047159701,-24.78925275096261,-26.37249607007948,3.3216712660948255,3.3266579417223654
gov,10,flores,30.587656240923764,-36.96966140538815,-32.186197992303086,2.483948469674844,2.525025762648931
gov,10,bible,9.710313047092875,-14.935159441375282,-13.664057940892096,0.7861297602813418,0.7919492871828268
gov,10,gov,31.231200133188665,12.067999042847564,-7.239998424223566,3.7453971752005164,3.745418970602112
gov,25,flores,36.281117901622224,-42.86902109280255,-39.1156841531325,2.6932322588295277,2.7383668602334246
gov,25,bible,11.620861609348983,-18.225859390650303,-15.034486581551628,0.8303613671167511,0.8341927541168497
gov,25,gov,34.655096506642266,12.553603711253444,-5.790862444647244,4.443647150708527,4.444202827899521
gov,50,flores,11.745603810151305,5.148935458724593,2.4676375397428654,3.4185767018843767,3.4674293987896196
gov,50,bible,1.7697148708953836,0.8179106784194127,0.43617202752302314,0.8730533902472529,0.8803787063909858
gov,50,gov,32.73046995685964,18.774829355613367,13.080822713926993,5.336873824836242,5.345677381461254
bible,1,flores,4.540537967195878,-6.569804808642747,-6.328850273367301,0.3,0.3012320380383548
bible,1,bible,14.022619181901556,6.534721438841556,3.5218265160608646,2.7730849247724096,2.7838821814116486
bible,1,gov,2.814066208346762,-4.165386215356098,-4.049448263776769,0.23804761428476165,0.24419178862778712
bible,10,flores,8.23277769165487,-11.607869867986706,-10.560185902876182,0.28867513459481287,0.3
bible,10,bible,17.614644373457264,18.33124115852169,20.95536976899849,3.035896353083661,3.0597143415125707
bible,10,gov,5.637873873819198,-8.575097597279562,-7.392717718171897,0.36685601171758564,0.3773690599498455
bible,25,flores,8.79903305477971,-12.01519281954837,-11.04972454350224,0.3122498999199198,0.3135706150331132
bible,25,bible,19.22996731637115,23.512690654501476,24.624727636426993,3.3641492238008706,3.367497708436713
bible,25,gov,7.060033265400442,-10.954360714835937,-9.708056121662805,0.354259791678367,0.3566854213391962
