model,multi factor,multi variable,overall linear,sliced linear
linear,85.60%,28.73%,28.58%,100.00%
poly2,85.69%,28.76%,28.61%,100.11%
poly3,85.84%,28.81%,28.66%,100.28%
exp,85.59%,28.72%,28.57%,99.99%
log,85.60%,28.73%,28.58%,100.01%
power,85.65%,28.74%,28.59%,100.06%
hmult,88.27%,29.63%,29.47%,103.13%
