train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,rmse,loo rmse
cc_align,25,gov,1,flores,10.278483972241503,-6.059562071429232,0.0,0.0,2.279900872593621,2.724954042361421
cc_align,25,gov,1,bible,-0.6762750244898134,3.6846738340972522,0.0,0.0,0.7165884251820615,0.8313549507099806
cc_align,25,gov,1,gov,6.682971677215504,30.501078977966653,0.0,0.0,2.302518051990052,2.631596747666706
cc_align,25,gov,10,flores,21.843161243881884,-15.93965836837292,0.0,0.0,3.339447374477061,4.00061673836636
cc_align,25,gov,10,bible,1.5538712487228608,2.2270551969855363,0.0,0.0,0.9150710780748411,0.9284833633717944
cc_align,25,gov,10,gov,19.52208163346133,30.191907220637344,0.0,0.0,3.5034374403606634,3.7872573143172326
cc_align,25,gov,25,flores,25.293211541715888,-19.37906849079159,0.0,0.0,3.4088205244500323,4.076242993177077
cc_align,25,gov,25,bible,0.48218301493500587,5.203293659977892,0.0,0.0,1.0210173846561539,1.0393127565607532
cc_align,25,gov,25,gov,20.362353167591152,35.51544012270328,0.0,0.0,3.9006086635949377,4.210680856724174
cc_align,25,gov,50,flores,44.268398043019396,-55.43849016543531,0.0,0.0,1.032692635765644,2.159514984627826
cc_align,25,gov,50,bible,5.334408115560234,-3.934106469015916,0.0,0.0,0.5460911809873162,1.1419582903852543
cc_align,25,gov,50,gov,22.865291119870832,38.48496057945288,0.0,0.0,4.991963178557429,10.438942828587185
cc_align,25,bible,1,flores,0.8253717863528829,1.6995002311099017,0.0,0.0,0.6778411797057564,0.7266049406664655
cc_align,25,bible,1,bible,14.958370718095143,6.337715083783168,0.0,0.0,2.6905150558161153,2.742905419783905
cc_align,25,bible,1,gov,1.955412572914781,-1.8564733289040887,0.0,0.0,0.4835489363525857,0.5391092992662956
cc_align,25,bible,10,flores,1.3214912504828242,2.950632843615852,0.0,0.0,0.9363105356422375,1.0461009585265508
cc_align,25,bible,10,bible,25.373185132674344,4.71557428537345,0.0,0.0,3.525094641054169,3.5464946711835794
cc_align,25,bible,10,gov,-0.2581606986201785,3.8049244473471093,0.0,0.0,0.8539556862236005,1.0106491970604583
cc_align,25,bible,25,flores,0.36154564897112357,5.2822599826460035,0.0,0.0,0.9854878719446328,1.0636578399173964
cc_align,25,bible,25,bible,29.976961558801207,3.5423665297262232,0.0,0.0,3.5223487630771237,3.5331588185408913
cc_align,25,bible,25,gov,-0.4473109635223164,4.83312292774884,0.0,0.0,0.9063119679193878,1.0580483341012514
cc_align,100,gov,1,flores,13.690550247873164,-10.241268294666131,0.0,0.0,2.0745541906934966,2.443312079864521
cc_align,100,gov,1,bible,-0.016997049905401098,2.9088330999074623,0.0,0.0,0.7018559435119274,0.8214312828165515
cc_align,100,gov,1,gov,11.948185997668416,23.4180179896665,0.0,0.0,1.9950557305642118,2.1988726340845526
cc_align,100,gov,10,flores,21.983367133620497,-13.569460192678333,0.0,0.0,3.2031509966070413,3.823406460293922
cc_align,100,gov,10,bible,0.02187091574248559,6.253185044692605,0.0,0.0,0.873432469682596,0.9021609919400726
cc_align,100,gov,10,gov,18.993032373116904,32.34690955739075,0.0,0.0,3.521980218377449,3.7635859307429484
cc_align,100,gov,25,flores,25.35840770566734,-16.863109030758395,0.0,0.0,3.1160711465357336,3.6032747020195433
cc_align,100,gov,25,bible,-0.1821719036163077,7.465764655391832,0.0,0.0,0.8887310973927154,0.8942925502895162
cc_align,100,gov,25,gov,20.252637094491757,36.58366433224181,0.0,0.0,4.029971884804075,4.2675654132682075
cc_align,100,gov,50,flores,47.31605821320849,-58.17349529260506,0.0,0.0,1.3250238631936424,2.7708235260293694
cc_align,100,gov,50,bible,6.09018193748064,-3.59074418034999,0.0,0.0,0.35851172859336217,0.7497018356163667
cc_align,100,gov,50,gov,22.070884276184916,40.279012962971066,0.0,0.0,5.171219042509434,10.813793800115999
cc_align,100,bible,1,flores,1.2549654228363853,1.253373937183382,0.0,0.0,0.6748040921892842,0.7171796294778312
cc_align,100,bible,1,bible,17.583672976697454,2.557768256947971,0.0,0.0,2.707155169712533,2.7507854921269503
cc_align,100,bible,1,gov,1.8782406513822039,-1.27903536761958,0.0,0.0,0.5556679106861903,0.6201542433925121
cc_align,100,bible,10,flores,0.5783534923800491,5.405047200943434,0.0,0.0,0.9424119218133722,1.0209516456644947
cc_align,100,bible,10,bible,24.985888887165018,6.323107797207981,0.0,0.0,3.6227332877254916,3.6468765856479326
cc_align,100,bible,10,gov,-0.8539751006373449,5.85649155140479,0.0,0.0,0.846798429003503,0.9709879847358832
cc_align,100,bible,25,flores,-0.5928732911790706,8.302670075488534,0.0,0.0,1.0853462180521813,1.180504277982384
cc_align,100,bible,25,bible,31.834069475473967,0.6721815825446465,0.0,0.0,3.5558775306440404,3.566068028136748
cc_align,100,bible,25,gov,-2.1908493605280417,8.959393807533093,0.0,0.0,0.8991799093517719,1.007301121633003
gov,25,bible,1,flores,2.124582668854698,-0.2420777135976592,0.0,0.0,0.9032314759981808,1.0017175350185696
