train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,c4,c5,c6,rmse,kfold rmse
cc_align,25,gov,1,flores,0.20401930742109753,1.7536864675235666,1.6772093347437786,1.3385455217229778,-5.570662756601341,-24.51360972476391,-2.7678367320152857,0.0006315004682674373,0.01702809573949427
cc_align,25,gov,1,bible,0.20802004429598855,3.2261540758884952,10.915195114330686,1.5847940987733555,-1.9526227175720556,-15.092343934722418,10.346346874555712,0.5811236939240034,0.1739509211540969
cc_align,25,gov,1,gov,11.355999157361962,3.172565480645397,3.7540280893061495,2.456764916868091,4.337119386605164,-2.8799603681313726,1.7906280295689476,0.29020479367296137,0.645348566092786
cc_align,25,gov,10,flores,0.04893899388505149,1.8812516022996828,-7.507056573027104,1.3589818378699157,1.7152623557761386,-39.31879999085346,9.346258623358356,1.4038872911300508,1.0595537337830148
cc_align,25,gov,10,bible,0.07662421666992668,1.6822210508272084,1.435462941675292,1.3167738581217785,-5.972422633459065,-14.843971779227973,-2.9498118730778646,0.4606249595473997,0.6664449827801071
cc_align,25,gov,10,gov,12.908053714647366,3.0754295246515104,3.394079804039115,0.22584802602866158,3.493322001350883,-2.3290306966827394,1.6885465314369383,1.6953208302707117,1.6970491489300688
cc_align,25,gov,25,flores,0.046985820594211046,16.770330013469014,-7.561089205851589,18.43850175461852,3.0423859309135937,-33.41207068905639,-3.997326151816982,0.06558136623285887,1.3364603683125862
cc_align,25,gov,25,bible,0.1054045666560852,1.7858321857541113,1.792684599629171,1.3474087662277983,-5.316253005929653,-9.411115220219573,-2.9026533251590023,0.5498754792849688,0.8082814755410567
cc_align,25,gov,25,gov,14.460582147191355,3.0586905830523294,3.4380992187968604,0.2519943119202033,3.470258800220933,-2.1127420446341296,1.7440567195946206,2.023557073968428,2.061070362976712
cc_align,25,gov,50,flores,1.0660088083538255,-2.6122753833585906,-0.9307513670852166,-1.3369707987870567,-2.998866576432911,-2.372037108072594,0.7954133857291833,8.26361628945702e-09,1.1808231303238998
cc_align,25,gov,50,bible,1.2818620911967652e-14,2.506035454442374,-1.714901537510046,-29.819429119998034,4.404119676239774,-0.12221256828662944,-36.108816111519744,0.40983230607372284,0.625580279439147
cc_align,25,gov,50,gov,27.451004668353946,3.128857587045276,5.652602033261427,14.837081669183734,3.628505165530912,-1.2147656618314078,10.363263505344023,1.3764324182825545,12.028265615424706
cc_align,25,bible,1,flores,0.2725764627425312,3.0752828563395727,9.754918808032857,1.5872196034933581,-2.6968756616654015,-13.49879476222605,9.937543659964144,0.4361060288840323,0.5875494541993989
cc_align,25,bible,1,bible,5.757748823256734,3.3268677083711236,3.026607926196768,-0.07186196816603439,3.822642579566834,-4.297966372157001,1.3663170181936144,1.524538580350567,2.3089460049356534
cc_align,25,bible,1,gov,0.07279031441634062,4.937823973548372,11.538473539911237,1.7577374115474034,-4.7353683170497085,-22.175427740223125,10.537381226863209,0.2184822594531102,0.22072694114707392
cc_align,25,bible,10,flores,0.07246512127657682,1.7320353373432464,1.6061798768982485,1.3327509506875221,-5.63026075777545,-15.502951473438031,-3.1980172473706587,0.19030408533633977,0.2863045918731196
cc_align,25,bible,10,bible,8.774650606099632,3.2089612649342096,3.1246744611555606,-0.23652103494647272,3.6936334115865126,-2.676705294721801,1.4385122985956018,2.1665402901543547,2.8424625856845385
cc_align,25,bible,10,gov,0.2857254601622296,3.0691942362390376,10.673280910370451,1.5737140569626291,-1.5725023239124172,-16.15808972101641,10.24946035935,0.5504517078824112,0.26966004700970253
cc_align,25,bible,25,flores,0.09153855043686078,1.7832301389025573,1.7796008339901888,1.3468390396154128,-5.238693134423354,-1.129145149475712,-3.137377879900103,0.2897015176257272,0.431710428254117
cc_align,25,bible,25,bible,10.082626695036705,3.2135421690627655,3.117356584880659,-0.2651136470902749,3.700849283271738,-2.108617052006102,1.433252583123874,2.0709833646087854,2.754194956287862
cc_align,25,bible,25,gov,0.40862948287575046,3.0402580147688374,10.630778825121936,1.5709093001774226,-1.3925986134399388,-13.34616203202224,10.234553565073671,0.6384077848037302,0.3348230965591906
cc_align,100,gov,1,flores,0.03992932367422398,1.8177807435238635,-7.026663940089061,1.3548271445235454,-0.027535550977726492,-39.94125767198786,9.476056187619257,0.6486619940250052,0.15919065034713226
cc_align,100,gov,1,bible,0.0017997053476820361,1.8432022120749503,-8.68969031474406,1.3603384654496997,1.0078696277004158,-57.35247235125762,7.982801351253481,0.5183760234212659,0.143412516864879
cc_align,100,gov,1,gov,9.16406076328744,3.498461020711695,3.0024530360051327,0.5262430303264001,3.8379999788003953,-2.807306782218966,1.3389425311215755,0.4371790996934467,0.711476497449074
cc_align,100,gov,10,flores,0.14361049743052148,1.8882063652424022,-6.143809644730707,1.3644886201935846,1.4140770974885648,-30.27445589386706,9.797298386565403,1.2699372427427398,0.7004272429192661
