,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,[1.0],0.17935068070194435,[0.0],1.7286811015201955,[1.0],5.06759859852202
kfold,[1.0],0.3080680914152449,[1.0],1.8162347662249008,[0.5],5.319835226859664
