train set,language to,c0,c1,rmse,kfold rmse
gov,ka,19.965977959572577,3.807898542248492,10.861685501196837,11.045853916749563
gov,gu,23.133180460089623,3.116238889242878,11.690258265984179,11.914292301240911
gov,hi,20.351433444615726,2.7846864764440213,11.895939628552894,12.085272691039362
gov,si,21.802380655409195,3.2894841867104625,17.38112175747556,17.6163436471725
gov,ta,18.085351296833355,2.656332274086694,14.350538570690238,14.558037294121437
bible,ka,11.821032865792581,1.8981785560288937,10.040962704729305,10.220305160691076
bible,gu,13.053272173031315,1.6723752576148476,9.893621286538364,10.081882438680957
bible,hi,13.433708284640677,1.6361124268144434,11.7874069706126,12.011695402245355
bible,si,15.20725048479244,1.9344349366826648,14.668508329088896,14.943089073387931
bible,ta,12.569084335071494,1.7336460322134235,11.588675428703915,11.80372494150279
