train set,train set size,c0,c1,c2,c3,rmse,kfold rmse
gov,1,2.9151397110593664,2.4008497231727604,0.019479430150838837,-1.674128472036396e-09,8.851099649252234,9.246150706091132
gov,10,7.6173958868059035,6.277870834961294,-6.190641885440067e-05,-2.6211197154420104e-09,14.332169426719616,14.476974785404959
gov,25,8.542000170322359,6.990286431862835,-0.026103639421081463,6.158515804528567e-09,15.826254457179159,15.995293335057006
gov,50,9.057583924300943,7.512840379846476,-0.013323036531505333,-1.1306488342696761e-09,17.61150093869154,18.05037950067464
bible,1,2.0258221659601205,1.7064806778694288,-5.502242733457992e-09,3.0343705008140235e-06,8.263213825588798,8.125734468203843
bible,10,4.367189243146792,3.6746713292547204,5.5313594029608886e-06,-1.2344302084864468e-09,12.662677006140152,12.45259072847467
bible,25,5.3156927004469425,4.476135255000978,-0.012549341137560784,-3.3217899345874943e-09,14.416132383461617,14.320280664403302
