train set,train set size,test set,c0,c1,c2,c3,c4,c5,rmse,kfold rmse
gov,1,flores,0.0,0.0,0.0,0.0,0.0,0.0,5.107641334314694,1.8102633894709659
gov,1,bible,0.0,0.0,0.0,0.0,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,2.114110494191789,-1.51982441764671,-6.453693268926316e-08,0.0013230624672246262,-8.600958546421464e-09,-1.0873945447271853,3.9407949198430434,4.363842119864626
gov,10,flores,0.7655211361912951,-7.140531148380618e-07,-0.7338702288950141,-1.6778029975499115e-07,-1.0210559347657435e-08,-2.1692491847530264,1.4103986736522482,1.5282086155651615
gov,10,bible,0.0,0.0,0.0,0.0,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,2.788273432192542,-4.346483914633585,-0.03013977621143292,1.6938264648952042,-8.055257536456757e-09,0.01366967313564101,2.991134024540088,7.686594807928429
gov,25,flores,0.7766631230419622,-2.0900740476362515e-08,-0.7912299717569965,-6.711539973316246e-08,6.8682296406419604e-09,-2.295437093975755,1.307829175643025,1.3677070519865075
gov,25,bible,0.0,0.0,0.0,0.0,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,2.706720356083847,-4.625162997859187,-0.08517961062317365,2.0139372898526977,-7.767383145324342e-09,4.510319958002386e-08,3.0161068685620296,8.478846223179891
gov,50,flores,1.0911237326781105,-7.228503339826049e-09,-0.9270536300114646,-0.42264081742266457,1.2664643603733389e-08,-1.738935589538581,1.0221249954483551,2.955685408986031
gov,50,bible,0.0,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,0.7990582637924878,-6.226450869705748e-09,-0.08225238354291754,0.9863704957864181,-0.007528154419859475,-4.647498772922988,1.368572571521502,2.060560611065948
bible,1,flores,0.0,0.0,0.0,0.0,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,2.3951321482995613,-0.7413372115053045,-0.4858031458597493,-1.6954355195515872e-08,-9.219393355842201e-09,-1.0028689718624813,3.955632821357821,4.288596058591372
bible,1,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,0.0,0.0,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,2.5161194922073915,-3.7423060670417145,-0.23852942120293597,1.3770516962093104,-0.005793686977130604,-5.821645432452605e-09,3.4061195108988542,6.029794965459636
bible,10,gov,0.0,0.0,0.0,0.0,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,0.0,0.0,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,2.644186051676654,-3.94345024104964,-0.22470471113265314,1.4832645024183233,8.032974866958327e-09,-1.5031302329830816e-08,3.666699419440451,7.045857310721411
bible,25,gov,0.0,0.0,0.0,0.0,0.0,0.0,1.6792855623746665,1.6792855623746665
