train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,c4,c5,c6,rmse,loo rmse
cc_align,25,gov,1,flores,28.190515288470667,-36.133663023116775,1.0,1.0,1.0,1.0,1.0,1.9735206854317142,2.199393776951261
cc_align,25,gov,1,bible,3.033485758595459,-3.115847855934874,1.0,1.0,1.0,1.0,1.0,0.7369548320085081,0.7801467909437615
cc_align,25,gov,1,gov,-0.3417264009551268,39.03942890439042,1.0,1.0,1.0,1.0,1.0,2.5300821036541623,3.078988447719093
cc_align,25,gov,10,flores,50.812829992743325,-63.86864948659584,1.0,1.0,1.0,1.0,1.0,2.7370263747481363,3.07232129949242
cc_align,25,gov,10,bible,6.691892324101737,-6.85868580906878,1.0,1.0,1.0,1.0,1.0,0.8950620919727789,0.9209793739384421
cc_align,25,gov,10,gov,1.7396441262131899,57.24950590061827,1.0,1.0,1.0,1.0,1.0,3.3796686191321967,4.418990933206026
cc_align,25,gov,25,flores,55.731773305482946,-69.43364949319489,1.0,1.0,1.0,1.0,1.0,2.7417166730596794,3.082011689967765
cc_align,25,gov,25,bible,5.315980412697919,-3.704306066796734,1.0,1.0,1.0,1.0,1.0,1.0524098165824094,1.0724040953287244
cc_align,25,gov,25,gov,-1.3710544511350835,68.74515470776038,1.0,1.0,1.0,1.0,1.0,3.7181070931712403,4.941877947799553
cc_align,25,gov,50,flores,62.22642984780311,-79.37914848317533,1.0,1.0,1.0,1.0,1.0,0.7322224855774404,1.3581440791698376
cc_align,25,gov,50,bible,7.269071318208534,-6.757143415576169,1.0,1.0,1.0,1.0,1.0,0.5226130608762822,0.9693557583936022
cc_align,25,gov,50,gov,4.4365356178634805,65.25512393784578,1.0,1.0,1.0,1.0,1.0,4.763901430054825,8.836201306897012
cc_align,25,bible,1,flores,4.848782535850188,-5.41009331844828,1.0,1.0,1.0,1.0,1.0,0.6605702362547918,0.6616705755258894
cc_align,25,bible,1,bible,9.708073244818246,14.624799452223538,1.0,1.0,1.0,1.0,1.0,2.669532095611983,2.8729384405723075
cc_align,25,bible,1,gov,5.977365127799663,-8.551880522134232,1.0,1.0,1.0,1.0,1.0,0.40608830747407915,0.4148242009067637
cc_align,25,bible,10,flores,6.864613938016188,-6.914906588600571,1.0,1.0,1.0,1.0,1.0,0.9223332999137983,0.9431341294162174
cc_align,25,bible,10,bible,13.699985369348145,24.22599403926091,1.0,1.0,1.0,1.0,1.0,3.443484318850704,3.711303067850045
cc_align,25,bible,10,gov,4.253843843911229,-4.387897210411494,1.0,1.0,1.0,1.0,1.0,0.8667063958488592,0.9418254148988255
cc_align,25,bible,25,flores,5.2747255552131875,-3.7708762519821035,1.0,1.0,1.0,1.0,1.0,1.018934622505724,1.0232361489595767
cc_align,25,bible,25,bible,17.5289732673451,24.519823895379545,1.0,1.0,1.0,1.0,1.0,3.434208915710357,3.673214765079547
cc_align,25,bible,25,gov,4.140381977173528,-3.6087800539152073,1.0,1.0,1.0,1.0,1.0,0.9361171297417495,0.9983826703477982
cc_align,100,gov,1,flores,31.943926745185763,-40.41772793994061,1.0,1.0,1.0,1.0,1.0,1.687423176087468,1.8418818681791185
cc_align,100,gov,1,bible,3.8668203888082813,-4.100925856757746,1.0,1.0,1.0,1.0,1.0,0.7066871964219154,0.7557885492526281
cc_align,100,gov,1,gov,4.333995768092937,33.789221437970966,1.0,1.0,1.0,1.0,1.0,2.0894392825444656,2.537712953555576
cc_align,100,gov,10,flores,49.40078796437515,-59.105851117577785,1.0,1.0,1.0,1.0,1.0,2.650801776857705,2.9480983541777253
cc_align,100,gov,10,bible,3.290285652462828,-0.0863950360070771,1.0,1.0,1.0,1.0,1.0,0.9372260809868747,0.9391734569022376
cc_align,100,gov,10,gov,0.13549253763069793,61.00221549753771,1.0,1.0,1.0,1.0,1.0,3.386765016914476,4.340368643084767
cc_align,100,gov,25,flores,53.36659260385119,-63.0332176036655,1.0,1.0,1.0,1.0,1.0,2.5006692416752094,2.6588520412729135
cc_align,100,gov,25,bible,2.513366358807628,1.970093412963395,1.0,1.0,1.0,1.0,1.0,0.9747831675858529,1.0020843306109055
cc_align,100,gov,25,gov,-3.538726534354291,73.22552906148296,1.0,1.0,1.0,1.0,1.0,3.7943761323267897,4.910963323047428
cc_align,100,gov,50,flores,66.49775812121055,-83.87020191548382,1.0,1.0,1.0,1.0,1.0,1.00862498608899,1.8708223107046826
cc_align,100,gov,50,bible,7.659693562335846,-5.833206954271994,1.0,1.0,1.0,1.0,1.0,0.3377213912235992,0.6264137976241912
cc_align,100,gov,50,gov,2.8547474853362265,68.17502851166265,1.0,1.0,1.0,1.0,1.0,4.9327621207396355,9.149408443658833
cc_align,100,bible,1,flores,5.457179446406322,-6.111782079523831,1.0,1.0,1.0,1.0,1.0,0.6477745563217684,0.6478051795925488
cc_align,100,bible,1,bible,11.986374910519654,11.878674500491119,1.0,1.0,1.0,1.0,1.0,2.682419454103166,2.902107356470395
cc_align,100,bible,1,gov,6.261305047043551,-8.661738364809825,1.0,1.0,1.0,1.0,1.0,0.4821628599592006,0.49215862514491304
cc_align,100,bible,10,flores,5.203362418155928,-3.1671805319156268,1.0,1.0,1.0,1.0,1.0,0.981607826566387,0.9869100632351684
cc_align,100,bible,10,bible,12.048681046803775,27.819178232740416,1.0,1.0,1.0,1.0,1.0,3.5221742414632558,3.82465416437898
cc_align,100,bible,10,gov,2.8758004488053057,-1.2298557139243578,1.0,1.0,1.0,1.0,1.0,0.9037497145692639,0.9475838113546758
cc_align,100,bible,25,flores,3.972723172438569,-0.5029443248837723,1.0,1.0,1.0,1.0,1.0,1.1752979901875615,1.1845123091944374
cc_align,100,bible,25,bible,20.328829939448017,20.362136397830874,1.0,1.0,1.0,1.0,1.0,3.49245453150399,3.72125032333095
cc_align,100,bible,25,gov,0.8400837900641471,2.714538985888309,1.0,1.0,1.0,1.0,1.0,1.0186438696513636,1.0458361192387702
gov,25,bible,1,flores,8.450632422605093,-11.083179648757094,1.0,1.0,1.0,1.0,1.0,0.8265541374488588,0.8417093776203135
gov,25,bible,1,bible,16.68387222009075,3.2578381734302604,1.0,1.0,1.0,1.0,1.0,2.2991598478791095,2.670960495452547
gov,25,bible,1,gov,8.392419887228435,-10.776983672038034,1.0,1.0,1.0,1.0,1.0,0.8074722209233978,0.8299541502180077
gov,25,bible,10,flores,10.730799876254434,-12.664170103732754,1.0,1.0,1.0,1.0,1.0,1.2731702358940158,1.3762436344327424
gov,25,bible,10,bible,17.784477575682875,17.5518405292846,1.0,1.0,1.0,1.0,1.0,3.5864905867735475,3.9878670602092385
gov,25,bible,10,gov,-8.2589300191121,23.296330008553838,1.0,1.0,1.0,1.0,1.0,1.7914190959995802,2.080715724846352
gov,25,bible,25,flores,9.240514806585207,-9.622544257723977,1.0,1.0,1.0,1.0,1.0,1.5395951390014089,1.6340026553381775
gov,25,bible,25,bible,24.48569933764161,12.70454522690394,1.0,1.0,1.0,1.0,1.0,3.336337986587214,3.5525670440091384
