,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,[0.5],0.15002469546251707,[1.0],2.0609956045528857,[-1.0],4.932762119762736
kfold,[0.5],0.27826926870288476,[0.0],2.578734539027693,[-1.0],9.149408252979566
