train set,c0,"c1,1","c1,2","c2,1","c2,2","c3,1","c3,2","c4,1","c4,2","c5,1","c5,2","c6,1","c6,2",rmse,kfold rmse
gov,19.350770744321075,8.720119581388248,3.7879396063605175,7.740040476725218,2.9882176335350383,3.5560084499467473,-0.2740453657601444,1.4764670116522784,-5.606619367111055,-0.9638304766604595,-19.248948106178293,7.437949763196031,2.885950931458562,14.373594590856195,14.423404871156887
bible,8.471843496313863,4.901498587206112,2.849229438322261,5.036391670447014,2.931558909847261,0.8903280168473579,-0.8054282203020828,1.471936179602059,-0.7246758963854997,-1.6919113404272739,-10.841479880495541,9.857773108040798,5.8854076014896295,11.967674568673072,11.996015528437045
