train set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,9.70106573988298,20.521988118696523,-1.354127761877363e-05,-10.36753206357562,13.866863218347376,13.881476245721023
bible,7.040077956654962,10.207607804069935,-3.421264499422989e-07,-3.9728963561029516e-07,11.814336841913065,11.82712577881587
