model,pareto,rawlsian,1k,10k,25k,50k
linear,True,True,3.105397759374173,4.087210360080503,4.309765115393608,3.520939395412372
poly2,False,False,3.134544744341182,4.128224103714299,4.318399051789447,3.521031671010323
poly3,True,False,3.1878687893182502,4.095805977811501,4.309972508137391,3.4007937645594355
exp,False,False,3.688585583615322,4.886365907332767,5.296033401724892,3.167204142060953
log,True,False,3.4669639293488514,4.68639218199683,5.108177437450272,2.5785580254155898
power,False,False,4.658524562541669,6.425914878129754,7.099508507496779,4.889382000729877
hmult,False,False,4.832784404177604,7.012179238060139,7.894749855678204,5.936813979399028
